39,  State-gov,  Bachelors,  Never-married,  Adm-clerical,  White,  Male,  United-States, 92579
37,  Private,  Masters,  Married-civ-spouse,  Exec-managerial,  White,  Male,  United-States, 10872
45,  Private,  Masters,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 193173
29,  Private,  HS-grad,  Married-civ-spouse,  Protective-serv,  White,  Male,  United-States, 18397
66,  Local-gov,  HS-grad,  Widowed,  Adm-clerical,  White,  Female,  United-States, 132969
19,  Private,  HS-grad,  Never-married,  Other-service,  White,  Female,  United-States, 163969
23,  Private,  9th,  Never-married,  Handlers-cleaners,  White,  Male,  Mexico, 24851
34,  Private,  Bachelors,  Married-civ-spouse,  Tech-support,  White,  Male,  United-States, 52979
39,  Private,  Masters,  Never-married,  Exec-managerial,  White,  Female,  United-States, 69744
33,  Self-emp-not-inc,  HS-grad,  Never-married,  Transport-moving,  White,  Male,  United-States, 107363
43,  Private,  Some-college,  Separated,  Sales,  White,  Female,  United-States, 148289
27,  Private,  HS-grad,  Married-civ-spouse,  Transport-moving,  White,  Male,  United-States, 72014
33,  State-gov,  Some-college,  Separated,  Adm-clerical,  Black,  Male,  United-States, 126653
26,  Private,  5th-6th,  Married-civ-spouse,  Farming-fishing,  White,  Male,  Mexico, 199694
56,  Self-emp-inc,  Masters,  Divorced,  Exec-managerial,  White,  Male,  United-States, 165974
46,  Private,  HS-grad,  Married-civ-spouse,  Sales,  White,  Male,  United-States, 194155
38,  Private,  Assoc-acdm,  Divorced,  Craft-repair,  White,  Female,  United-States, 51343
90,  Private,  11th,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 179521
72,  Self-emp-inc,  Some-college,  Married-civ-spouse,  Exec-managerial,  White,  Male,  United-States, 43767
20,  Private,  HS-grad,  Never-married,  Adm-clerical,  Asian-Pac-Islander,  Female,  United-States, 87055
29,  Private,  HS-grad,  Married-civ-spouse,  Craft-repair,  Amer-Indian-Eskimo,  Male,  United-States, 181659
49,  Private,  11th,  Married-civ-spouse,  Transport-moving,  White,  Male,  United-States, 114802
23,  Private,  HS-grad,  Never-married,  Other-service,  White,  Female,  United-States, 47072
20,  Private,  Some-college,  Married-spouse-absent,  Sales,  Black,  Female,  United-States, 94602
57,  Private,  Bachelors,  Married-civ-spouse,  Exec-managerial,  Asian-Pac-Islander,  Male,  South, 166139
46,  Private,  Assoc-acdm,  Divorced,  Prof-specialty,  White,  Female,  United-States, 114700
33,  Private,  Bachelors,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 169815
24,  Private,  Bachelors,  Never-married,  Sales,  White,  Male,  Jamaica, 147743
49,  Private,  Assoc-voc,  Married-civ-spouse,  Craft-repair,  White,  Male,  Greece, 16606
54,  Private,  HS-grad,  Married-civ-spouse,  Transport-moving,  White,  Male,  United-States, 53885
46,  Federal-gov,  Doctorate,  Never-married,  Prof-specialty,  White,  Female,  United-States, 70054
31,  Self-emp-not-inc,  Assoc-voc,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 35945
43,  Self-emp-inc,  Prof-school,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 23038
18,  ?,  Some-college,  Never-married,  ?,  White,  Female,  United-States, 75065
19,  Private,  HS-grad,  Never-married,  Machine-op-inspct,  White,  Male,  United-States, 166471
46,  Private,  Assoc-acdm,  Never-married,  Adm-clerical,  White,  Male,  United-States, 98719
43,  Private,  Bachelors,  Divorced,  Prof-specialty,  White,  Male,  United-States, 27682
58,  Private,  HS-grad,  Widowed,  Craft-repair,  White,  Male,  United-States, 199858
43,  Self-emp-not-inc,  HS-grad,  Married-civ-spouse,  Sales,  White,  Male,  United-States, 135820
37,  ?,  Some-college,  Separated,  ?,  White,  Male,  United-States, 122441
21,  Federal-gov,  12th,  Never-married,  Adm-clerical,  Black,  Male,  United-States, 196330
52,  State-gov,  Masters,  Never-married,  Adm-clerical,  White,  Male,  United-States, 106036
34,  Private,  Assoc-voc,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 59083
28,  Private,  Assoc-voc,  Never-married,  Handlers-cleaners,  White,  Female,  United-States, 153778
34,  Private,  HS-grad,  Divorced,  Transport-moving,  White,  Male,  United-States, 153282
29,  Private,  HS-grad,  Married-civ-spouse,  Machine-op-inspct,  White,  Male,  United-States, 101860
39,  Private,  HS-grad,  Married-civ-spouse,  Farming-fishing,  White,  Male,  United-States, 140558
49,  Private,  11th,  Divorced,  Machine-op-inspct,  Black,  Female,  United-States, 198081
35,  Private,  Some-college,  Married-civ-spouse,  Craft-repair,  Black,  Male,  Jamaica, 45258
31,  Private,  Some-college,  Divorced,  Other-service,  White,  Female,  United-States, 43931
18,  Private,  Some-college,  Never-married,  Handlers-cleaners,  White,  Male,  United-States, 21144
47,  Local-gov,  HS-grad,  Married-civ-spouse,  Other-service,  White,  Male,  United-States, 60962
46,  Private,  HS-grad,  Married-civ-spouse,  Sales,  White,  Male,  United-States, 37776
43,  Private,  Bachelors,  Married-civ-spouse,  Sales,  White,  Male,  United-States, 67992
51,  Federal-gov,  HS-grad,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 143912
21,  Private,  Some-college,  Never-married,  Adm-clerical,  White,  Female,  United-States, 21950
18,  ?,  Some-college,  Never-married,  ?,  White,  Male,  United-States, 89605
31,  State-gov,  Bachelors,  Married-civ-spouse,  Prof-specialty,  White,  Female,  United-States, 139701
39,  Local-gov,  HS-grad,  Married-civ-spouse,  Protective-serv,  White,  Male,  United-States, 79897
58,  Private,  11th,  Married-civ-spouse,  Adm-clerical,  White,  Male,  United-States, 148736
36,  Private,  Masters,  Never-married,  Prof-specialty,  White,  Female,  United-States, 195660
38,  Private,  HS-grad,  Married-civ-spouse,  Machine-op-inspct,  White,  Female,  United-States, 186452
31,  Private,  Bachelors,  Married-civ-spouse,  Exec-managerial,  White,  Female,  United-States, 38753
19,  Private,  11th,  Never-married,  Handlers-cleaners,  White,  Male,  United-States, 60105
38,  Private,  Assoc-voc,  Divorced,  Tech-support,  White,  Female,  United-States, 118389
26,  Private,  Assoc-voc,  Never-married,  Prof-specialty,  Other,  Female,  Jamaica, 14230
38,  Private,  Assoc-acdm,  Divorced,  Adm-clerical,  White,  Female,  United-States, 34227
36,  Private,  Some-college,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 135223
40,  Private,  HS-grad,  Married-civ-spouse,  Exec-managerial,  White,  Male,  United-States, 138813
25,  Private,  Bachelors,  Never-married,  Tech-support,  Black,  Male,  ?, 115397
41,  Private,  Bachelors,  Married-civ-spouse,  Tech-support,  White,  Female,  United-States, 14576
33,  Private,  HS-grad,  Never-married,  Sales,  White,  Male,  United-States, 173200
63,  ?,  HS-grad,  Married-civ-spouse,  ?,  White,  Male,  United-States, 188481
51,  Private,  HS-grad,  Married-civ-spouse,  Machine-op-inspct,  White,  Male,  United-States, 62702
34,  Private,  HS-grad,  Married-civ-spouse,  Sales,  White,  Male,  United-States, 82465
33,  Private,  Assoc-voc,  Divorced,  Sales,  White,  Male,  United-States, 112863
25,  Private,  10th,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 141415
30,  Self-emp-not-inc,  HS-grad,  Never-married,  Sales,  White,  Male,  United-States, 57276
19,  Private,  Some-college,  Never-married,  Adm-clerical,  White,  Male,  United-States, 83130
47,  Private,  HS-grad,  Married-civ-spouse,  Exec-managerial,  White,  Female,  United-States, 96865
26,  Private,  Bachelors,  Never-married,  Adm-clerical,  White,  Female,  United-States, 130397
21,  State-gov,  Some-college,  Never-married,  Other-service,  White,  Female,  United-States, 149456
36,  Private,  HS-grad,  Married-civ-spouse,  Other-service,  White,  Male,  United-States, 88510
60,  Private,  10th,  Married-civ-spouse,  Machine-op-inspct,  White,  Male,  United-States, 156605
28,  Private,  HS-grad,  Never-married,  Prof-specialty,  Black,  Male,  United-States, 18041
19,  Private,  HS-grad,  Never-married,  Adm-clerical,  White,  Female,  United-States, 152117
42,  Private,  Bachelors,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 50620
36,  Private,  HS-grad,  Separated,  Machine-op-inspct,  Black,  Female,  United-States, 37069
35,  Private,  HS-grad,  Married-civ-spouse,  Other-service,  White,  Female,  United-States, 172116
22,  Private,  Some-college,  Never-married,  Adm-clerical,  White,  Female,  United-States, 42913
54,  Private,  HS-grad,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 36117
36,  Private,  Bachelors,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 127438
55,  Private,  HS-grad,  Married-civ-spouse,  Transport-moving,  White,  Male,  United-States, 76572
57,  Private,  Masters,  Married-civ-spouse,  Adm-clerical,  White,  Male,  United-States, 38375
56,  Private,  7th-8th,  Married-civ-spouse,  Transport-moving,  White,  Male,  United-States, 127041
24,  Private,  HS-grad,  Married-civ-spouse,  Exec-managerial,  White,  Male,  United-States, 12398
35,  Local-gov,  Bachelors,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 83687
51,  Self-emp-inc,  11th,  Divorced,  Sales,  White,  Male,  United-States, 178163
34,  Private,  HS-grad,  Divorced,  Exec-managerial,  White,  Male,  United-States, 28255
36,  Private,  Assoc-acdm,  Divorced,  Adm-clerical,  White,  Female,  United-States, 99611
51,  Local-gov,  9th,  Separated,  Other-service,  White,  Female,  United-States, 131609
46,  Self-emp-inc,  Doctorate,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 147619
42,  Private,  HS-grad,  Divorced,  Exec-managerial,  Black,  Female,  United-States, 158926
25,  State-gov,  Bachelors,  Never-married,  Prof-specialty,  White,  Female,  United-States, 57819
22,  Private,  HS-grad,  Never-married,  Handlers-cleaners,  White,  Male,  United-States, 16664
37,  Private,  HS-grad,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 22267
48,  Private,  Bachelors,  Divorced,  Sales,  White,  Male,  United-States, 144981
61,  Private,  Bachelors,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 87573
40,  Private,  12th,  Married-civ-spouse,  Transport-moving,  Black,  Male,  Jamaica, 18191
58,  Self-emp-inc,  HS-grad,  Married-civ-spouse,  Exec-managerial,  White,  Female,  United-States, 121739
52,  Private,  HS-grad,  Married-spouse-absent,  Farming-fishing,  White,  Male,  Mexico, 69358
18,  Private,  11th,  Never-married,  Other-service,  Black,  Male,  United-States, 174557
27,  Private,  10th,  Married-civ-spouse,  Machine-op-inspct,  White,  Male,  United-States, 78872
48,  Self-emp-not-inc,  Some-college,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 192920
63,  Private,  9th,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 177934
38,  Self-emp-not-inc,  HS-grad,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 27572
31,  Private,  Some-college,  Married-civ-spouse,  Adm-clerical,  White,  Male,  United-States, 126964
40,  Self-emp-not-inc,  Some-college,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 51195
41,  Private,  HS-grad,  Divorced,  Exec-managerial,  White,  Male,  United-States, 194305
28,  Private,  Bachelors,  Never-married,  Prof-specialty,  White,  Female,  United-States, 28165
31,  Private,  Prof-school,  Divorced,  Prof-specialty,  White,  Male,  United-States, 68113
32,  Private,  Assoc-voc,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 181624
30,  Private,  HS-grad,  Never-married,  Handlers-cleaners,  Black,  Male,  United-States, 169389
39,  Local-gov,  HS-grad,  Divorced,  Craft-repair,  White,  Male,  United-States, 113503
28,  Private,  Bachelors,  Married-civ-spouse,  Sales,  White,  Male,  United-States, 104492
31,  Private,  HS-grad,  Never-married,  Handlers-cleaners,  Black,  Female,  United-States, 84308
21,  ?,  Some-college,  Never-married,  ?,  White,  Male,  United-States, 60279
33,  ?,  HS-grad,  Separated,  ?,  White,  Female,  United-States, 68107
44,  State-gov,  Masters,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 86885
22,  Private,  Some-college,  Never-married,  Farming-fishing,  White,  Male,  United-States, 31070
42,  Private,  HS-grad,  Married-civ-spouse,  Other-service,  White,  Male,  ?, 77756
36,  Private,  Assoc-acdm,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 70864
39,  Private,  Masters,  Never-married,  Exec-managerial,  White,  Male,  United-States, 90886
61,  Private,  Some-college,  Married-civ-spouse,  Exec-managerial,  White,  Male,  United-States, 111403
31,  Private,  HS-grad,  Divorced,  Transport-moving,  White,  Male,  United-States, 30167
21,  Private,  Some-college,  Never-married,  Other-service,  White,  Female,  Germany, 28526
39,  Self-emp-not-inc,  Some-college,  Married-civ-spouse,  Farming-fishing,  White,  Male,  United-States, 137084
34,  Self-emp-not-inc,  HS-grad,  Married-civ-spouse,  Farming-fishing,  White,  Male,  United-States, 63946
21,  Private,  Some-college,  Never-married,  Other-service,  White,  Male,  United-States, 133157
75,  Self-emp-not-inc,  Bachelors,  Widowed,  Prof-specialty,  White,  Male,  United-States, 122320
21,  Private,  Some-college,  Never-married,  Other-service,  White,  Male,  United-States, 199878
81,  Private,  Some-college,  Married-civ-spouse,  Sales,  White,  Male,  United-States, 11834
54,  Self-emp-inc,  HS-grad,  Divorced,  Other-service,  White,  Male,  Canada, 93500
34,  Private,  Bachelors,  Married-civ-spouse,  Prof-specialty,  White,  Male,  Iran, 183536
54,  Self-emp-not-inc,  Prof-school,  Married-civ-spouse,  Prof-specialty,  Asian-Pac-Islander,  Male,  Philippines, 123093
41,  Private,  HS-grad,  Married-civ-spouse,  Other-service,  Amer-Indian-Eskimo,  Male,  United-States, 62980
61,  ?,  Bachelors,  Divorced,  ?,  White,  Female,  United-States, 150124
63,  Private,  HS-grad,  Married-civ-spouse,  Other-service,  White,  Male,  United-States, 92780
24,  Private,  Some-college,  Never-married,  Machine-op-inspct,  White,  Male,  United-States, 112500
20,  Private,  HS-grad,  Married-civ-spouse,  Adm-clerical,  White,  Female,  Mexico, 111505
44,  Local-gov,  Bachelors,  Divorced,  Prof-specialty,  White,  Female,  United-States, 101463
47,  Self-emp-not-inc,  Bachelors,  Married-civ-spouse,  Sales,  White,  Male,  United-States, 169139
31,  Private,  Some-college,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 68717
41,  Private,  7th-8th,  Divorced,  Craft-repair,  White,  Male,  United-States, 176891
53,  Self-emp-not-inc,  HS-grad,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 116314
63,  Private,  HS-grad,  Married-civ-spouse,  Adm-clerical,  White,  Female,  United-States, 38857
44,  Private,  Masters,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 128156
37,  Private,  HS-grad,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 27348
28,  Private,  Some-college,  Married-civ-spouse,  Craft-repair,  White,  Male,  Germany, 76374
71,  ?,  Some-college,  Married-civ-spouse,  ?,  White,  Male,  United-States, 188331
57,  Private,  HS-grad,  Divorced,  Adm-clerical,  White,  Female,  United-States, 199651
22,  Private,  Some-college,  Never-married,  Farming-fishing,  White,  Male,  United-States, 41124
33,  Local-gov,  Bachelors,  Married-civ-spouse,  Adm-clerical,  White,  Male,  United-States, 154798
30,  Private,  Some-college,  Divorced,  Adm-clerical,  White,  Female,  United-States, 125544
20,  Private,  HS-grad,  Never-married,  Craft-repair,  White,  Male,  United-States, 137684
28,  Private,  Bachelors,  Never-married,  Adm-clerical,  White,  Female,  United-States, 133027
54,  Private,  11th,  Divorced,  Priv-house-serv,  Black,  Female,  United-States, 155702
20,  Private,  HS-grad,  Never-married,  Handlers-cleaners,  White,  Male,  United-States, 52547
34,  Private,  HS-grad,  Married-civ-spouse,  Exec-managerial,  White,  Male,  United-States, 126559
21,  Private,  Some-college,  Never-married,  Adm-clerical,  White,  Male,  United-States, 72680
29,  State-gov,  Some-college,  Never-married,  Other-service,  White,  Female,  United-States, 197217
51,  Private,  Some-college,  Divorced,  Exec-managerial,  White,  Female,  United-States, 16424
39,  Private,  HS-grad,  Divorced,  Machine-op-inspct,  Black,  Female,  United-States, 18694
19,  Private,  Some-college,  Never-married,  Adm-clerical,  Black,  Female,  United-States, 48040
22,  Local-gov,  HS-grad,  Never-married,  Farming-fishing,  White,  Male,  United-States, 121928
59,  State-gov,  Some-college,  Divorced,  Adm-clerical,  White,  Female,  United-States, 188738
18,  Private,  11th,  Never-married,  Sales,  White,  Male,  United-States, 197435
22,  Private,  HS-grad,  Never-married,  Other-service,  White,  Male,  United-States, 146709
42,  Local-gov,  Some-college,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 128591
39,  Private,  Assoc-acdm,  Never-married,  Craft-repair,  White,  Male,  United-States, 82631
31,  Private,  Bachelors,  Married-civ-spouse,  Sales,  White,  Male,  United-States, 47258
28,  Private,  11th,  Separated,  Craft-repair,  White,  Female,  United-States, 94126
22,  Private,  Bachelors,  Never-married,  Exec-managerial,  White,  Female,  United-States, 185791
67,  Private,  Masters,  Never-married,  Other-service,  White,  Female,  United-States, 131431
17,  Private,  11th,  Never-married,  Sales,  White,  Female,  United-States, 159225
47,  Federal-gov,  Assoc-acdm,  Married-civ-spouse,  Adm-clerical,  White,  Male,  United-States, 167667
23,  Private,  Bachelors,  Never-married,  Adm-clerical,  White,  Female,  United-States, 42557
20,  Private,  HS-grad,  Married-civ-spouse,  Other-service,  White,  Female,  Peru, 75763
22,  Private,  HS-grad,  Never-married,  Sales,  White,  Female,  Peru, 173076
47,  State-gov,  7th-8th,  Married-civ-spouse,  Transport-moving,  White,  Male,  United-States, 66396
49,  Private,  Some-college,  Married-civ-spouse,  Sales,  White,  Female,  United-States, 189723
64,  ?,  Some-college,  Married-civ-spouse,  ?,  White,  Male,  United-States, 48274
35,  State-gov,  Some-college,  Divorced,  Exec-managerial,  Black,  Female,  United-States, 78464
52,  Federal-gov,  Some-college,  Divorced,  Exec-managerial,  White,  Female,  United-States, 142161
29,  Private,  HS-grad,  Never-married,  Sales,  White,  Female,  United-States, 138759
73,  Self-emp-inc,  10th,  Widowed,  Sales,  White,  Female,  Canada, 120652
38,  Self-emp-not-inc,  HS-grad,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 40011
59,  Self-emp-not-inc,  HS-grad,  Married-civ-spouse,  Exec-managerial,  White,  Male,  United-States, 160619
35,  Private,  Some-college,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 167682
18,  Private,  Some-college,  Never-married,  Sales,  White,  Female,  United-States, 111100
24,  Private,  HS-grad,  Married-civ-spouse,  Adm-clerical,  Black,  Female,  United-States, 78493
33,  Local-gov,  Bachelors,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 16309
40,  Private,  Some-college,  Divorced,  Exec-managerial,  Black,  Female,  United-States, 126874
55,  Private,  HS-grad,  Widowed,  Adm-clerical,  White,  Female,  United-States, 44971
44,  Private,  HS-grad,  Divorced,  Prof-specialty,  White,  Male,  United-States, 127331
40,  Private,  Bachelors,  Never-married,  Prof-specialty,  White,  Female,  United-States, 23340
22,  Private,  HS-grad,  Divorced,  Handlers-cleaners,  White,  Male,  United-States, 117542
55,  Private,  Some-college,  Married-civ-spouse,  Exec-managerial,  White,  Female,  United-States, 166869
45,  Private,  HS-grad,  Separated,  Tech-support,  White,  Female,  United-States, 29034
47,  Local-gov,  Bachelors,  Never-married,  Prof-specialty,  White,  Female,  United-States, 58423
56,  Private,  HS-grad,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 82966
44,  Private,  HS-grad,  Married-civ-spouse,  Machine-op-inspct,  Black,  Male,  United-States, 172949
32,  State-gov,  Some-college,  Never-married,  Adm-clerical,  White,  Male,  United-States, 183099
17,  Private,  10th,  Never-married,  Other-service,  White,  Male,  United-States, 114683
44,  Private,  Some-college,  Divorced,  Exec-managerial,  White,  Male,  United-States, 131447
32,  Self-emp-not-inc,  Assoc-acdm,  Never-married,  Sales,  White,  Male,  United-States, 182989
35,  Private,  Bachelors,  Married-civ-spouse,  Sales,  White,  Male,  United-States, 172989
27,  Private,  HS-grad,  Married-civ-spouse,  Other-service,  White,  Male,  United-States, 181714
32,  Private,  HS-grad,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 39428
68,  Private,  11th,  Divorced,  Transport-moving,  White,  Male,  United-States, 158407
20,  Private,  Some-college,  Never-married,  Other-service,  White,  Female,  United-States, 174140
33,  Private,  Some-college,  Divorced,  Adm-clerical,  Black,  Female,  United-States, 57053
24,  Private,  9th,  Never-married,  Handlers-cleaners,  White,  Male,  United-States, 32685
48,  Private,  HS-grad,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 28482
45,  Private,  Masters,  Divorced,  Prof-specialty,  White,  Female,  United-States, 73597
48,  Private,  Some-college,  Widowed,  Adm-clerical,  White,  Female,  United-States, 139314
28,  Private,  Masters,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 125589
60,  ?,  Some-college,  Married-civ-spouse,  ?,  White,  Male,  United-States, 42413
39,  Local-gov,  Masters,  Divorced,  Prof-specialty,  White,  Female,  United-States, 145236
23,  Private,  Some-college,  Never-married,  Other-service,  White,  Male,  United-States, 24855
23,  State-gov,  12th,  Never-married,  Exec-managerial,  White,  Male,  United-States, 14051
36,  Private,  Some-college,  Separated,  Adm-clerical,  White,  Female,  United-States, 114690
25,  Private,  Bachelors,  Married-civ-spouse,  Prof-specialty,  White,  Female,  United-States, 14272
52,  Private,  HS-grad,  Never-married,  Other-service,  White,  Male,  United-States, 113787
35,  Self-emp-not-inc,  HS-grad,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 71835
41,  Private,  HS-grad,  Married-civ-spouse,  Exec-managerial,  White,  Male,  United-States, 22663
45,  Private,  Bachelors,  Married-civ-spouse,  Sales,  White,  Female,  United-States, 115758
37,  Federal-gov,  Masters,  Married-civ-spouse,  Prof-specialty,  White,  Male,  ?, 44996
58,  Private,  Assoc-voc,  Widowed,  Prof-specialty,  White,  Female,  United-States, 193057
67,  Self-emp-not-inc,  HS-grad,  Married-civ-spouse,  Adm-clerical,  White,  Female,  United-States, 31345
48,  Private,  HS-grad,  Married-civ-spouse,  Prof-specialty,  White,  Female,  United-States, 144576
63,  Private,  HS-grad,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 195365
24,  Local-gov,  Some-college,  Married-civ-spouse,  Protective-serv,  White,  Male,  United-States, 154848
43,  Private,  Some-college,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 196677
36,  Private,  HS-grad,  Divorced,  Transport-moving,  White,  Male,  United-States, 69251
32,  Private,  HS-grad,  Married-civ-spouse,  Transport-moving,  White,  Male,  Mexico, 141218
36,  Private,  Some-college,  Never-married,  Craft-repair,  Asian-Pac-Islander,  Male,  Laos, 182050
43,  Private,  Some-college,  Never-married,  Adm-clerical,  White,  Female,  United-States, 180579
27,  Private,  HS-grad,  Never-married,  Adm-clerical,  Black,  Female,  United-States, 46746
17,  Private,  11th,  Never-married,  Other-service,  White,  Male,  United-States, 153747
45,  Private,  Bachelors,  Divorced,  Sales,  White,  Female,  United-States, 170044
41,  Self-emp-inc,  HS-grad,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 102898
41,  Self-emp-not-inc,  HS-grad,  Married-civ-spouse,  Exec-managerial,  White,  Male,  United-States, 79931
18,  ?,  HS-grad,  Never-married,  ?,  White,  Female,  United-States, 125934
48,  Local-gov,  Assoc-acdm,  Separated,  Adm-clerical,  Black,  Female,  United-States, 120168
51,  ?,  Assoc-voc,  Married-civ-spouse,  ?,  White,  Male,  United-States, 52286
26,  Private,  Some-college,  Never-married,  Other-service,  White,  Female,  United-States, 129348
54,  Private,  Preschool,  Married-civ-spouse,  Farming-fishing,  White,  Male,  United-States, 154117
22,  Private,  Some-college,  Divorced,  Sales,  White,  Female,  Iran, 65687
19,  Private,  HS-grad,  Never-married,  Transport-moving,  White,  Male,  United-States, 87815
47,  Private,  7th-8th,  Divorced,  Handlers-cleaners,  Black,  Male,  United-States, 91023
32,  Private,  HS-grad,  Married-spouse-absent,  Other-service,  White,  Female,  United-States, 51004
46,  Private,  Bachelors,  Married-civ-spouse,  Exec-managerial,  White,  Male,  United-States, 148425
30,  Private,  Bachelors,  Never-married,  Tech-support,  White,  Female,  United-States, 168395
35,  Private,  Masters,  Never-married,  Exec-managerial,  Asian-Pac-Islander,  Male,  United-States, 164700
52,  Private,  Assoc-voc,  Married-civ-spouse,  Tech-support,  White,  Male,  United-States, 139493
73,  Self-emp-not-inc,  12th,  Married-civ-spouse,  Farming-fishing,  White,  Male,  United-States, 129415
17,  Private,  10th,  Never-married,  Other-service,  White,  Male,  Canada, 72788
32,  Private,  Bachelors,  Separated,  Prof-specialty,  White,  Female,  United-States, 85406
43,  Local-gov,  Masters,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 107199
19,  ?,  HS-grad,  Never-married,  ?,  White,  Male,  Portugal, 138719
26,  Private,  HS-grad,  Never-married,  Machine-op-inspct,  Other,  Female,  Columbia, 53827
41,  Federal-gov,  Masters,  Married-civ-spouse,  Exec-managerial,  White,  Male,  United-States, 191895
49,  Private,  Assoc-acdm,  Married-civ-spouse,  Sales,  White,  Male,  United-States, 119118
52,  State-gov,  Some-college,  Separated,  Protective-serv,  White,  Male,  United-States, 111743
35,  Private,  HS-grad,  Separated,  Adm-clerical,  White,  Female,  United-States, 183806
57,  Private,  11th,  Married-civ-spouse,  Other-service,  White,  Male,  United-States, 20049
35,  Private,  Assoc-voc,  Married-spouse-absent,  Prof-specialty,  White,  Female,  United-States, 195362
33,  Private,  Bachelors,  Never-married,  Prof-specialty,  White,  Male,  United-States, 150186
56,  Private,  7th-8th,  Divorced,  Transport-moving,  White,  Male,  United-States, 32903
42,  Private,  Bachelors,  Never-married,  Sales,  White,  Male,  United-States, 87225
17,  Private,  Some-college,  Never-married,  Adm-clerical,  White,  Male,  United-States, 77846
49,  Private,  HS-grad,  Divorced,  Adm-clerical,  White,  Female,  United-States, 94519
39,  Private,  Prof-school,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 126536
34,  Self-emp-not-inc,  Some-college,  Divorced,  Adm-clerical,  White,  Female,  United-States, 42940
37,  Self-emp-not-inc,  Some-college,  Never-married,  Prof-specialty,  Black,  Male,  United-States, 163966
22,  Private,  12th,  Never-married,  Other-service,  White,  Male,  United-States, 157299
27,  Private,  Assoc-voc,  Married-civ-spouse,  Craft-repair,  White,  Male,  Mexico, 112563
21,  Private,  Some-college,  Never-married,  Sales,  White,  Female,  United-States, 71590
59,  ?,  Some-college,  Married-civ-spouse,  ?,  White,  Male,  United-States, 60055
44,  Private,  Bachelors,  Married-civ-spouse,  Adm-clerical,  White,  Male,  United-States, 131670
53,  Self-emp-not-inc,  10th,  Married-spouse-absent,  Transport-moving,  White,  Male,  United-States, 140117
26,  Private,  11th,  Never-married,  Craft-repair,  White,  Male,  United-States, 138162
48,  Private,  Bachelors,  Married-civ-spouse,  Exec-managerial,  White,  Male,  United-States, 100083
39,  Private,  Bachelors,  Married-civ-spouse,  Exec-managerial,  White,  Male,  United-States, 103851
34,  Private,  HS-grad,  Never-married,  Other-service,  Amer-Indian-Eskimo,  Female,  United-States, 121193
54,  State-gov,  Bachelors,  Married-civ-spouse,  Exec-managerial,  White,  Male,  United-States, 95873
36,  Private,  HS-grad,  Married-civ-spouse,  Transport-moving,  White,  Male,  United-States, 185807
60,  Private,  HS-grad,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 90400
50,  Private,  HS-grad,  Married-civ-spouse,  Protective-serv,  White,  Male,  United-States, 113499
48,  Local-gov,  Bachelors,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 59200
