22 - 36, government, pre-primary, *, *, *, *, north-america, 10075
35 - 37, private, hs-grad, never-married, sales, white, male, *, 62770
35 - 37, private, hs-grad, never-married, sales, white, male, *, 69184
35 - 37, private, hs-grad, never-married, sales, white, male, *, 73940
35 - 37, private, hs-grad, never-married, sales, white, male, *, 73877
35 - 37, private, hs-grad, never-married, sales, white, male, *, 77747
28 - 29, private, some-college, never-married, sales, white, male, united-states, 74417
28 - 29, private, some-college, never-married, sales, white, male, united-states, 81763
28 - 29, private, some-college, never-married, sales, white, male, united-states, 41061
28 - 29, private, some-college, never-married, sales, white, male, united-states, 42090
28 - 29, private, some-college, never-married, sales, white, male, united-states, 41814
28 - 29, private, some-college, never-married, sales, white, male, united-states, 98116
28 - 29, private, some-college, never-married, sales, white, male, united-states, 55316
30 - 31, private, some-college, never-married, sales, white, male, united-states, 77840
30 - 31, private, some-college, never-married, sales, white, male, united-states, 46151
30 - 31, private, some-college, never-married, sales, white, male, united-states, 80550
30 - 31, private, some-college, never-married, sales, white, male, united-states, 83660
30 - 31, private, some-college, never-married, sales, white, male, united-states, 78144
30 - 31, private, some-college, never-married, sales, white, male, united-states, 92105
30 - 31, private, some-college, never-married, sales, white, male, united-states, 69288
32 - 34, private, some-college, never-married, sales, white, male, united-states, 60371
32 - 34, private, some-college, never-married, sales, white, male, united-states, 50686
32 - 34, private, some-college, never-married, sales, white, male, united-states, 71392
32 - 34, private, some-college, never-married, sales, white, male, united-states, 62500
32 - 34, private, some-college, never-married, sales, white, male, united-states, 75177
32 - 34, private, some-college, never-married, sales, white, male, united-states, 75633
32 - 34, private, some-college, never-married, sales, white, male, united-states, 98795
32 - 34, private, some-college, never-married, sales, white, male, united-states, 95625
35 - 37, private, some-college, never-married, sales, white, male, united-states, 71453
35 - 37, private, some-college, never-married, sales, white, male, united-states, 85656
35 - 37, private, some-college, never-married, sales, white, male, united-states, 80442
35 - 37, private, some-college, never-married, sales, white, male, united-states, 41018
35 - 37, private, some-college, never-married, sales, white, male, united-states, 53231
35 - 37, private, some-college, never-married, sales, white, male, united-states, 82451
35 - 37, private, some-college, never-married, sales, white, male, united-states, 54443
26 - 37, private, pre-university, divorced, tech-support, white, male, united-states, 65947
26 - 37, private, pre-university, divorced, tech-support, white, male, united-states, 76806
26 - 37, private, pre-university, divorced, tech-support, white, male, united-states, 49371
26 - 37, private, pre-university, divorced, tech-support, white, male, united-states, 57749
26 - 37, private, pre-university, divorced, tech-support, white, male, united-states, 87472
26 - 37, private, pre-university, divorced, tech-support, white, male, united-states, 41499
24 - 25, private, pre-university, never-married, tech-support, white, male, north-america, 97135
24 - 25, private, pre-university, never-married, tech-support, white, male, north-america, 67583
24 - 25, private, pre-university, never-married, tech-support, white, male, north-america, 62704
24 - 25, private, pre-university, never-married, tech-support, white, male, north-america, 67910
24 - 25, private, pre-university, never-married, tech-support, white, male, north-america, 82148
24 - 25, private, pre-university, never-married, tech-support, white, male, north-america, 42812
26 - 28, private, pre-university, never-married, tech-support, white, male, north-america, 93900
26 - 28, private, pre-university, never-married, tech-support, white, male, north-america, 95575
26 - 28, private, pre-university, never-married, tech-support, white, male, north-america, 55098
26 - 28, private, pre-university, never-married, tech-support, white, male, north-america, 94553
29 - 36, private, hs-grad, never-married, tech-support, white, male, united-states, 38177
29 - 36, private, hs-grad, never-married, tech-support, white, male, united-states, 79660
29 - 36, private, hs-grad, never-married, tech-support, white, male, united-states, 69966
29 - 36, private, hs-grad, never-married, tech-support, white, male, united-states, 93193
29 - 36, private, hs-grad, never-married, tech-support, white, male, united-states, 71416
29 - 36, private, hs-grad, never-married, tech-support, white, male, united-states, 78072
29 - 37, private, some-college, never-married, tech-support, white, male, united-states, 80432
29 - 37, private, some-college, never-married, tech-support, white, male, united-states, 93909
29 - 37, private, some-college, never-married, tech-support, white, male, united-states, 41129
29 - 37, private, some-college, never-married, tech-support, white, male, united-states, 53025
29 - 37, private, some-college, never-married, tech-support, white, male, united-states, 49321
19 - 34, self-emp-inc, pre-university, never-married, sales, white, male, united-states, 46583
19 - 34, self-emp-inc, pre-university, never-married, sales, white, male, united-states, 55067
19 - 34, self-emp-inc, pre-university, never-married, sales, white, male, united-states, 67217
19 - 34, self-emp-inc, pre-university, never-married, sales, white, male, united-states, 79787
19 - 34, self-emp-inc, pre-university, never-married, sales, white, male, united-states, 51658
19 - 34, self-emp-inc, pre-university, never-married, sales, white, male, united-states, 50640
19 - 34, self-emp-inc, pre-university, never-married, sales, white, male, united-states, 85864
18 - 26, self-emp-not-inc, pre-university, not-married, customer-service, white, male, *, 48215
18 - 26, self-emp-not-inc, pre-university, not-married, customer-service, white, male, *, 59078
18 - 26, self-emp-not-inc, pre-university, not-married, customer-service, white, male, *, 49052
18 - 26, self-emp-not-inc, pre-university, not-married, customer-service, white, male, *, 70332
18 - 26, self-emp-not-inc, pre-university, not-married, customer-service, white, male, *, 55187
18 - 26, self-emp-not-inc, pre-university, not-married, customer-service, white, male, *, 60460
27 - 35, self-emp-not-inc, pre-university, not-married, sales, white, male, united-states, 45682
27 - 35, self-emp-not-inc, pre-university, not-married, sales, white, male, united-states, 79751
27 - 35, self-emp-not-inc, pre-university, not-married, sales, white, male, united-states, 81429
27 - 35, self-emp-not-inc, pre-university, not-married, sales, white, male, united-states, 45397
27 - 35, self-emp-not-inc, pre-university, not-married, sales, white, male, united-states, 42971
27 - 35, self-emp-not-inc, pre-university, not-married, sales, white, male, united-states, 59993
27 - 35, self-emp-not-inc, pre-university, not-married, sales, white, male, united-states, 65063
20 - 26, private, hs-grad, divorced, adm-clerical, white, female, united-states, 49667
20 - 26, private, hs-grad, divorced, adm-clerical, white, female, united-states, 93534
20 - 26, private, hs-grad, divorced, adm-clerical, white, female, united-states, 41237
20 - 26, private, hs-grad, divorced, adm-clerical, white, female, united-states, 88657
20 - 26, private, hs-grad, divorced, adm-clerical, white, female, united-states, 54615
20 - 26, private, hs-grad, divorced, adm-clerical, white, female, united-states, 44598
20 - 26, private, hs-grad, divorced, adm-clerical, white, female, united-states, 74625
27 - 29, private, hs-grad, divorced, adm-clerical, white, female, united-states, 66713
27 - 29, private, hs-grad, divorced, adm-clerical, white, female, united-states, 45064
27 - 29, private, hs-grad, divorced, adm-clerical, white, female, united-states, 41641
27 - 29, private, hs-grad, divorced, adm-clerical, white, female, united-states, 91543
27 - 29, private, hs-grad, divorced, adm-clerical, white, female, united-states, 70770
27 - 29, private, hs-grad, divorced, adm-clerical, white, female, united-states, 40427
27 - 29, private, hs-grad, divorced, adm-clerical, white, female, united-states, 94369
27 - 29, private, hs-grad, divorced, adm-clerical, white, female, united-states, 73411
22 - 26, non-government, some-college, divorced, adm-clerical, white, female, united-states, 53347
22 - 26, non-government, some-college, divorced, adm-clerical, white, female, united-states, 86745
22 - 26, non-government, some-college, divorced, adm-clerical, white, female, united-states, 76898
22 - 26, non-government, some-college, divorced, adm-clerical, white, female, united-states, 79106
22 - 26, non-government, some-college, divorced, adm-clerical, white, female, united-states, 78619
22 - 26, non-government, some-college, divorced, adm-clerical, white, female, united-states, 67442
22 - 26, non-government, some-college, divorced, adm-clerical, white, female, united-states, 76758
27, private, some-college, divorced, adm-clerical, white, female, united-states, 91337
27, private, some-college, divorced, adm-clerical, white, female, united-states, 51175
27, private, some-college, divorced, adm-clerical, white, female, united-states, 50550
27, private, some-college, divorced, adm-clerical, white, female, united-states, 81059
27, private, some-college, divorced, adm-clerical, white, female, united-states, 76218
28 - 29, non-government, some-college, divorced, adm-clerical, white, female, central-north-america, 96441
28 - 29, non-government, some-college, divorced, adm-clerical, white, female, central-north-america, 50644
28 - 29, non-government, some-college, divorced, adm-clerical, white, female, central-north-america, 55582
28 - 29, non-government, some-college, divorced, adm-clerical, white, female, central-north-america, 79024
30, non-government, hs-grad, divorced, adm-clerical, white, female, united-states, 52080
30, non-government, hs-grad, divorced, adm-clerical, white, female, united-states, 42424
30, non-government, hs-grad, divorced, adm-clerical, white, female, united-states, 69589
30, non-government, hs-grad, divorced, adm-clerical, white, female, united-states, 47495
30, non-government, hs-grad, divorced, adm-clerical, white, female, united-states, 44846
30, non-government, hs-grad, divorced, adm-clerical, white, female, united-states, 85408
30, non-government, hs-grad, divorced, adm-clerical, white, female, united-states, 65108
31, private, hs-grad, divorced, adm-clerical, white, female, *, 67617
31, private, hs-grad, divorced, adm-clerical, white, female, *, 55990
31, private, hs-grad, divorced, adm-clerical, white, female, *, 40477
31, private, hs-grad, divorced, adm-clerical, white, female, *, 51285
31, private, hs-grad, divorced, adm-clerical, white, female, *, 73104
31, private, hs-grad, divorced, adm-clerical, white, female, *, 53170
32, non-government, hs-grad, divorced, adm-clerical, white, female, *, 50772
32, non-government, hs-grad, divorced, adm-clerical, white, female, *, 44801
32, non-government, hs-grad, divorced, adm-clerical, white, female, *, 48884
32, non-government, hs-grad, divorced, adm-clerical, white, female, *, 83614
30, private, some-college, divorced, adm-clerical, white, female, north-america, 88983
30, private, some-college, divorced, adm-clerical, white, female, north-america, 97335
30, private, some-college, divorced, adm-clerical, white, female, north-america, 99054
30, private, some-college, divorced, adm-clerical, white, female, north-america, 69176
30, private, some-college, divorced, adm-clerical, white, female, north-america, 68804
31, private, some-college, divorced, adm-clerical, white, female, united-states, 72439
31, private, some-college, divorced, adm-clerical, white, female, united-states, 56122
31, private, some-college, divorced, adm-clerical, white, female, united-states, 67565
31, private, some-college, divorced, adm-clerical, white, female, united-states, 78409
31, private, some-college, divorced, adm-clerical, white, female, united-states, 92668
32, private, some-college, divorced, adm-clerical, white, female, north-america, 59061
32, private, some-college, divorced, adm-clerical, white, female, north-america, 67785
32, private, some-college, divorced, adm-clerical, white, female, north-america, 90065
20 - 25, non-government, pre-university, divorced, sales, white, female, *, 56132
20 - 25, non-government, pre-university, divorced, sales, white, female, *, 62186
20 - 25, non-government, pre-university, divorced, sales, white, female, *, 38172
20 - 25, non-government, pre-university, divorced, sales, white, female, *, 72140
20 - 25, non-government, pre-university, divorced, sales, white, female, *, 61285
20 - 25, non-government, pre-university, divorced, sales, white, female, *, 79809
20 - 25, non-government, pre-university, divorced, sales, white, female, *, 56179
20 - 25, non-government, pre-university, divorced, sales, white, female, *, 60448
26 - 27, private, pre-university, divorced, sales, white, female, *, 77462
26 - 27, private, pre-university, divorced, sales, white, female, *, 56812
26 - 27, private, pre-university, divorced, sales, white, female, *, 86981
26 - 27, private, pre-university, divorced, sales, white, female, *, 51120
26 - 27, private, pre-university, divorced, sales, white, female, *, 42808
26 - 27, private, pre-university, divorced, sales, white, female, *, 94076
28 - 31, private, hs-grad, divorced, sales, white, female, united-states, 43058
28 - 31, private, hs-grad, divorced, sales, white, female, united-states, 83311
28 - 31, private, hs-grad, divorced, sales, white, female, united-states, 69436
28 - 31, private, hs-grad, divorced, sales, white, female, united-states, 86231
28 - 31, private, hs-grad, divorced, sales, white, female, united-states, 68717
28 - 31, private, hs-grad, divorced, sales, white, female, united-states, 37219
28 - 31, private, hs-grad, divorced, sales, white, female, united-states, 61145
28 - 32, private, some-college, divorced, sales, white, female, united-states, 57897
28 - 32, private, some-college, divorced, sales, white, female, united-states, 57071
28 - 32, private, some-college, divorced, sales, white, female, united-states, 56016
28 - 32, private, some-college, divorced, sales, white, female, united-states, 76637
28 - 32, private, some-college, divorced, sales, white, female, united-states, 80023
28 - 32, private, some-college, divorced, sales, white, female, united-states, 43948
28 - 32, private, some-college, divorced, sales, white, female, united-states, 60354
22 - 32, private, pre-university, divorced, tech-support, white, female, *, 91345
22 - 32, private, pre-university, divorced, tech-support, white, female, *, 69901
22 - 32, private, pre-university, divorced, tech-support, white, female, *, 61989
22 - 32, private, pre-university, divorced, tech-support, white, female, *, 43826
22 - 32, private, pre-university, divorced, tech-support, white, female, *, 59342
22 - 32, private, pre-university, divorced, tech-support, white, female, *, 66245
22 - 32, private, pre-university, divorced, tech-support, white, female, *, 47746
33 - 34, private, hs-grad, divorced, adm-clerical, white, female, united-states, 91970
33 - 34, private, hs-grad, divorced, adm-clerical, white, female, united-states, 80822
33 - 34, private, hs-grad, divorced, adm-clerical, white, female, united-states, 50508
33 - 34, private, hs-grad, divorced, adm-clerical, white, female, united-states, 52009
33 - 34, private, hs-grad, divorced, adm-clerical, white, female, united-states, 46254
33 - 34, private, hs-grad, divorced, adm-clerical, white, female, united-states, 36144
33 - 34, private, hs-grad, divorced, adm-clerical, white, female, united-states, 89957
33 - 34, private, hs-grad, divorced, adm-clerical, white, female, united-states, 55043
33 - 34, private, hs-grad, divorced, adm-clerical, white, female, united-states, 46233
35, private, hs-grad, divorced, adm-clerical, white, female, united-states, 55267
35, private, hs-grad, divorced, adm-clerical, white, female, united-states, 59996
35, private, hs-grad, divorced, adm-clerical, white, female, united-states, 94561
35, private, hs-grad, divorced, adm-clerical, white, female, united-states, 78811
35, private, hs-grad, divorced, adm-clerical, white, female, united-states, 91635
35, private, hs-grad, divorced, adm-clerical, white, female, united-states, 65357
36, private, hs-grad, divorced, adm-clerical, white, female, united-states, 69930
36, private, hs-grad, divorced, adm-clerical, white, female, united-states, 83402
36, private, hs-grad, divorced, adm-clerical, white, female, united-states, 72015
36, private, hs-grad, divorced, adm-clerical, white, female, united-states, 36148
36, private, hs-grad, divorced, adm-clerical, white, female, united-states, 46858
37, private, hs-grad, divorced, adm-clerical, white, female, north-america, 55284
37, private, hs-grad, divorced, adm-clerical, white, female, north-america, 92848
37, private, hs-grad, divorced, adm-clerical, white, female, north-america, 74511
37, private, hs-grad, divorced, adm-clerical, white, female, north-america, 67982
37, private, hs-grad, divorced, adm-clerical, white, female, north-america, 43585
33 - 34, non-government, some-college, divorced, adm-clerical, white, female, united-states, 82509
33 - 34, non-government, some-college, divorced, adm-clerical, white, female, united-states, 74211
33 - 34, non-government, some-college, divorced, adm-clerical, white, female, united-states, 69944
33 - 34, non-government, some-college, divorced, adm-clerical, white, female, united-states, 43084
33 - 34, non-government, some-college, divorced, adm-clerical, white, female, united-states, 67666
33 - 34, non-government, some-college, divorced, adm-clerical, white, female, united-states, 92320
33 - 34, non-government, some-college, divorced, adm-clerical, white, female, united-states, 76847
33 - 34, non-government, some-college, divorced, adm-clerical, white, female, united-states, 89378
33 - 34, non-government, some-college, divorced, adm-clerical, white, female, united-states, 65280
33 - 34, non-government, some-college, divorced, adm-clerical, white, female, united-states, 60602
35, private, some-college, divorced, adm-clerical, white, female, united-states, 78366
35, private, some-college, divorced, adm-clerical, white, female, united-states, 61699
35, private, some-college, divorced, adm-clerical, white, female, united-states, 65363
35, private, some-college, divorced, adm-clerical, white, female, united-states, 91027
35, private, some-college, divorced, adm-clerical, white, female, united-states, 72919
36, private, some-college, divorced, adm-clerical, white, female, united-states, 70009
36, private, some-college, divorced, adm-clerical, white, female, united-states, 61006
36, private, some-college, divorced, adm-clerical, white, female, united-states, 82016
36, private, some-college, divorced, adm-clerical, white, female, united-states, 55764
36, private, some-college, divorced, adm-clerical, white, female, united-states, 95358
36, private, some-college, divorced, adm-clerical, white, female, united-states, 71049
37, private, some-college, divorced, adm-clerical, white, female, united-states, 45792
37, private, some-college, divorced, adm-clerical, white, female, united-states, 84740
37, private, some-college, divorced, adm-clerical, white, female, united-states, 90806
37, private, some-college, divorced, adm-clerical, white, female, united-states, 95834
33 - 35, non-government, hs-grad, divorced, sales, white, female, united-states, 85599
33 - 35, non-government, hs-grad, divorced, sales, white, female, united-states, 57711
33 - 35, non-government, hs-grad, divorced, sales, white, female, united-states, 58550
33 - 35, non-government, hs-grad, divorced, sales, white, female, united-states, 91957
33 - 35, non-government, hs-grad, divorced, sales, white, female, united-states, 49434
33 - 35, non-government, hs-grad, divorced, sales, white, female, united-states, 94711
33 - 35, non-government, hs-grad, divorced, sales, white, female, united-states, 49316
33 - 35, non-government, hs-grad, divorced, sales, white, female, united-states, 86847
33 - 35, non-government, hs-grad, divorced, sales, white, female, united-states, 47847
36 - 37, private, hs-grad, divorced, sales, white, female, north-america, 39409
36 - 37, private, hs-grad, divorced, sales, white, female, north-america, 87439
36 - 37, private, hs-grad, divorced, sales, white, female, north-america, 46151
36 - 37, private, hs-grad, divorced, sales, white, female, north-america, 80962
36 - 37, private, hs-grad, divorced, sales, white, female, north-america, 46158
36 - 37, private, hs-grad, divorced, sales, white, female, north-america, 42689
33 - 35, private, some-college, divorced, sales, white, female, united-states, 91537
33 - 35, private, some-college, divorced, sales, white, female, united-states, 68990
33 - 35, private, some-college, divorced, sales, white, female, united-states, 66642
33 - 35, private, some-college, divorced, sales, white, female, united-states, 77800
33 - 35, private, some-college, divorced, sales, white, female, united-states, 65969
33 - 35, private, some-college, divorced, sales, white, female, united-states, 85726
36, non-government, some-college, divorced, sales, white, female, central-north-america, 80836
36, non-government, some-college, divorced, sales, white, female, central-north-america, 56148
36, non-government, some-college, divorced, sales, white, female, central-north-america, 53592
36, non-government, some-college, divorced, sales, white, female, central-north-america, 56194
33 - 37, private, pre-university, divorced, tech-support, white, female, united-states, 72041
33 - 37, private, pre-university, divorced, tech-support, white, female, united-states, 45766
33 - 37, private, pre-university, divorced, tech-support, white, female, united-states, 98765
33 - 37, private, pre-university, divorced, tech-support, white, female, united-states, 89564
33 - 37, private, pre-university, divorced, tech-support, white, female, united-states, 45973
33 - 37, private, pre-university, divorced, tech-support, white, female, united-states, 41519
33 - 37, private, pre-university, divorced, tech-support, white, female, united-states, 54080
33 - 37, private, pre-university, divorced, tech-support, white, female, united-states, 48287
22 - 37, non-government, pre-university, widowed, customer-service, white, female, united-states, 40572
22 - 37, non-government, pre-university, widowed, customer-service, white, female, united-states, 64099
22 - 37, non-government, pre-university, widowed, customer-service, white, female, united-states, 72688
22 - 37, non-government, pre-university, widowed, customer-service, white, female, united-states, 47406
22 - 37, non-government, pre-university, widowed, customer-service, white, female, united-states, 94339
22 - 37, non-government, pre-university, widowed, customer-service, white, female, united-states, 56463
22 - 37, non-government, pre-university, widowed, customer-service, white, female, united-states, 69376
22 - 37, non-government, pre-university, widowed, customer-service, white, female, united-states, 58565
22 - 37, non-government, pre-university, widowed, customer-service, white, female, united-states, 40917
18, private, hs-grad, never-married, adm-clerical, white, female, united-states, 84933
18, private, hs-grad, never-married, adm-clerical, white, female, united-states, 58680
18, private, hs-grad, never-married, adm-clerical, white, female, united-states, 51725
18, private, hs-grad, never-married, adm-clerical, white, female, united-states, 41550
18, private, hs-grad, never-married, adm-clerical, white, female, united-states, 77326
18, private, hs-grad, never-married, adm-clerical, white, female, united-states, 48202
18, private, hs-grad, never-married, adm-clerical, white, female, united-states, 52538
18, private, hs-grad, never-married, adm-clerical, white, female, united-states, 49102
18, private, hs-grad, never-married, adm-clerical, white, female, united-states, 58313
18, private, hs-grad, never-married, adm-clerical, white, female, united-states, 66806
18, private, hs-grad, never-married, adm-clerical, white, female, united-states, 50139
18, private, hs-grad, never-married, adm-clerical, white, female, united-states, 82914
18, private, hs-grad, never-married, adm-clerical, white, female, united-states, 91100
18, private, hs-grad, never-married, adm-clerical, white, female, united-states, 51362
18, private, hs-grad, never-married, adm-clerical, white, female, united-states, 69940
18, private, hs-grad, never-married, adm-clerical, white, female, united-states, 68960
18, private, hs-grad, never-married, adm-clerical, white, female, united-states, 84197
19, private, hs-grad, never-married, adm-clerical, white, female, united-states, 85360
19, private, hs-grad, never-married, adm-clerical, white, female, united-states, 71591
19, private, hs-grad, never-married, adm-clerical, white, female, united-states, 64266
19, private, hs-grad, never-married, adm-clerical, white, female, united-states, 79086
19, private, hs-grad, never-married, adm-clerical, white, female, united-states, 59633
19, private, hs-grad, never-married, adm-clerical, white, female, united-states, 93103
19, private, hs-grad, never-married, adm-clerical, white, female, united-states, 73580
19, private, hs-grad, never-married, adm-clerical, white, female, united-states, 49636
19, private, hs-grad, never-married, adm-clerical, white, female, united-states, 83430
19, private, hs-grad, never-married, adm-clerical, white, female, united-states, 71472
19, private, hs-grad, never-married, adm-clerical, white, female, united-states, 41083
19, private, hs-grad, never-married, adm-clerical, white, female, united-states, 68136
19, private, hs-grad, never-married, adm-clerical, white, female, united-states, 84914
19, private, hs-grad, never-married, adm-clerical, white, female, united-states, 82723
19, private, hs-grad, never-married, adm-clerical, white, female, united-states, 68820
19, private, hs-grad, never-married, adm-clerical, white, female, united-states, 87932
19, private, hs-grad, never-married, adm-clerical, white, female, united-states, 50939
19, private, hs-grad, never-married, adm-clerical, white, female, united-states, 58378
20, private, hs-grad, never-married, adm-clerical, white, female, *, 56030
20, private, hs-grad, never-married, adm-clerical, white, female, *, 47375
20, private, hs-grad, never-married, adm-clerical, white, female, *, 90177
20, private, hs-grad, never-married, adm-clerical, white, female, *, 80741
20, private, hs-grad, never-married, adm-clerical, white, female, *, 86502
20, private, hs-grad, never-married, adm-clerical, white, female, *, 92510
20, private, hs-grad, never-married, adm-clerical, white, female, *, 62318
20, private, hs-grad, never-married, adm-clerical, white, female, *, 54857
20, private, hs-grad, never-married, adm-clerical, white, female, *, 76230
20, private, hs-grad, never-married, adm-clerical, white, female, *, 91016
20, private, hs-grad, never-married, adm-clerical, white, female, *, 60309
20, private, hs-grad, never-married, adm-clerical, white, female, *, 43280
20, private, hs-grad, never-married, adm-clerical, white, female, *, 71857
20, private, hs-grad, never-married, adm-clerical, white, female, *, 45669
21, private, hs-grad, never-married, adm-clerical, white, female, north-america, 57607
21, private, hs-grad, never-married, adm-clerical, white, female, north-america, 73978
21, private, hs-grad, never-married, adm-clerical, white, female, north-america, 92183
21, private, hs-grad, never-married, adm-clerical, white, female, north-america, 36544
21, private, hs-grad, never-married, adm-clerical, white, female, north-america, 80195
21, private, hs-grad, never-married, adm-clerical, white, female, north-america, 66258
21, private, hs-grad, never-married, adm-clerical, white, female, north-america, 35209
21, private, hs-grad, never-married, adm-clerical, white, female, north-america, 52029
21, private, hs-grad, never-married, adm-clerical, white, female, north-america, 63436
21, private, hs-grad, never-married, adm-clerical, white, female, north-america, 50859
21, private, hs-grad, never-married, adm-clerical, white, female, north-america, 69155
21, private, hs-grad, never-married, adm-clerical, white, female, north-america, 78127
21, private, hs-grad, never-married, adm-clerical, white, female, north-america, 42347
21, private, hs-grad, never-married, adm-clerical, white, female, north-america, 76750
21, private, hs-grad, never-married, adm-clerical, white, female, north-america, 59915
21, private, hs-grad, never-married, adm-clerical, white, female, north-america, 69740
21, private, hs-grad, never-married, adm-clerical, white, female, north-america, 49499
21, private, hs-grad, never-married, adm-clerical, white, female, north-america, 51330
21, private, hs-grad, never-married, adm-clerical, white, female, north-america, 45361
21, private, hs-grad, never-married, adm-clerical, white, female, north-america, 88961
22, private, hs-grad, never-married, adm-clerical, white, female, north-america, 39099
22, private, hs-grad, never-married, adm-clerical, white, female, north-america, 40168
22, private, hs-grad, never-married, adm-clerical, white, female, north-america, 66334
22, private, hs-grad, never-married, adm-clerical, white, female, north-america, 41287
22, private, hs-grad, never-married, adm-clerical, white, female, north-america, 75928
22, private, hs-grad, never-married, adm-clerical, white, female, north-america, 89857
22, private, hs-grad, never-married, adm-clerical, white, female, north-america, 85186
22, private, hs-grad, never-married, adm-clerical, white, female, north-america, 54186
22, private, hs-grad, never-married, adm-clerical, white, female, north-america, 68786
22, private, hs-grad, never-married, adm-clerical, white, female, north-america, 60976
22, private, hs-grad, never-married, adm-clerical, white, female, north-america, 82498
22, private, hs-grad, never-married, adm-clerical, white, female, north-america, 46950
22, private, hs-grad, never-married, adm-clerical, white, female, north-america, 89715
22, private, hs-grad, never-married, adm-clerical, white, female, north-america, 72503
22, private, hs-grad, never-married, adm-clerical, white, female, north-america, 42449
22, private, hs-grad, never-married, adm-clerical, white, female, north-america, 81003
22, private, hs-grad, never-married, adm-clerical, white, female, north-america, 47543
22, private, hs-grad, never-married, adm-clerical, white, female, north-america, 49947
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 69464
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 68701
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 85766
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 92271
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 64205
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 59964
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 43248
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 70059
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 45023
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 79933
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 96076
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 79951
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 75634
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 96255
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 71467
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 60996
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 82397
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 89811
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 62915
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 51445
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 70317
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 44970
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 87291
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 41179
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 47446
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 95615
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 42334
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 67305
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 98755
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 84673
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 66834
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 57281
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 52329
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 75228
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 97221
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 68637
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 50730
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 43691
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 57122
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 99307
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 99588
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 66456
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 63274
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 60415
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 61413
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 99736
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 76842
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 91062
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 90882
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 65826
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 73337
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 96763
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 49991
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 55444
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 45319
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 78086
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 85241
18 - 20, non-government, some-college, never-married, adm-clerical, white, female, *, 81727
