17 - 27, *, pre-primary, *, *, *, *, *, 9010
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 60437
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 65806
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 90844
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 94259
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 78290
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 87368
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 79763
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 63119
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 48637
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 67650
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 54096
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 85129
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 47983
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 65209
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 38907
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 64815
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 58934
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 81925
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 60579
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 67984
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 65891
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 81443
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 73699
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 70155
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 56846
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 67015
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 87950
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 60627
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 98851
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 57729
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 95465
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 80672
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 68607
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 67143
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 85960
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 50281
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 91446
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 40106
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 75425
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 68054
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 76761
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 86377
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 52545
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 52602
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 47324
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 80388
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 64228
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 91210
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 51529
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 49410
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 96105
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 59683
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 42454
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 64949
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 59890
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 54436
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 89185
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 97136
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 92838
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 40337
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 63175
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 59323
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 71418
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 99879
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 48925
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 93477
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 50845
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 83255
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 63410
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 67018
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 84466
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 87668
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 61718
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 76572
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 91960
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 70128
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 56590
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 85074
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 82545
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 83340
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 41908
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 89788
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 49555
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 97274
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 69726
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 75445
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 72691
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 71390
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 67510
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 51961
18 - 26, government, pre-university, not-married, customer-service, *, *, *, 50594
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 90618
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 41544
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 94232
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 85466
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 83901
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 58673
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 56782
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 81629
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 41398
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 46765
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 36289
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 54444
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 93135
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 90747
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 46108
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 76600
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 40689
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 57162
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 49871
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 41774
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 86516
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 83328
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 74889
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 98472
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 41203
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 98069
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 39365
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 85039
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 88861
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 77627
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 72792
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 55999
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 64924
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 66616
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 52073
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 43989
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 61530
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 42523
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 42857
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 60788
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 98167
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 68033
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 56078
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 84246
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 76410
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 66997
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 63469
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 63011
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 90521
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 40485
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 94842
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 60471
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 72532
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 35629
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 75524
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 96456
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 56546
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 61297
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 54904
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 65851
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 52613
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 94798
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 43364
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 84301
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 55746
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 84897
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 77264
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 99694
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 50030
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 77513
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 71482
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 81811
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 67615
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 51195
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 60990
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 48243
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 49561
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 40575
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 82663
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 43996
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 66729
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 92843
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 85541
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 93987
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 88297
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 75718
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 65362
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 58467
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 79604
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 61789
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 64541
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 63872
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 54049
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 58801
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 92918
27 - 37, government, pre-university, not-married, customer-service, *, *, *, 48805
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 48215
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 85189
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 82188
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 42781
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 49939
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 84584
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 54470
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 75339
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 42383
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 76365
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 64273
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 50396
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 78599
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 56300
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 49219
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 61562
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 39102
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 85159
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 80232
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 54302
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 36829
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 81885
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 47364
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 83660
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 61818
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 51528
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 43390
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 83210
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 93506
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 89354
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 72510
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 52799
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 61695
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 70932
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 35453
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 94837
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 70073
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 73155
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 70270
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 93328
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 55921
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 71977
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 57602
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 73362
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 41145
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 49773
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 68661
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 90132
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 61592
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 62482
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 56520
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 51134
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 62847
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 59437
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 90489
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 39367
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 47445
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 52480
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 42416
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 89383
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 80761
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 53765
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 67646
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 87659
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 56580
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 56196
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 43062
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 71219
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 89685
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 37431
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 83174
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 63602
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 90015
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 85760
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 72512
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 46091
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 63613
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 79309
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 37177
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 83931
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 71693
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 40530
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 79144
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 41115
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 66504
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 73496
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 76137
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 70852
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 92899
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 80972
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 36244
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 42702
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 61646
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 57686
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 68329
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 82417
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 48380
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 91143
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 50762
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 50576
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 65257
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 58896
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 77620
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 53555
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 40800
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 81165
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 42830
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 50640
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 78389
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 94894
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 59356
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 36087
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 46813
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 87218
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 47545
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 41841
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 67401
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 71089
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 38419
17 - 23, non-government, hs-grad, not-married, customer-service, *, male, *, 50820
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 68429
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 73342
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 43619
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 67208
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 89725
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 75456
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 48947
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 44760
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 61867
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 47981
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 58237
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 67078
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 49760
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 83934
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 97154
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 56879
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 79648
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 97853
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 68032
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 99505
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 76190
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 51411
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 43517
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 52240
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 85813
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 46178
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 75908
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 93694
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 93979
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 49052
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 46686
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 63285
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 57093
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 57986
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 86644
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 41094
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 44492
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 61922
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 49908
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 58814
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 78235
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 89175
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 79994
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 57188
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 44867
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 56175
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 62222
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 60268
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 63361
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 90227
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 78350
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 51133
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 74310
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 47504
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 86688
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 89660
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 70343
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 71346
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 94977
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 51396
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 89684
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 43954
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 45280
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 55527
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 72790
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 51618
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 53132
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 74657
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 75616
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 59618
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 64751
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 92929
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 94405
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 95465
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 62528
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 46607
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 83918
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 87856
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 43809
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 45706
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 80576
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 68572
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 54372
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 95377
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 94041
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 88780
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 78602
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 61581
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 97687
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 92717
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 61412
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 60618
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 60259
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 96282
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 81156
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 69366
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 43508
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 45047
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 83890
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 59059
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 40852
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 42565
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 53552
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 66825
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 92925
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 71774
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 58363
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 60610
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 73094
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 93669
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 93193
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 77070
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 51243
17 - 21, non-government, some-college, never-married, customer-service, *, male, *, 65728
