27 - 37, federal-gov, *, married, skilled, *, male, united-states, 83312
21 - 27, non-government, some-college, married, other-service, *, male, united-states, 73241
21 - 27, non-government, some-college, married, other-service, *, male, united-states, 54014
21 - 27, non-government, some-college, married, other-service, *, male, united-states, 72349
21 - 27, non-government, some-college, married, other-service, *, male, united-states, 58017
21 - 27, non-government, some-college, married, other-service, *, male, united-states, 63608
21 - 27, non-government, some-college, married, other-service, *, male, united-states, 49843
28 - 30, non-government, hs-grad, married-civ-spouse, other-service, *, male, *, 79412
28 - 30, non-government, hs-grad, married-civ-spouse, other-service, *, male, *, 73103
28 - 30, non-government, hs-grad, married-civ-spouse, other-service, *, male, *, 83267
28 - 30, non-government, hs-grad, married-civ-spouse, other-service, *, male, *, 62382
28 - 30, non-government, hs-grad, married-civ-spouse, other-service, *, male, *, 38789
28 - 30, non-government, hs-grad, married-civ-spouse, other-service, *, male, *, 74712
28 - 30, non-government, hs-grad, married-civ-spouse, other-service, *, male, *, 60446
28 - 30, non-government, hs-grad, married-civ-spouse, other-service, *, male, *, 55117
28 - 30, non-government, hs-grad, married-civ-spouse, other-service, *, male, *, 46133
28 - 30, non-government, hs-grad, married-civ-spouse, other-service, *, male, *, 83096
28 - 30, non-government, hs-grad, married-civ-spouse, other-service, *, male, *, 38351
28 - 30, non-government, hs-grad, married-civ-spouse, other-service, *, male, *, 67017
31, private, hs-grad, married, other-service, *, male, north-america, 84884
31, private, hs-grad, married, other-service, *, male, north-america, 89346
31, private, hs-grad, married, other-service, *, male, north-america, 73096
31, private, hs-grad, married, other-service, *, male, north-america, 72316
31, private, hs-grad, married, other-service, *, male, north-america, 78381
31, private, hs-grad, married, other-service, *, male, north-america, 45351
31, private, hs-grad, married, other-service, *, male, north-america, 46942
31, private, hs-grad, married, other-service, *, male, north-america, 52287
31, private, hs-grad, married, other-service, *, male, north-america, 85388
31, private, hs-grad, married, other-service, *, male, north-america, 57928
31, private, hs-grad, married, other-service, *, male, north-america, 60062
28 - 31, private, some-college, married-civ-spouse, other-service, *, male, *, 98481
28 - 31, private, some-college, married-civ-spouse, other-service, *, male, *, 97243
28 - 31, private, some-college, married-civ-spouse, other-service, *, male, *, 75318
28 - 31, private, some-college, married-civ-spouse, other-service, *, male, *, 76837
28 - 31, private, some-college, married-civ-spouse, other-service, *, male, *, 40709
28 - 31, private, some-college, married-civ-spouse, other-service, *, male, *, 72887
28 - 31, private, some-college, married-civ-spouse, other-service, *, male, *, 42647
28 - 31, private, some-college, married-civ-spouse, other-service, *, male, *, 86052
28 - 31, private, some-college, married-civ-spouse, other-service, *, male, *, 85501
28 - 31, private, some-college, married-civ-spouse, other-service, *, male, *, 48728
32 - 34, non-government, hs-grad, married, other-service, *, male, *, 93973
32 - 34, non-government, hs-grad, married, other-service, *, male, *, 47156
32 - 34, non-government, hs-grad, married, other-service, *, male, *, 75148
32 - 34, non-government, hs-grad, married, other-service, *, male, *, 91525
32 - 34, non-government, hs-grad, married, other-service, *, male, *, 54332
32 - 34, non-government, hs-grad, married, other-service, *, male, *, 67940
32 - 34, non-government, hs-grad, married, other-service, *, male, *, 83375
32 - 34, non-government, hs-grad, married, other-service, *, male, *, 79022
32 - 34, non-government, hs-grad, married, other-service, *, male, *, 50498
32 - 34, non-government, hs-grad, married, other-service, *, male, *, 40645
32 - 34, non-government, hs-grad, married, other-service, *, male, *, 38649
32 - 34, non-government, hs-grad, married, other-service, *, male, *, 49469
32 - 34, non-government, hs-grad, married, other-service, *, male, *, 53451
32 - 34, non-government, hs-grad, married, other-service, *, male, *, 64597
32 - 34, non-government, hs-grad, married, other-service, *, male, *, 43430
32 - 34, non-government, hs-grad, married, other-service, *, male, *, 75421
32 - 34, non-government, hs-grad, married, other-service, *, male, *, 93779
35, non-government, hs-grad, married, other-service, *, male, *, 74978
35, non-government, hs-grad, married, other-service, *, male, *, 39706
35, non-government, hs-grad, married, other-service, *, male, *, 87780
35, non-government, hs-grad, married, other-service, *, male, *, 58396
35, non-government, hs-grad, married, other-service, *, male, *, 46324
35, non-government, hs-grad, married, other-service, *, male, *, 59813
35, non-government, hs-grad, married, other-service, *, male, *, 93538
35, non-government, hs-grad, married, other-service, *, male, *, 66853
36 - 37, non-government, hs-grad, married-civ-spouse, other-service, *, male, *, 49137
36 - 37, non-government, hs-grad, married-civ-spouse, other-service, *, male, *, 42836
36 - 37, non-government, hs-grad, married-civ-spouse, other-service, *, male, *, 47654
36 - 37, non-government, hs-grad, married-civ-spouse, other-service, *, male, *, 56290
36 - 37, non-government, hs-grad, married-civ-spouse, other-service, *, male, *, 72956
36 - 37, non-government, hs-grad, married-civ-spouse, other-service, *, male, *, 85213
36 - 37, non-government, hs-grad, married-civ-spouse, other-service, *, male, *, 42964
36 - 37, non-government, hs-grad, married-civ-spouse, other-service, *, male, *, 83580
36 - 37, non-government, hs-grad, married-civ-spouse, other-service, *, male, *, 87549
36 - 37, non-government, hs-grad, married-civ-spouse, other-service, *, male, *, 58764
36 - 37, non-government, hs-grad, married-civ-spouse, other-service, *, male, *, 43597
36 - 37, non-government, hs-grad, married-civ-spouse, other-service, *, male, *, 36593
36 - 37, non-government, hs-grad, married-civ-spouse, other-service, *, male, *, 71218
32 - 37, non-government, some-college, married, other-service, *, male, *, 42181
32 - 37, non-government, some-college, married, other-service, *, male, *, 73332
32 - 37, non-government, some-college, married, other-service, *, male, *, 91382
32 - 37, non-government, some-college, married, other-service, *, male, *, 61396
32 - 37, non-government, some-college, married, other-service, *, male, *, 63894
32 - 37, non-government, some-college, married, other-service, *, male, *, 56814
32 - 37, non-government, some-college, married, other-service, *, male, *, 40227
32 - 37, non-government, some-college, married, other-service, *, male, *, 48086
32 - 37, non-government, some-college, married, other-service, *, male, *, 83034
32 - 37, non-government, some-college, married, other-service, *, male, *, 81626
32 - 37, non-government, some-college, married, other-service, *, male, *, 69493
32 - 37, non-government, some-college, married, other-service, *, male, *, 71344
32 - 37, non-government, some-college, married, other-service, *, male, *, 54967
32 - 37, non-government, some-college, married, other-service, *, male, *, 71284
32 - 37, non-government, some-college, married, other-service, *, male, *, 47733
32 - 37, non-government, some-college, married, other-service, *, male, *, 78672
19 - 24, private, pre-university, married, other-service, *, female, *, 77289
19 - 24, private, pre-university, married, other-service, *, female, *, 63015
19 - 24, private, pre-university, married, other-service, *, female, *, 83526
19 - 24, private, pre-university, married, other-service, *, female, *, 51957
19 - 24, private, pre-university, married, other-service, *, female, *, 86984
19 - 24, private, pre-university, married, other-service, *, female, *, 89679
19 - 24, private, pre-university, married, other-service, *, female, *, 88086
19 - 24, private, pre-university, married, other-service, *, female, *, 67636
19 - 24, private, pre-university, married, other-service, *, female, *, 80899
19 - 24, private, pre-university, married, other-service, *, female, *, 71412
19 - 24, private, pre-university, married, other-service, *, female, *, 35374
19 - 24, private, pre-university, married, other-service, *, female, *, 56714
19 - 24, private, pre-university, married, other-service, *, female, *, 45454
19 - 24, private, pre-university, married, other-service, *, female, *, 40850
19 - 24, private, pre-university, married, other-service, *, female, *, 94471
19 - 24, private, pre-university, married, other-service, *, female, *, 56673
19 - 24, private, pre-university, married, other-service, *, female, *, 66822
19 - 24, private, pre-university, married, other-service, *, female, *, 84322
25 - 28, private, pre-university, married, other-service, *, female, *, 61207
25 - 28, private, pre-university, married, other-service, *, female, *, 88785
25 - 28, private, pre-university, married, other-service, *, female, *, 45585
25 - 28, private, pre-university, married, other-service, *, female, *, 59171
25 - 28, private, pre-university, married, other-service, *, female, *, 82063
25 - 28, private, pre-university, married, other-service, *, female, *, 52802
25 - 28, private, pre-university, married, other-service, *, female, *, 82785
25 - 28, private, pre-university, married, other-service, *, female, *, 95585
25 - 28, private, pre-university, married, other-service, *, female, *, 52808
25 - 28, private, pre-university, married, other-service, *, female, *, 92823
25 - 28, private, pre-university, married, other-service, *, female, *, 50733
25 - 28, private, pre-university, married, other-service, *, female, *, 67137
25 - 28, private, pre-university, married, other-service, *, female, *, 54161
25 - 28, private, pre-university, married, other-service, *, female, *, 77806
29 - 30, private, pre-university, married, other-service, *, female, *, 50743
29 - 30, private, pre-university, married, other-service, *, female, *, 59963
29 - 30, private, pre-university, married, other-service, *, female, *, 61857
29 - 30, private, pre-university, married, other-service, *, female, *, 58024
29 - 30, private, pre-university, married, other-service, *, female, *, 66618
29 - 30, private, pre-university, married, other-service, *, female, *, 37219
29 - 30, private, pre-university, married, other-service, *, female, *, 54856
29 - 30, private, pre-university, married, other-service, *, female, *, 43630
29 - 30, private, pre-university, married, other-service, *, female, *, 63714
29 - 30, private, pre-university, married, other-service, *, female, *, 89251
29 - 30, private, pre-university, married, other-service, *, female, *, 65800
29 - 30, private, pre-university, married, other-service, *, female, *, 91614
29 - 30, private, pre-university, married, other-service, *, female, *, 94514
29 - 30, private, pre-university, married, other-service, *, female, *, 83435
29 - 30, private, pre-university, married, other-service, *, female, *, 72614
31, private, pre-university, married, other-service, *, female, *, 67069
31, private, pre-university, married, other-service, *, female, *, 62499
31, private, pre-university, married, other-service, *, female, *, 61893
31, private, pre-university, married, other-service, *, female, *, 63018
31, private, pre-university, married, other-service, *, female, *, 63893
31, private, pre-university, married, other-service, *, female, *, 56875
31, private, pre-university, married, other-service, *, female, *, 66644
31, private, pre-university, married, other-service, *, female, *, 84919
32 - 33, private, hs-grad, married, other-service, *, female, *, 86968
32 - 33, private, hs-grad, married, other-service, *, female, *, 60647
32 - 33, private, hs-grad, married, other-service, *, female, *, 46551
32 - 33, private, hs-grad, married, other-service, *, female, *, 71732
32 - 33, private, hs-grad, married, other-service, *, female, *, 58339
32 - 33, private, hs-grad, married, other-service, *, female, *, 52848
32 - 33, private, hs-grad, married, other-service, *, female, *, 49406
32 - 33, private, hs-grad, married, other-service, *, female, *, 36565
32 - 33, private, hs-grad, married, other-service, *, female, *, 76447
32 - 33, private, hs-grad, married, other-service, *, female, *, 67884
32 - 33, private, hs-grad, married, other-service, *, female, *, 55155
34 - 35, private, hs-grad, married, other-service, *, female, *, 61819
34 - 35, private, hs-grad, married, other-service, *, female, *, 52208
34 - 35, private, hs-grad, married, other-service, *, female, *, 53622
34 - 35, private, hs-grad, married, other-service, *, female, *, 62336
34 - 35, private, hs-grad, married, other-service, *, female, *, 49605
34 - 35, private, hs-grad, married, other-service, *, female, *, 68450
34 - 35, private, hs-grad, married, other-service, *, female, *, 83456
34 - 35, private, hs-grad, married, other-service, *, female, *, 38408
34 - 35, private, hs-grad, married, other-service, *, female, *, 86579
34 - 35, private, hs-grad, married, other-service, *, female, *, 77592
34 - 35, private, hs-grad, married, other-service, *, female, *, 35079
36 - 37, private, hs-grad, married, other-service, *, female, *, 49648
36 - 37, private, hs-grad, married, other-service, *, female, *, 82396
36 - 37, private, hs-grad, married, other-service, *, female, *, 93142
36 - 37, private, hs-grad, married, other-service, *, female, *, 66145
36 - 37, private, hs-grad, married, other-service, *, female, *, 91884
36 - 37, private, hs-grad, married, other-service, *, female, *, 86555
36 - 37, private, hs-grad, married, other-service, *, female, *, 70489
36 - 37, private, hs-grad, married, other-service, *, female, *, 38622
36 - 37, private, hs-grad, married, other-service, *, female, *, 87433
36 - 37, private, hs-grad, married, other-service, *, female, *, 52444
32 - 37, private, some-college, married, other-service, *, female, *, 44777
32 - 37, private, some-college, married, other-service, *, female, *, 40734
32 - 37, private, some-college, married, other-service, *, female, *, 84650
32 - 37, private, some-college, married, other-service, *, female, *, 80357
32 - 37, private, some-college, married, other-service, *, female, *, 41492
32 - 37, private, some-college, married, other-service, *, female, *, 78845
32 - 37, private, some-college, married, other-service, *, female, *, 82432
32 - 37, private, some-college, married, other-service, *, female, *, 45109
32 - 37, private, some-college, married, other-service, *, female, *, 65764
32 - 37, private, some-college, married, other-service, *, female, *, 49551
32 - 37, private, some-college, married, other-service, *, female, *, 83991
32 - 37, private, some-college, married, other-service, *, female, *, 71808
32 - 37, private, some-college, married, other-service, *, female, *, 97375
32 - 37, private, some-college, married, other-service, *, female, *, 49851
18 - 37, self-emp-not-inc, pre-university, married, other-service, *, female, *, 38007
18 - 37, self-emp-not-inc, pre-university, married, other-service, *, female, *, 50936
18 - 37, self-emp-not-inc, pre-university, married, other-service, *, female, *, 93243
18 - 37, self-emp-not-inc, pre-university, married, other-service, *, female, *, 88699
18 - 37, self-emp-not-inc, pre-university, married, other-service, *, female, *, 65209
18 - 37, self-emp-not-inc, pre-university, married, other-service, *, female, *, 76650
18 - 37, self-emp-not-inc, pre-university, married, other-service, *, female, *, 92390
18 - 37, self-emp-not-inc, pre-university, married, other-service, *, female, *, 55180
18 - 37, self-emp-not-inc, pre-university, married, other-service, *, female, *, 77180
18 - 37, self-emp-not-inc, pre-university, married, other-service, *, female, *, 54423
18 - 37, self-emp-not-inc, pre-university, married, other-service, *, female, *, 42334
18 - 37, self-emp-not-inc, pre-university, married, other-service, *, female, *, 99051
18 - 37, self-emp-not-inc, pre-university, married, other-service, *, female, *, 70212
18 - 37, self-emp-not-inc, pre-university, married, other-service, *, female, *, 39117
20 - 37, non-government, pre-university, not-married, skilled, amer-indian-eskimo, *, north-america, 47007
20 - 37, non-government, pre-university, not-married, skilled, amer-indian-eskimo, *, north-america, 90310
20 - 37, non-government, pre-university, not-married, skilled, amer-indian-eskimo, *, north-america, 69552
20 - 37, non-government, pre-university, not-married, skilled, amer-indian-eskimo, *, north-america, 68107
20 - 37, non-government, pre-university, not-married, skilled, amer-indian-eskimo, *, north-america, 78807
20 - 37, non-government, pre-university, not-married, skilled, amer-indian-eskimo, *, north-america, 59159
20 - 37, non-government, pre-university, not-married, skilled, amer-indian-eskimo, *, north-america, 75928
20 - 37, non-government, pre-university, not-married, skilled, amer-indian-eskimo, *, north-america, 91260
20 - 37, non-government, pre-university, not-married, skilled, amer-indian-eskimo, *, north-america, 74369
20 - 37, non-government, pre-university, not-married, skilled, amer-indian-eskimo, *, north-america, 61068
20 - 37, non-government, pre-university, not-married, skilled, amer-indian-eskimo, *, north-america, 94358
20 - 37, non-government, pre-university, not-married, skilled, amer-indian-eskimo, *, north-america, 90932
20 - 37, non-government, pre-university, not-married, skilled, amer-indian-eskimo, *, north-america, 86686
20 - 37, non-government, pre-university, not-married, skilled, amer-indian-eskimo, *, north-america, 77018
18 - 37, private, pre-university, never-married, handlers-cleaners, amer-indian-eskimo, *, united-states, 80282
18 - 37, private, pre-university, never-married, handlers-cleaners, amer-indian-eskimo, *, united-states, 40551
18 - 37, private, pre-university, never-married, handlers-cleaners, amer-indian-eskimo, *, united-states, 39231
18 - 37, private, pre-university, never-married, handlers-cleaners, amer-indian-eskimo, *, united-states, 72202
18 - 37, private, pre-university, never-married, handlers-cleaners, amer-indian-eskimo, *, united-states, 85561
18 - 37, private, pre-university, never-married, handlers-cleaners, amer-indian-eskimo, *, united-states, 62520
18 - 37, private, pre-university, never-married, handlers-cleaners, amer-indian-eskimo, *, united-states, 63856
18 - 37, private, pre-university, never-married, handlers-cleaners, amer-indian-eskimo, *, united-states, 88919
18 - 37, private, pre-university, never-married, handlers-cleaners, amer-indian-eskimo, *, united-states, 83473
18 - 37, private, pre-university, never-married, handlers-cleaners, amer-indian-eskimo, *, united-states, 41392
20 - 26, private, pre-university, never-married, skilled, asian-pac-islander, *, *, 87356
20 - 26, private, pre-university, never-married, skilled, asian-pac-islander, *, *, 64058
20 - 26, private, pre-university, never-married, skilled, asian-pac-islander, *, *, 79492
20 - 26, private, pre-university, never-married, skilled, asian-pac-islander, *, *, 66360
20 - 26, private, pre-university, never-married, skilled, asian-pac-islander, *, *, 43452
20 - 26, private, pre-university, never-married, skilled, asian-pac-islander, *, *, 50827
20 - 26, private, pre-university, never-married, skilled, asian-pac-islander, *, *, 95397
20 - 26, private, pre-university, never-married, skilled, asian-pac-islander, *, *, 97260
20 - 26, private, pre-university, never-married, skilled, asian-pac-islander, *, *, 65415
20 - 26, private, pre-university, never-married, skilled, asian-pac-islander, *, *, 62752
20 - 26, private, pre-university, never-married, skilled, asian-pac-islander, *, *, 55497
20 - 26, private, pre-university, never-married, skilled, asian-pac-islander, *, *, 70386
20 - 26, private, pre-university, never-married, skilled, asian-pac-islander, *, *, 83524
27 - 37, private, pre-university, not-married, skilled, asian-pac-islander, *, *, 99197
27 - 37, private, pre-university, not-married, skilled, asian-pac-islander, *, *, 79911
27 - 37, private, pre-university, not-married, skilled, asian-pac-islander, *, *, 43167
27 - 37, private, pre-university, not-married, skilled, asian-pac-islander, *, *, 49191
27 - 37, private, pre-university, not-married, skilled, asian-pac-islander, *, *, 84854
27 - 37, private, pre-university, not-married, skilled, asian-pac-islander, *, *, 40191
27 - 37, private, pre-university, not-married, skilled, asian-pac-islander, *, *, 50871
27 - 37, private, pre-university, not-married, skilled, asian-pac-islander, *, *, 83879
27 - 37, private, pre-university, not-married, skilled, asian-pac-islander, *, *, 82291
27 - 37, private, pre-university, not-married, skilled, asian-pac-islander, *, *, 68503
27 - 37, private, pre-university, not-married, skilled, asian-pac-islander, *, *, 71694
27 - 37, private, pre-university, not-married, skilled, asian-pac-islander, *, *, 53570
27 - 37, private, pre-university, not-married, skilled, asian-pac-islander, *, *, 72848
18 - 37, non-government, pre-university, not-married, unskilled, asian-pac-islander, *, *, 48256
18 - 37, non-government, pre-university, not-married, unskilled, asian-pac-islander, *, *, 69598
18 - 37, non-government, pre-university, not-married, unskilled, asian-pac-islander, *, *, 40058
18 - 37, non-government, pre-university, not-married, unskilled, asian-pac-islander, *, *, 85046
18 - 37, non-government, pre-university, not-married, unskilled, asian-pac-islander, *, *, 84891
18 - 37, non-government, pre-university, not-married, unskilled, asian-pac-islander, *, *, 95925
18 - 37, non-government, pre-university, not-married, unskilled, asian-pac-islander, *, *, 94317
18 - 37, non-government, pre-university, not-married, unskilled, asian-pac-islander, *, *, 86113
18 - 37, non-government, pre-university, not-married, unskilled, asian-pac-islander, *, *, 51729
18 - 37, non-government, pre-university, not-married, unskilled, asian-pac-islander, *, *, 49129
18 - 37, non-government, pre-university, not-married, unskilled, asian-pac-islander, *, *, 57413
18 - 37, non-government, pre-university, not-married, unskilled, asian-pac-islander, *, *, 86114
18 - 37, non-government, pre-university, not-married, unskilled, asian-pac-islander, *, *, 54710
18 - 37, non-government, pre-university, not-married, unskilled, asian-pac-islander, *, *, 51191
18 - 37, non-government, pre-university, not-married, unskilled, asian-pac-islander, *, *, 39238
20 - 27, private, pre-university, never-married, craft-repair, black, male, united-states, 83124
20 - 27, private, pre-university, never-married, craft-repair, black, male, united-states, 63371
20 - 27, private, pre-university, never-married, craft-repair, black, male, united-states, 39653
20 - 27, private, pre-university, never-married, craft-repair, black, male, united-states, 78414
20 - 27, private, pre-university, never-married, craft-repair, black, male, united-states, 74409
20 - 27, private, pre-university, never-married, craft-repair, black, male, united-states, 57869
20 - 27, private, pre-university, never-married, craft-repair, black, male, united-states, 69517
20 - 27, private, pre-university, never-married, craft-repair, black, male, united-states, 36132
20 - 27, private, pre-university, never-married, craft-repair, black, male, united-states, 36431
20 - 27, private, pre-university, never-married, craft-repair, black, male, united-states, 80719
20 - 27, private, pre-university, never-married, craft-repair, black, male, united-states, 50363
20 - 27, private, pre-university, never-married, craft-repair, black, male, united-states, 87240
20 - 27, private, pre-university, never-married, craft-repair, black, male, united-states, 66833
20 - 27, private, pre-university, never-married, craft-repair, black, male, united-states, 40275
20 - 27, private, pre-university, never-married, craft-repair, black, male, united-states, 71911
20 - 27, private, pre-university, never-married, craft-repair, black, male, united-states, 66101
20 - 27, private, pre-university, never-married, craft-repair, black, male, united-states, 83769
20 - 27, private, pre-university, never-married, craft-repair, black, male, united-states, 38674
20 - 27, private, pre-university, never-married, machine-op-inspct, black, male, *, 61158
20 - 27, private, pre-university, never-married, machine-op-inspct, black, male, *, 83478
20 - 27, private, pre-university, never-married, machine-op-inspct, black, male, *, 49367
20 - 27, private, pre-university, never-married, machine-op-inspct, black, male, *, 89543
20 - 27, private, pre-university, never-married, machine-op-inspct, black, male, *, 89308
20 - 27, private, pre-university, never-married, machine-op-inspct, black, male, *, 54127
20 - 27, private, pre-university, never-married, machine-op-inspct, black, male, *, 65873
20 - 27, private, pre-university, never-married, machine-op-inspct, black, male, *, 50943
20 - 27, private, pre-university, never-married, machine-op-inspct, black, male, *, 39569
20 - 27, private, pre-university, never-married, machine-op-inspct, black, male, *, 48256
20 - 27, private, pre-university, never-married, machine-op-inspct, black, male, *, 89761
20 - 27, private, pre-university, never-married, machine-op-inspct, black, male, *, 60077
20 - 27, private, pre-university, never-married, machine-op-inspct, black, male, *, 71103
29 - 36, non-government, hs-grad, not-married, craft-repair, black, male, *, 77582
29 - 36, non-government, hs-grad, not-married, craft-repair, black, male, *, 46213
29 - 36, non-government, hs-grad, not-married, craft-repair, black, male, *, 76083
29 - 36, non-government, hs-grad, not-married, craft-repair, black, male, *, 35932
29 - 36, non-government, hs-grad, not-married, craft-repair, black, male, *, 76493
29 - 36, non-government, hs-grad, not-married, craft-repair, black, male, *, 85748
29 - 36, non-government, hs-grad, not-married, craft-repair, black, male, *, 40812
29 - 36, non-government, hs-grad, not-married, craft-repair, black, male, *, 75857
29 - 36, non-government, hs-grad, not-married, craft-repair, black, male, *, 46509
29 - 36, non-government, hs-grad, not-married, craft-repair, black, male, *, 77135
28 - 36, private, some-college, not-married, craft-repair, black, male, united-states, 96902
28 - 36, private, some-college, not-married, craft-repair, black, male, united-states, 59120
28 - 36, private, some-college, not-married, craft-repair, black, male, united-states, 64850
28 - 36, private, some-college, not-married, craft-repair, black, male, united-states, 53939
28 - 36, private, some-college, not-married, craft-repair, black, male, united-states, 51686
28 - 36, private, some-college, not-married, craft-repair, black, male, united-states, 65096
28 - 36, private, some-college, not-married, craft-repair, black, male, united-states, 94426
28 - 36, private, some-college, not-married, craft-repair, black, male, united-states, 71761
28 - 36, private, some-college, not-married, craft-repair, black, male, united-states, 80877
28 - 36, private, some-college, not-married, craft-repair, black, male, united-states, 62999
28 - 36, private, some-college, not-married, craft-repair, black, male, united-states, 96136
28 - 37, non-government, pre-university, never-married, machine-op-inspct, black, male, *, 52368
28 - 37, non-government, pre-university, never-married, machine-op-inspct, black, male, *, 70039
28 - 37, non-government, pre-university, never-married, machine-op-inspct, black, male, *, 36817
28 - 37, non-government, pre-university, never-married, machine-op-inspct, black, male, *, 92725
28 - 37, non-government, pre-university, never-married, machine-op-inspct, black, male, *, 92898
28 - 37, non-government, pre-university, never-married, machine-op-inspct, black, male, *, 68129
28 - 37, non-government, pre-university, never-married, machine-op-inspct, black, male, *, 35774
28 - 37, non-government, pre-university, never-married, machine-op-inspct, black, male, *, 96074
28 - 37, non-government, pre-university, never-married, machine-op-inspct, black, male, *, 45281
28 - 37, non-government, pre-university, never-married, machine-op-inspct, black, male, *, 87018
17 - 22, private, hs-grad, never-married, unskilled, black, male, united-states, 60204
17 - 22, private, hs-grad, never-married, unskilled, black, male, united-states, 49794
17 - 22, private, hs-grad, never-married, unskilled, black, male, united-states, 43229
17 - 22, private, hs-grad, never-married, unskilled, black, male, united-states, 76655
17 - 22, private, hs-grad, never-married, unskilled, black, male, united-states, 48782
17 - 22, private, hs-grad, never-married, unskilled, black, male, united-states, 84033
17 - 22, private, hs-grad, never-married, unskilled, black, male, united-states, 42960
17 - 22, private, hs-grad, never-married, unskilled, black, male, united-states, 61745
17 - 22, private, hs-grad, never-married, unskilled, black, male, united-states, 39804
17 - 22, private, hs-grad, never-married, unskilled, black, male, united-states, 42214
17 - 22, private, hs-grad, never-married, unskilled, black, male, united-states, 78543
17 - 22, private, hs-grad, never-married, unskilled, black, male, united-states, 76075
17 - 22, private, hs-grad, never-married, unskilled, black, male, united-states, 87501
17 - 22, private, hs-grad, never-married, unskilled, black, male, united-states, 59780
17 - 22, private, hs-grad, never-married, unskilled, black, male, united-states, 58811
17 - 22, private, hs-grad, never-married, unskilled, black, male, united-states, 49426
17 - 22, private, hs-grad, never-married, unskilled, black, male, united-states, 79875
23 - 25, private, hs-grad, never-married, unskilled, black, male, north-america, 79150
23 - 25, private, hs-grad, never-married, unskilled, black, male, north-america, 76371
23 - 25, private, hs-grad, never-married, unskilled, black, male, north-america, 78900
23 - 25, private, hs-grad, never-married, unskilled, black, male, north-america, 73571
23 - 25, private, hs-grad, never-married, unskilled, black, male, north-america, 57971
23 - 25, private, hs-grad, never-married, unskilled, black, male, north-america, 78794
23 - 25, private, hs-grad, never-married, unskilled, black, male, north-america, 35181
23 - 25, private, hs-grad, never-married, unskilled, black, male, north-america, 92941
23 - 25, private, hs-grad, never-married, unskilled, black, male, north-america, 52929
23 - 25, private, hs-grad, never-married, unskilled, black, male, north-america, 69533
23 - 25, private, hs-grad, never-married, unskilled, black, male, north-america, 76473
23 - 25, private, hs-grad, never-married, unskilled, black, male, north-america, 84329
20 - 25, private, some-college, never-married, unskilled, black, male, *, 53066
20 - 25, private, some-college, never-married, unskilled, black, male, *, 78167
20 - 25, private, some-college, never-married, unskilled, black, male, *, 86738
20 - 25, private, some-college, never-married, unskilled, black, male, *, 98759
20 - 25, private, some-college, never-married, unskilled, black, male, *, 93076
20 - 25, private, some-college, never-married, unskilled, black, male, *, 90151
20 - 25, private, some-college, never-married, unskilled, black, male, *, 92608
20 - 25, private, some-college, never-married, unskilled, black, male, *, 59827
20 - 25, private, some-college, never-married, unskilled, black, male, *, 94761
20 - 25, private, some-college, never-married, unskilled, black, male, *, 80899
20 - 25, private, some-college, never-married, unskilled, black, male, *, 53800
26 - 27, private, pre-university, never-married, unskilled, black, male, *, 41255
26 - 27, private, pre-university, never-married, unskilled, black, male, *, 65941
26 - 27, private, pre-university, never-married, unskilled, black, male, *, 74382
26 - 27, private, pre-university, never-married, unskilled, black, male, *, 52640
26 - 27, private, pre-university, never-married, unskilled, black, male, *, 45663
26 - 27, private, pre-university, never-married, unskilled, black, male, *, 89077
26 - 27, private, pre-university, never-married, unskilled, black, male, *, 60992
26 - 27, private, pre-university, never-married, unskilled, black, male, *, 52102
26 - 27, private, pre-university, never-married, unskilled, black, male, *, 92735
26 - 27, private, pre-university, never-married, unskilled, black, male, *, 35449
26 - 27, private, pre-university, never-married, unskilled, black, male, *, 90275
26 - 27, private, pre-university, never-married, unskilled, black, male, *, 39943
26 - 27, private, pre-university, never-married, unskilled, black, male, *, 82185
26 - 27, private, pre-university, never-married, unskilled, black, male, *, 52493
26 - 27, private, pre-university, never-married, unskilled, black, male, *, 94435
28 - 29, non-government, pre-university, never-married, unskilled, black, male, *, 94639
28 - 29, non-government, pre-university, never-married, unskilled, black, male, *, 39887
28 - 29, non-government, pre-university, never-married, unskilled, black, male, *, 72263
28 - 29, non-government, pre-university, never-married, unskilled, black, male, *, 63282
28 - 29, non-government, pre-university, never-married, unskilled, black, male, *, 82049
28 - 29, non-government, pre-university, never-married, unskilled, black, male, *, 36656
28 - 29, non-government, pre-university, never-married, unskilled, black, male, *, 65209
30 - 37, private, pre-university, not-married, unskilled, black, male, *, 96295
30 - 37, private, pre-university, not-married, unskilled, black, male, *, 70598
30 - 37, private, pre-university, not-married, unskilled, black, male, *, 68092
30 - 37, private, pre-university, not-married, unskilled, black, male, *, 61380
30 - 37, private, pre-university, not-married, unskilled, black, male, *, 36031
30 - 37, private, pre-university, not-married, unskilled, black, male, *, 73937
30 - 37, private, pre-university, not-married, unskilled, black, male, *, 37829
30 - 37, private, pre-university, not-married, unskilled, black, male, *, 85473
30 - 37, private, pre-university, not-married, unskilled, black, male, *, 51438
30 - 37, private, pre-university, not-married, unskilled, black, male, *, 63935
30 - 37, private, pre-university, not-married, unskilled, black, male, *, 44186
30 - 37, private, pre-university, not-married, unskilled, black, male, *, 40165
30 - 37, private, pre-university, not-married, unskilled, black, male, *, 52715
30 - 37, private, pre-university, not-married, unskilled, black, male, *, 62271
30 - 37, private, pre-university, not-married, unskilled, black, male, *, 63550
