*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 600
*, *, 42.0-133, *, 0-15.0, *, *, 40.0-133, *, *, *, *, false, *, *, *, 1445
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 2475
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 2313
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 200
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 5150
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 2000
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 875
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 150
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 315
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 315
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 230
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 2700
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 555
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 350
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 2833
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 2750
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 430
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 1500
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 1458
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 1210
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 935
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 350
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 285
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 3300
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 2000
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 1200
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 687
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 3050
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 1650
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 1600
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 1075
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 340
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 525
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 333
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 175
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 300
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 2530
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 500
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 230
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 2150
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 1300
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 2983
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 387
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 1650
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 1900
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 740
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 620
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 1150
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 275
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 1933
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 1075
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 360
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 5000
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 2050
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 2167
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 2050
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 560
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 360
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 3850
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 287
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 230
