*, *, pre-primary, married, *, *, *, *, 19264
*, *, assoc-voc, not-married, *, *, *, *, 86214
*, *, assoc-voc, not-married, *, *, *, *, 90549
*, *, assoc-voc, not-married, *, *, *, *, 54757
*, *, assoc-voc, not-married, *, *, *, *, 122062
*, *, assoc-voc, not-married, *, *, *, *, 115507
*, *, assoc-voc, not-married, *, *, *, *, 135114
*, *, assoc-voc, not-married, *, *, *, *, 104953
*, *, assoc-voc, not-married, *, *, *, *, 85097
*, *, assoc-voc, not-married, *, *, *, *, 126013
*, *, assoc-voc, not-married, *, *, *, *, 97214
*, *, assoc-voc, not-married, *, *, *, *, 64865
*, *, assoc-voc, not-married, *, *, *, *, 74684
*, *, assoc-voc, not-married, *, *, *, *, 125485
*, *, assoc-voc, not-married, *, *, *, *, 56787
*, *, assoc-voc, not-married, *, *, *, *, 63430
*, *, assoc-voc, not-married, *, *, *, *, 113558
*, *, assoc-voc, not-married, *, *, *, *, 99827
*, *, assoc-voc, not-married, *, *, *, *, 138393
*, *, assoc-voc, not-married, *, *, *, *, 118287
*, *, assoc-voc, not-married, *, *, *, *, 106832
*, *, assoc-voc, not-married, *, *, *, *, 118527
*, *, assoc-voc, not-married, *, *, *, *, 118937
*, *, assoc-voc, not-married, *, *, *, *, 100636
*, *, assoc-voc, not-married, *, *, *, *, 93350
*, *, assoc-voc, not-married, *, *, *, *, 62761
*, *, assoc-voc, not-married, *, *, *, *, 90830
*, *, assoc-voc, not-married, *, *, *, *, 65474
*, *, assoc-voc, not-married, *, *, *, *, 86402
*, *, assoc-voc, not-married, *, *, *, *, 89235
*, *, assoc-voc, not-married, *, *, *, *, 98409
*, *, assoc-voc, not-married, *, *, *, *, 107235
*, *, assoc-voc, not-married, *, *, *, *, 79632
*, *, assoc-voc, not-married, *, *, *, *, 101787
*, *, assoc-voc, not-married, *, *, *, *, 102332
*, *, assoc-voc, not-married, *, *, *, *, 102101
*, *, assoc-voc, not-married, *, *, *, *, 109758
*, *, assoc-voc, not-married, *, *, *, *, 115231
*, *, assoc-voc, not-married, *, *, *, *, 60290
*, *, assoc-voc, not-married, *, *, *, *, 78795
*, *, assoc-voc, not-married, *, *, *, *, 124785
*, *, assoc-voc, not-married, *, *, *, *, 73216
*, *, assoc-voc, not-married, *, *, *, *, 71751
*, *, assoc-voc, not-married, *, *, *, *, 86088
*, *, assoc-voc, not-married, *, *, *, *, 87625
*, *, assoc-voc, not-married, *, *, *, *, 59949
*, *, assoc-voc, not-married, *, *, *, *, 77615
*, *, assoc-voc, not-married, *, *, *, *, 90524
*, *, assoc-voc, not-married, *, *, *, *, 68312
*, *, assoc-voc, not-married, *, *, *, *, 121861
*, *, assoc-voc, not-married, *, *, *, *, 101526
*, *, assoc-voc, not-married, *, *, *, *, 77514
*, *, assoc-voc, not-married, *, *, *, *, 80100
*, *, assoc-voc, not-married, *, *, *, *, 89401
*, *, assoc-voc, not-married, *, *, *, *, 114399
*, *, assoc-voc, not-married, *, *, *, *, 80098
*, *, assoc-voc, not-married, *, *, *, *, 72265
*, *, assoc-voc, not-married, *, *, *, *, 90255
*, *, assoc-voc, not-married, *, *, *, *, 107822
*, *, assoc-voc, not-married, *, *, *, *, 115380
*, *, assoc-voc, not-married, *, *, *, *, 120104
*, *, assoc-voc, not-married, *, *, *, *, 76534
*, *, assoc-voc, not-married, *, *, *, *, 89817
*, *, assoc-voc, not-married, *, *, *, *, 112523
*, *, assoc-voc, not-married, *, *, *, *, 58319
*, *, assoc-voc, not-married, *, *, *, *, 99737
*, *, assoc-voc, not-married, *, *, *, *, 58282
*, *, assoc-voc, not-married, *, *, *, *, 70538
*, *, assoc-voc, not-married, *, *, *, *, 75455
*, *, assoc-voc, not-married, *, *, *, *, 128318
*, *, assoc-voc, not-married, *, *, *, *, 53953
*, *, assoc-voc, not-married, *, *, *, *, 57097
*, *, assoc-voc, not-married, *, *, *, *, 88185
*, *, assoc-voc, not-married, *, *, *, *, 75746
*, *, assoc-voc, not-married, *, *, *, *, 71082
*, *, assoc-voc, not-married, *, *, *, *, 135346
*, *, assoc-voc, not-married, *, *, *, *, 76740
*, *, assoc-voc, not-married, *, *, *, *, 129141
*, *, assoc-voc, not-married, *, *, *, *, 137945
*, *, assoc-voc, not-married, *, *, *, *, 76563
*, *, assoc-voc, not-married, *, *, *, *, 87691
*, *, assoc-voc, not-married, *, *, *, *, 125684
*, *, assoc-voc, not-married, *, *, *, *, 76954
*, *, assoc-voc, not-married, *, *, *, *, 66937
*, *, assoc-voc, not-married, *, *, *, *, 77331
*, *, assoc-voc, not-married, *, *, *, *, 71189
*, *, assoc-voc, not-married, *, *, *, *, 55129
*, *, assoc-voc, not-married, *, *, *, *, 99101
*, *, assoc-voc, not-married, *, *, *, *, 61129
*, *, assoc-voc, not-married, *, *, *, *, 100251
*, *, assoc-voc, not-married, *, *, *, *, 59269
*, *, assoc-voc, not-married, *, *, *, *, 100240
*, *, assoc-voc, not-married, *, *, *, *, 127194
*, *, assoc-voc, not-married, *, *, *, *, 51856
*, *, assoc-voc, not-married, *, *, *, *, 112565
*, *, assoc-voc, not-married, *, *, *, *, 133809
*, *, assoc-voc, not-married, *, *, *, *, 67760
*, *, assoc-voc, not-married, *, *, *, *, 84900
*, *, assoc-voc, not-married, *, *, *, *, 54042
*, *, assoc-voc, not-married, *, *, *, *, 56192
*, *, assoc-voc, not-married, *, *, *, *, 69258
*, *, assoc-voc, not-married, *, *, *, *, 64271
*, *, assoc-voc, not-married, *, *, *, *, 77622
*, *, assoc-voc, not-married, *, *, *, *, 62018
*, *, assoc-voc, not-married, *, *, *, *, 51741
*, *, assoc-voc, not-married, *, *, *, *, 113609
*, *, assoc-voc, not-married, *, *, *, *, 93710
*, *, assoc-voc, not-married, *, *, *, *, 119284
*, *, assoc-voc, not-married, *, *, *, *, 82685
*, *, assoc-voc, not-married, *, *, *, *, 74377
*, *, assoc-voc, not-married, *, *, *, *, 73265
*, *, assoc-voc, not-married, *, *, *, *, 58090
*, *, assoc-voc, not-married, *, *, *, *, 76006
*, *, assoc-voc, not-married, *, *, *, *, 101286
*, *, assoc-voc, not-married, *, *, *, *, 131676
*, *, assoc-voc, not-married, *, *, *, *, 51049
*, *, assoc-voc, not-married, *, *, *, *, 116959
*, *, assoc-voc, not-married, *, *, *, *, 94190
*, *, assoc-voc, not-married, *, *, *, *, 73182
*, *, assoc-voc, not-married, *, *, *, *, 93252
*, *, assoc-voc, not-married, *, *, *, *, 121518
*, *, assoc-voc, not-married, *, *, *, *, 55278
*, *, assoc-voc, not-married, *, *, *, *, 69638
*, *, assoc-voc, not-married, *, *, *, *, 101694
*, *, assoc-voc, not-married, *, *, *, *, 63167
*, *, assoc-voc, not-married, *, *, *, *, 97931
*, *, assoc-voc, not-married, *, *, *, *, 66720
*, *, assoc-voc, not-married, *, *, *, *, 135927
*, *, assoc-voc, not-married, *, *, *, *, 66584
*, *, assoc-voc, not-married, *, *, *, *, 119357
*, *, assoc-voc, not-married, *, *, *, *, 104096
*, *, assoc-voc, not-married, *, *, *, *, 52274
*, *, assoc-voc, not-married, *, *, *, *, 62345
*, *, assoc-voc, not-married, *, *, *, *, 124204
*, *, assoc-voc, not-married, *, *, *, *, 51313
*, *, assoc-voc, not-married, *, *, *, *, 119546
*, *, assoc-voc, not-married, *, *, *, *, 79235
*, *, assoc-voc, not-married, *, *, *, *, 126964
*, *, assoc-voc, not-married, *, *, *, *, 103150
*, *, assoc-voc, not-married, *, *, *, *, 103080
*, *, assoc-voc, not-married, *, *, *, *, 57457
*, *, assoc-voc, not-married, *, *, *, *, 63923
*, *, assoc-voc, not-married, *, *, *, *, 65092
*, *, assoc-voc, not-married, *, *, *, *, 76697
*, *, assoc-voc, not-married, *, *, *, *, 54850
*, *, assoc-voc, not-married, *, *, *, *, 137184
*, *, assoc-voc, not-married, *, *, *, *, 95625
*, *, assoc-voc, not-married, *, *, *, *, 80561
*, *, assoc-voc, not-married, *, *, *, *, 119538
*, *, assoc-voc, not-married, *, *, *, *, 123737
*, *, assoc-voc, not-married, *, *, *, *, 112276
*, *, assoc-voc, not-married, *, *, *, *, 126913
*, *, assoc-voc, not-married, *, *, *, *, 119193
*, *, assoc-voc, not-married, *, *, *, *, 58690
*, *, assoc-voc, not-married, *, *, *, *, 65621
*, *, assoc-voc, not-married, *, *, *, *, 110216
*, *, assoc-voc, not-married, *, *, *, *, 112394
*, *, assoc-voc, not-married, *, *, *, *, 109169
*, *, assoc-voc, not-married, *, *, *, *, 99723
*, *, assoc-voc, not-married, *, *, *, *, 60902
*, *, assoc-voc, not-married, *, *, *, *, 99764
*, *, assoc-voc, not-married, *, *, *, *, 77065
*, *, assoc-voc, not-married, *, *, *, *, 111835
*, *, assoc-voc, not-married, *, *, *, *, 84638
*, *, assoc-voc, not-married, *, *, *, *, 91003
*, *, assoc-voc, not-married, *, *, *, *, 94706
*, *, assoc-voc, not-married, *, *, *, *, 80553
*, *, assoc-voc, not-married, *, *, *, *, 65380
*, *, assoc-voc, not-married, *, *, *, *, 86674
*, *, assoc-voc, not-married, *, *, *, *, 109954
*, *, assoc-voc, not-married, *, *, *, *, 85099
*, *, assoc-voc, not-married, *, *, *, *, 138266
*, *, assoc-voc, not-married, *, *, *, *, 117709
*, *, assoc-voc, not-married, *, *, *, *, 68159
*, *, assoc-voc, not-married, *, *, *, *, 111436
*, *, assoc-voc, not-married, *, *, *, *, 77085
*, *, assoc-voc, not-married, *, *, *, *, 77962
*, *, assoc-voc, not-married, *, *, *, *, 72205
*, *, assoc-voc, not-married, *, *, *, *, 78077
*, *, assoc-voc, not-married, *, *, *, *, 131293
*, *, assoc-voc, not-married, *, *, *, *, 61911
*, *, assoc-voc, not-married, *, *, *, *, 123104
*, *, assoc-voc, not-married, *, *, *, *, 108970
*, *, assoc-voc, not-married, *, *, *, *, 51915
*, *, assoc-voc, not-married, *, *, *, *, 106462
*, *, assoc-voc, not-married, *, *, *, *, 126072
*, *, assoc-voc, not-married, *, *, *, *, 57028
*, *, assoc-voc, not-married, *, *, *, *, 88579
*, *, assoc-voc, not-married, *, *, *, *, 90474
*, *, assoc-voc, not-married, *, *, *, *, 89177
*, *, assoc-voc, not-married, *, *, *, *, 66780
*, *, assoc-voc, not-married, *, *, *, *, 99769
*, *, assoc-voc, not-married, *, *, *, *, 85013
*, *, assoc-voc, not-married, *, *, *, *, 87862
*, *, assoc-voc, not-married, *, *, *, *, 115755
*, *, assoc-voc, not-married, *, *, *, *, 90931
*, *, assoc-voc, not-married, *, *, *, *, 106223
*, *, assoc-voc, not-married, *, *, *, *, 114641
*, *, assoc-voc, not-married, *, *, *, *, 98219
*, *, assoc-voc, not-married, *, *, *, *, 96116
*, *, assoc-voc, not-married, *, *, *, *, 92634
*, *, assoc-voc, not-married, *, *, *, *, 59133
*, *, assoc-voc, not-married, *, *, *, *, 79245
*, *, doctorate, married, *, *, *, *, 109773
*, *, doctorate, married, *, *, *, *, 124036
*, *, doctorate, married, *, *, *, *, 130187
*, *, doctorate, married, *, *, *, *, 139055
*, *, doctorate, married, *, *, *, *, 86456
*, *, doctorate, married, *, *, *, *, 57432
*, *, doctorate, married, *, *, *, *, 68290
*, *, doctorate, married, *, *, *, *, 127945
*, *, doctorate, married, *, *, *, *, 125623
*, *, doctorate, married, *, *, *, *, 76100
*, *, doctorate, married, *, *, *, *, 54150
*, *, doctorate, married, *, *, *, *, 123560
*, *, doctorate, married, *, *, *, *, 83641
*, *, doctorate, married, *, *, *, *, 124916
*, *, doctorate, married, *, *, *, *, 111164
*, *, doctorate, married, *, *, *, *, 99365
*, *, doctorate, married, *, *, *, *, 72731
*, *, doctorate, married, *, *, *, *, 135583
*, *, doctorate, married, *, *, *, *, 129533
*, *, doctorate, married, *, *, *, *, 62782
*, *, doctorate, married, *, *, *, *, 103196
*, *, doctorate, married, *, *, *, *, 105013
*, *, doctorate, married, *, *, *, *, 80398
*, *, doctorate, married, *, *, *, *, 119707
*, *, doctorate, married, *, *, *, *, 87575
*, *, doctorate, married, *, *, *, *, 90547
*, *, doctorate, married, *, *, *, *, 106793
*, *, doctorate, married, *, *, *, *, 127358
*, *, doctorate, married, *, *, *, *, 127231
*, *, doctorate, married, *, *, *, *, 70548
*, *, doctorate, married, *, *, *, *, 107655
*, *, doctorate, married, *, *, *, *, 90073
*, *, doctorate, married, *, *, *, *, 136819
*, *, doctorate, married, *, *, *, *, 50296
*, *, doctorate, married, *, *, *, *, 82883
*, *, doctorate, married, *, *, *, *, 72836
*, *, doctorate, married, *, *, *, *, 126185
*, *, doctorate, married, *, *, *, *, 127038
*, *, doctorate, married, *, *, *, *, 86684
*, *, doctorate, married, *, *, *, *, 62407
*, *, doctorate, married, *, *, *, *, 96155
*, *, doctorate, married, *, *, *, *, 121153
*, *, doctorate, married, *, *, *, *, 77610
*, *, doctorate, married, *, *, *, *, 61026
*, *, doctorate, married, *, *, *, *, 94751
*, *, doctorate, married, *, *, *, *, 66439
*, *, doctorate, married, *, *, *, *, 129336
*, *, doctorate, married, *, *, *, *, 96667
*, *, doctorate, married, *, *, *, *, 119259
*, *, doctorate, married, *, *, *, *, 75651
*, *, doctorate, married, *, *, *, *, 52447
*, *, doctorate, married, *, *, *, *, 105431
*, *, doctorate, married, *, *, *, *, 50019
*, *, doctorate, married, *, *, *, *, 92325
*, *, doctorate, married, *, *, *, *, 79135
*, *, doctorate, married, *, *, *, *, 123562
*, *, doctorate, married, *, *, *, *, 94723
*, *, doctorate, married, *, *, *, *, 102355
*, *, doctorate, married, *, *, *, *, 101889
*, *, doctorate, married, *, *, *, *, 135024
*, *, doctorate, married, *, *, *, *, 103840
*, *, doctorate, married, *, *, *, *, 136591
*, *, doctorate, married, *, *, *, *, 93003
*, *, doctorate, married, *, *, *, *, 61690
*, *, doctorate, married, *, *, *, *, 64353
*, *, doctorate, married, *, *, *, *, 53351
*, *, doctorate, married, *, *, *, *, 86822
*, *, doctorate, married, *, *, *, *, 121042
*, *, doctorate, married, *, *, *, *, 101456
*, *, doctorate, married, *, *, *, *, 67286
*, *, doctorate, married, *, *, *, *, 76177
*, *, doctorate, married, *, *, *, *, 71545
*, *, doctorate, married, *, *, *, *, 115202
*, *, doctorate, married, *, *, *, *, 65915
*, *, doctorate, married, *, *, *, *, 82673
*, *, doctorate, married, *, *, *, *, 78241
*, *, doctorate, married, *, *, *, *, 61785
*, *, doctorate, married, *, *, *, *, 60698
*, *, doctorate, married, *, *, *, *, 131617
*, *, doctorate, married, *, *, *, *, 89619
*, *, doctorate, married, *, *, *, *, 77489
*, *, doctorate, married, *, *, *, *, 136167
*, *, doctorate, married, *, *, *, *, 61378
*, *, doctorate, married, *, *, *, *, 89289
*, *, doctorate, married, *, *, *, *, 113205
*, *, doctorate, married, *, *, *, *, 113498
*, *, doctorate, married, *, *, *, *, 82688
*, *, doctorate, married, *, *, *, *, 88785
*, *, doctorate, married, *, *, *, *, 50083
*, *, doctorate, married, *, *, *, *, 94379
*, *, doctorate, married, *, *, *, *, 98889
*, *, doctorate, married, *, *, *, *, 60930
*, *, doctorate, married, *, *, *, *, 53872
*, *, doctorate, married, *, *, *, *, 84470
*, *, doctorate, married, *, *, *, *, 128075
*, *, doctorate, married, *, *, *, *, 114331
*, *, doctorate, married, *, *, *, *, 69329
*, *, doctorate, married, *, *, *, *, 68394
*, *, doctorate, married, *, *, *, *, 81561
*, *, doctorate, married, *, *, *, *, 97894
*, *, doctorate, married, *, *, *, *, 137256
*, *, doctorate, married, *, *, *, *, 75319
*, *, doctorate, married, *, *, *, *, 96588
*, *, doctorate, married, *, *, *, *, 134431
*, *, doctorate, married, *, *, *, *, 115844
*, *, doctorate, married, *, *, *, *, 78995
*, *, doctorate, married, *, *, *, *, 109623
*, *, doctorate, married, *, *, *, *, 92053
*, *, doctorate, married, *, *, *, *, 66877
*, *, doctorate, married, *, *, *, *, 139863
*, *, doctorate, married, *, *, *, *, 87875
*, *, doctorate, married, *, *, *, *, 98711
*, *, doctorate, married, *, *, *, *, 106067
*, *, doctorate, married, *, *, *, *, 68041
*, *, doctorate, married, *, *, *, *, 52346
*, *, doctorate, married, *, *, *, *, 52157
*, *, doctorate, married, *, *, *, *, 95719
*, *, doctorate, married, *, *, *, *, 139671
*, *, doctorate, married, *, *, *, *, 133926
*, *, doctorate, married, *, *, *, *, 116445
*, *, doctorate, married, *, *, *, *, 81840
*, *, doctorate, married, *, *, *, *, 123638
*, *, doctorate, married, *, *, *, *, 56358
*, *, doctorate, married, *, *, *, *, 105148
*, *, doctorate, married, *, *, *, *, 110719
*, *, doctorate, married, *, *, *, *, 72299
*, *, doctorate, married, *, *, *, *, 125057
*, *, doctorate, married, *, *, *, *, 117093
*, *, doctorate, married, *, *, *, *, 88865
*, *, doctorate, married, *, *, *, *, 113994
*, *, doctorate, married, *, *, *, *, 52513
*, *, doctorate, married, *, *, *, *, 74772
*, *, doctorate, married, *, *, *, *, 136337
*, *, doctorate, married, *, *, *, *, 63654
*, *, doctorate, married, *, *, *, *, 107766
*, *, doctorate, married, *, *, *, *, 127462
*, *, doctorate, married, *, *, *, *, 125421
*, *, doctorate, married, *, *, *, *, 59063
*, *, doctorate, married, *, *, *, *, 116436
*, *, doctorate, married, *, *, *, *, 88516
*, *, doctorate, married, *, *, *, *, 61125
*, *, doctorate, married, *, *, *, *, 103359
*, *, doctorate, married, *, *, *, *, 115408
*, *, doctorate, married, *, *, *, *, 85320
*, *, doctorate, married, *, *, *, *, 107105
*, *, doctorate, married, *, *, *, *, 88039
*, *, doctorate, married, *, *, *, *, 74670
*, *, doctorate, married, *, *, *, *, 109022
*, *, doctorate, married, *, *, *, *, 107572
*, *, doctorate, married, *, *, *, *, 116785
*, *, doctorate, married, *, *, *, *, 120065
*, *, doctorate, married, *, *, *, *, 129791
*, *, doctorate, married, *, *, *, *, 102986
*, *, doctorate, married, *, *, *, *, 80444
*, *, doctorate, married, *, *, *, *, 101706
*, *, doctorate, married, *, *, *, *, 80291
*, *, doctorate, married, *, *, *, *, 58640
*, *, doctorate, married, *, *, *, *, 118844
*, *, doctorate, married, *, *, *, *, 55504
*, *, doctorate, married, *, *, *, *, 134532
*, *, doctorate, married, *, *, *, *, 132635
*, *, doctorate, married, *, *, *, *, 91590
*, *, doctorate, married, *, *, *, *, 54909
*, *, doctorate, married, *, *, *, *, 113534
*, *, doctorate, married, *, *, *, *, 79373
*, *, doctorate, married, *, *, *, *, 126391
*, *, doctorate, married, *, *, *, *, 139409
*, *, doctorate, married, *, *, *, *, 85483
*, *, doctorate, married, *, *, *, *, 107941
*, *, doctorate, married, *, *, *, *, 101512
*, *, doctorate, married, *, *, *, *, 120774
*, *, doctorate, married, *, *, *, *, 94724
*, *, doctorate, married, *, *, *, *, 89370
*, *, doctorate, married, *, *, *, *, 80922
*, *, doctorate, married, *, *, *, *, 131571
*, *, doctorate, married, *, *, *, *, 83320
*, *, doctorate, married, *, *, *, *, 67615
*, *, doctorate, married, *, *, *, *, 90332
*, *, doctorate, married, *, *, *, *, 112504
*, *, doctorate, married, *, *, *, *, 97417
*, *, doctorate, married, *, *, *, *, 121023
*, *, doctorate, married, *, *, *, *, 99054
*, *, doctorate, married, *, *, *, *, 126774
*, *, doctorate, married, *, *, *, *, 66337
*, *, doctorate, married, *, *, *, *, 139365
*, *, doctorate, married, *, *, *, *, 68832
*, *, doctorate, married, *, *, *, *, 62899
*, *, doctorate, married, *, *, *, *, 60620
*, *, doctorate, married, *, *, *, *, 108089
*, *, doctorate, married, *, *, *, *, 56950
*, *, doctorate, married, *, *, *, *, 78639
*, *, doctorate, married, *, *, *, *, 118412
*, *, doctorate, married, *, *, *, *, 53853
*, *, doctorate, married, *, *, *, *, 113685
*, *, doctorate, married, *, *, *, *, 55311
*, *, doctorate, married, *, *, *, *, 102560
*, *, doctorate, married, *, *, *, *, 92900
*, *, doctorate, married, *, *, *, *, 91505
*, *, doctorate, married, *, *, *, *, 99832
*, *, doctorate, married, *, *, *, *, 70668
*, *, doctorate, married, *, *, *, *, 125231
*, *, doctorate, married, *, *, *, *, 102053
*, *, doctorate, married, *, *, *, *, 108195
*, *, doctorate, married, *, *, *, *, 88604
*, *, doctorate, married, *, *, *, *, 125629
*, *, doctorate, married, *, *, *, *, 116530
*, *, doctorate, married, *, *, *, *, 128544
*, *, doctorate, married, *, *, *, *, 130374
*, *, doctorate, married, *, *, *, *, 128992
*, *, doctorate, married, *, *, *, *, 88809
*, *, doctorate, married, *, *, *, *, 99980
*, *, doctorate, married, *, *, *, *, 117737
*, *, doctorate, married, *, *, *, *, 119580
*, *, doctorate, married, *, *, *, *, 137111
*, *, doctorate, married, *, *, *, *, 117144
*, *, doctorate, married, *, *, *, *, 139690
*, *, doctorate, married, *, *, *, *, 121038
*, *, doctorate, married, *, *, *, *, 70778
*, *, doctorate, married, *, *, *, *, 125262
*, *, doctorate, married, *, *, *, *, 61079
*, *, doctorate, married, *, *, *, *, 57510
*, *, doctorate, married, *, *, *, *, 51958
*, *, doctorate, married, *, *, *, *, 115448
*, *, doctorate, married, *, *, *, *, 106794
*, *, doctorate, married, *, *, *, *, 134309
*, *, doctorate, married, *, *, *, *, 131383
*, *, doctorate, married, *, *, *, *, 71984
*, *, doctorate, married, *, *, *, *, 124445
*, *, doctorate, married, *, *, *, *, 50714
*, *, doctorate, married, *, *, *, *, 104461
*, *, doctorate, married, *, *, *, *, 129958
*, *, doctorate, married, *, *, *, *, 71133
*, *, doctorate, married, *, *, *, *, 100674
*, *, doctorate, married, *, *, *, *, 104281
*, *, doctorate, married, *, *, *, *, 124548
*, *, doctorate, married, *, *, *, *, 138646
*, *, doctorate, married, *, *, *, *, 122701
*, *, doctorate, married, *, *, *, *, 82140
*, *, doctorate, married, *, *, *, *, 81773
*, *, doctorate, married, *, *, *, *, 102390
*, *, doctorate, married, *, *, *, *, 82176
*, *, doctorate, married, *, *, *, *, 139865
*, *, doctorate, married, *, *, *, *, 54920
*, *, doctorate, married, *, *, *, *, 54871
*, *, doctorate, married, *, *, *, *, 72124
*, *, doctorate, married, *, *, *, *, 87907
*, *, doctorate, married, *, *, *, *, 128965
*, *, doctorate, married, *, *, *, *, 72236
*, *, doctorate, married, *, *, *, *, 129814
*, *, doctorate, married, *, *, *, *, 56560
*, *, doctorate, married, *, *, *, *, 118445
*, *, doctorate, married, *, *, *, *, 65624
*, *, doctorate, married, *, *, *, *, 116355
*, *, doctorate, married, *, *, *, *, 92247
*, *, doctorate, married, *, *, *, *, 53229
*, *, doctorate, married, *, *, *, *, 69308
*, *, doctorate, married, *, *, *, *, 69696
*, *, doctorate, married, *, *, *, *, 68760
*, *, doctorate, married, *, *, *, *, 132843
*, *, doctorate, married, *, *, *, *, 128837
*, *, doctorate, married, *, *, *, *, 116926
*, *, doctorate, married, *, *, *, *, 66310
*, *, doctorate, married, *, *, *, *, 74169
*, *, doctorate, married, *, *, *, *, 80851
*, *, doctorate, married, *, *, *, *, 92214
*, *, doctorate, married, *, *, *, *, 93443
*, *, doctorate, married, *, *, *, *, 78790
*, *, doctorate, married, *, *, *, *, 54865
*, *, doctorate, married, *, *, *, *, 64037
*, *, doctorate, married, *, *, *, *, 73517
*, *, doctorate, married, *, *, *, *, 121789
*, *, doctorate, married, *, *, *, *, 100436
*, *, doctorate, married, *, *, *, *, 97583
*, *, doctorate, married, *, *, *, *, 107360
*, *, doctorate, married, *, *, *, *, 106094
*, *, doctorate, married, *, *, *, *, 117801
*, *, doctorate, married, *, *, *, *, 53204
*, *, doctorate, married, *, *, *, *, 101489
*, *, doctorate, married, *, *, *, *, 59536
*, *, doctorate, married, *, *, *, *, 94940
*, *, doctorate, married, *, *, *, *, 100812
*, *, doctorate, married, *, *, *, *, 115565
*, *, doctorate, married, *, *, *, *, 69089
*, *, doctorate, married, *, *, *, *, 65642
*, *, doctorate, married, *, *, *, *, 125257
*, *, doctorate, married, *, *, *, *, 79442
*, *, doctorate, married, *, *, *, *, 74590
*, *, doctorate, married, *, *, *, *, 81684
*, *, doctorate, married, *, *, *, *, 77477
*, *, doctorate, married, *, *, *, *, 58568
*, *, doctorate, married, *, *, *, *, 73281
*, *, doctorate, married, *, *, *, *, 137551
*, *, doctorate, married, *, *, *, *, 79161
*, *, doctorate, married, *, *, *, *, 62286
*, *, doctorate, married, *, *, *, *, 60183
*, *, doctorate, married, *, *, *, *, 66118
*, *, doctorate, married, *, *, *, *, 51655
*, *, doctorate, married, *, *, *, *, 102124
*, *, doctorate, married, *, *, *, *, 92060
*, *, doctorate, married, *, *, *, *, 96971
*, *, doctorate, not-married, *, *, *, *, 138441
*, *, doctorate, not-married, *, *, *, *, 53681
*, *, doctorate, not-married, *, *, *, *, 69498
*, *, doctorate, not-married, *, *, *, *, 98633
*, *, doctorate, not-married, *, *, *, *, 125441
*, *, doctorate, not-married, *, *, *, *, 97307
*, *, doctorate, not-married, *, *, *, *, 116174
*, *, doctorate, not-married, *, *, *, *, 54163
*, *, doctorate, not-married, *, *, *, *, 99774
*, *, doctorate, not-married, *, *, *, *, 69098
*, *, doctorate, not-married, *, *, *, *, 72679
*, *, doctorate, not-married, *, *, *, *, 70428
*, *, doctorate, not-married, *, *, *, *, 107750
*, *, doctorate, not-married, *, *, *, *, 70264
*, *, doctorate, not-married, *, *, *, *, 100549
*, *, doctorate, not-married, *, *, *, *, 115637
*, *, doctorate, not-married, *, *, *, *, 65437
*, *, doctorate, not-married, *, *, *, *, 122717
*, *, doctorate, not-married, *, *, *, *, 100551
*, *, doctorate, not-married, *, *, *, *, 98209
*, *, doctorate, not-married, *, *, *, *, 116023
*, *, doctorate, not-married, *, *, *, *, 55305
*, *, doctorate, not-married, *, *, *, *, 51288
*, *, doctorate, not-married, *, *, *, *, 132201
*, *, doctorate, not-married, *, *, *, *, 75088
*, *, doctorate, not-married, *, *, *, *, 76130
*, *, doctorate, not-married, *, *, *, *, 86107
*, *, doctorate, not-married, *, *, *, *, 92885
*, *, doctorate, not-married, *, *, *, *, 116337
*, *, doctorate, not-married, *, *, *, *, 123568
*, *, doctorate, not-married, *, *, *, *, 120161
*, *, doctorate, not-married, *, *, *, *, 106098
*, *, doctorate, not-married, *, *, *, *, 84791
*, *, doctorate, not-married, *, *, *, *, 114964
*, *, doctorate, not-married, *, *, *, *, 92196
*, *, doctorate, not-married, *, *, *, *, 51127
*, *, doctorate, not-married, *, *, *, *, 129095
*, *, doctorate, not-married, *, *, *, *, 59858
*, *, doctorate, not-married, *, *, *, *, 101550
*, *, doctorate, not-married, *, *, *, *, 80223
*, *, doctorate, not-married, *, *, *, *, 131327
*, *, doctorate, not-married, *, *, *, *, 74143
*, *, doctorate, not-married, *, *, *, *, 136784
*, *, doctorate, not-married, *, *, *, *, 124655
*, *, doctorate, not-married, *, *, *, *, 70044
*, *, doctorate, not-married, *, *, *, *, 67679
*, *, doctorate, not-married, *, *, *, *, 75748
*, *, doctorate, not-married, *, *, *, *, 99969
*, *, doctorate, not-married, *, *, *, *, 134466
*, *, doctorate, not-married, *, *, *, *, 111318
*, *, doctorate, not-married, *, *, *, *, 82853
*, *, doctorate, not-married, *, *, *, *, 93037
*, *, doctorate, not-married, *, *, *, *, 116083
*, *, doctorate, not-married, *, *, *, *, 114310
*, *, doctorate, not-married, *, *, *, *, 117704
*, *, doctorate, not-married, *, *, *, *, 90632
*, *, doctorate, not-married, *, *, *, *, 132398
*, *, doctorate, not-married, *, *, *, *, 66710
*, *, doctorate, not-married, *, *, *, *, 61471
*, *, doctorate, not-married, *, *, *, *, 65263
*, *, doctorate, not-married, *, *, *, *, 139328
*, *, doctorate, not-married, *, *, *, *, 132469
*, *, doctorate, not-married, *, *, *, *, 93001
*, *, doctorate, not-married, *, *, *, *, 113837
