Batting average,On-base percentage,Number of runs,Number of hits,Number of doubles,Number of triples,Number of home runs,Number of runs batted in,Number of walks,Number of strike-outs,Number of stolen bases,Number of errors,Indicator of free agency eligibility,Indicator of free agent in 1991/2,Indicator of arbitration eligibility,Indicator of arbitration in 1991/2,Salary (in thousands of dollars)
286,378,35,57,7,2,5,20,30,35,5,7,FALSE,FALSE,FALSE,FALSE,175
283,327,15,39,7,1,7,26,9,31,3,1,FALSE,FALSE,FALSE,FALSE,155
307,357,110,203,44,5,25,116,56,91,16,7,FALSE,FALSE,TRUE,TRUE,5000
268,400,105,126,17,1,18,57,96,73,58,8,TRUE,FALSE,FALSE,FALSE,3250
201,330,62,97,22,0,22,75,93,116,2,4,TRUE,FALSE,FALSE,FALSE,2825
276,346,86,158,33,0,25,85,58,113,6,1,TRUE,FALSE,FALSE,FALSE,2600
274,312,50,125,31,1,6,67,22,70,2,15,FALSE,FALSE,TRUE,FALSE,2050
295,383,76,144,25,1,20,90,72,67,0,1,TRUE,FALSE,FALSE,FALSE,1583
63,63,0,1,0,0,0,1,0,2,0,0,TRUE,TRUE,FALSE,FALSE,1150
238,290,38,70,14,4,0,28,18,43,20,3,TRUE,FALSE,FALSE,FALSE,1100
226,286,15,30,8,1,0,13,12,14,0,5,FALSE,FALSE,TRUE,FALSE,760
261,321,16,53,4,0,1,17,16,28,0,6,TRUE,FALSE,FALSE,FALSE,525
249,385,32,51,10,1,1,20,47,25,2,3,TRUE,TRUE,FALSE,FALSE,500
249,336,33,46,8,0,3,21,23,42,12,3,FALSE,FALSE,FALSE,FALSE,205
238,289,21,56,5,1,0,21,14,37,3,11,FALSE,FALSE,FALSE,FALSE,185
235,268,9,16,5,0,2,4,3,11,3,1,FALSE,FALSE,FALSE,FALSE,115
256,338,52,95,13,1,27,69,43,57,2,6,TRUE,FALSE,FALSE,FALSE,3750
248,300,58,139,29,3,17,88,44,61,0,5,TRUE,FALSE,FALSE,FALSE,2188
254,332,95,160,34,6,3,57,72,63,28,18,FALSE,FALSE,TRUE,FALSE,2167
194,286,38,63,8,1,8,32,34,49,0,6,TRUE,FALSE,FALSE,FALSE,2167
327,399,76,179,42,1,22,100,71,82,18,4,FALSE,FALSE,TRUE,FALSE,2050
244,337,64,99,14,4,27,77,53,117,0,5,FALSE,FALSE,TRUE,FALSE,1445
305,347,35,54,6,2,6,23,10,27,16,2,FALSE,FALSE,TRUE,FALSE,875
307,405,98,167,35,1,14,52,84,72,0,15,FALSE,FALSE,FALSE,FALSE,560
230,302,42,98,16,4,1,41,45,37,7,13,FALSE,FALSE,FALSE,FALSE,360
247,286,16,44,13,0,2,22,9,38,0,7,FALSE,FALSE,FALSE,FALSE,162
205,272,11,23,2,0,4,9,11,24,0,2,FALSE,FALSE,FALSE,FALSE,133
216,285,38,87,12,0,19,51,35,117,0,2,TRUE,FALSE,FALSE,FALSE,109
266,359,115,152,32,1,44,122,78,152,26,9,TRUE,FALSE,FALSE,FALSE,4300
322,389,115,203,49,3,26,88,68,72,4,12,FALSE,FALSE,TRUE,TRUE,3850
341,408,108,201,27,3,15,78,65,78,36,14,TRUE,FALSE,FALSE,FALSE,2387
278,377,76,113,17,2,17,49,58,70,1,0,TRUE,TRUE,FALSE,FALSE,950
271,339,21,54,8,1,2,20,21,25,2,11,TRUE,TRUE,FALSE,FALSE,675
252,283,44,136,18,4,9,44,25,84,11,21,TRUE,TRUE,FALSE,FALSE,600
264,321,78,144,34,1,27,102,42,118,4,6,FALSE,FALSE,FALSE,FALSE,287
269,332,46,106,22,0,20,69,33,93,0,6,FALSE,FALSE,FALSE,FALSE,230
194,270,8,28,3,2,1,11,16,23,1,1,FALSE,FALSE,FALSE,FALSE,215
213,312,36,57,8,3,2,26,39,32,8,15,FALSE,FALSE,FALSE,FALSE,183
111,138,3,3,0,0,0,1,1,7,0,0,FALSE,FALSE,FALSE,FALSE,170
264,318,24,48,7,0,1,22,15,18,0,7,FALSE,FALSE,FALSE,FALSE,160
187,281,38,50,9,2,15,37,32,98,0,9,FALSE,FALSE,FALSE,FALSE,142
264,270,24,74,16,0,3,27,5,42,0,10,FALSE,FALSE,FALSE,FALSE,140
258,395,6,8,1,0,1,6,7,11,0,0,FALSE,FALSE,FALSE,FALSE,109
