20 - 26, non-government, pre-primary, married, *, *, male, *, 43685
36 - 37, private, some-college, married, craft-repair, white, male, *, 159024
36 - 37, private, some-college, married, craft-repair, white, male, *, 15020
36 - 37, private, some-college, married, craft-repair, white, male, *, 64107
36 - 37, private, some-college, married, craft-repair, white, male, *, 124747
36 - 37, private, some-college, married, craft-repair, white, male, *, 144856
36 - 37, private, some-college, married, craft-repair, white, male, *, 101017
36 - 37, private, some-college, married, craft-repair, white, male, *, 14637
36 - 37, private, some-college, married, craft-repair, white, male, *, 178967
36 - 37, private, some-college, married, craft-repair, white, male, *, 30055
36 - 37, private, some-college, married, craft-repair, white, male, *, 151607
36 - 37, private, some-college, married, craft-repair, white, male, *, 27184
36 - 37, private, some-college, married, craft-repair, white, male, *, 14201
36 - 37, private, some-college, married, craft-repair, white, male, *, 129250
36 - 37, private, some-college, married, craft-repair, white, male, *, 91131
36 - 37, private, some-college, married, craft-repair, white, male, *, 75671
36 - 37, private, some-college, married, craft-repair, white, male, *, 106414
36 - 37, private, some-college, married, craft-repair, white, male, *, 130322
36 - 37, private, some-college, married, craft-repair, white, male, *, 19897
36 - 37, private, some-college, married, craft-repair, white, male, *, 86508
36 - 37, private, some-college, married, craft-repair, white, male, *, 134600
36 - 37, private, some-college, married, craft-repair, white, male, *, 49499
36 - 37, private, some-college, married, craft-repair, white, male, *, 174150
32 - 33, private, hs-grad, married, machine-op-inspct, white, male, united-states, 105150
32 - 33, private, hs-grad, married, machine-op-inspct, white, male, united-states, 195591
32 - 33, private, hs-grad, married, machine-op-inspct, white, male, united-states, 89877
32 - 33, private, hs-grad, married, machine-op-inspct, white, male, united-states, 52390
32 - 33, private, hs-grad, married, machine-op-inspct, white, male, united-states, 119961
32 - 33, private, hs-grad, married, machine-op-inspct, white, male, united-states, 105251
32 - 33, private, hs-grad, married, machine-op-inspct, white, male, united-states, 21369
32 - 33, private, hs-grad, married, machine-op-inspct, white, male, united-states, 89412
32 - 33, private, hs-grad, married, machine-op-inspct, white, male, united-states, 167065
32 - 33, private, hs-grad, married, machine-op-inspct, white, male, united-states, 86496
32 - 33, private, hs-grad, married, machine-op-inspct, white, male, united-states, 183622
32 - 33, private, hs-grad, married, machine-op-inspct, white, male, united-states, 22597
32 - 33, private, hs-grad, married, machine-op-inspct, white, male, united-states, 52089
32 - 33, private, hs-grad, married, machine-op-inspct, white, male, united-states, 163475
32 - 33, private, hs-grad, married, machine-op-inspct, white, male, united-states, 102291
32 - 33, private, hs-grad, married, machine-op-inspct, white, male, united-states, 23141
32 - 33, private, hs-grad, married, machine-op-inspct, white, male, united-states, 85020
32 - 33, private, hs-grad, married, machine-op-inspct, white, male, united-states, 174635
32 - 33, private, hs-grad, married, machine-op-inspct, white, male, united-states, 35650
32 - 33, private, hs-grad, married, machine-op-inspct, white, male, united-states, 138274
32 - 33, private, hs-grad, married, machine-op-inspct, white, male, united-states, 61839
32 - 33, private, hs-grad, married, machine-op-inspct, white, male, united-states, 28184
32 - 33, private, hs-grad, married, machine-op-inspct, white, male, united-states, 95507
32 - 33, private, hs-grad, married, machine-op-inspct, white, male, united-states, 12739
32 - 33, private, hs-grad, married, machine-op-inspct, white, male, united-states, 22704
32 - 33, private, hs-grad, married, machine-op-inspct, white, male, united-states, 74973
32 - 33, private, hs-grad, married, machine-op-inspct, white, male, united-states, 174558
34 - 35, private, hs-grad, married, machine-op-inspct, white, male, united-states, 37644
34 - 35, private, hs-grad, married, machine-op-inspct, white, male, united-states, 111449
34 - 35, private, hs-grad, married, machine-op-inspct, white, male, united-states, 14559
34 - 35, private, hs-grad, married, machine-op-inspct, white, male, united-states, 35122
34 - 35, private, hs-grad, married, machine-op-inspct, white, male, united-states, 45032
34 - 35, private, hs-grad, married, machine-op-inspct, white, male, united-states, 95305
34 - 35, private, hs-grad, married, machine-op-inspct, white, male, united-states, 162478
34 - 35, private, hs-grad, married, machine-op-inspct, white, male, united-states, 173517
34 - 35, private, hs-grad, married, machine-op-inspct, white, male, united-states, 73702
34 - 35, private, hs-grad, married, machine-op-inspct, white, male, united-states, 152099
34 - 35, private, hs-grad, married, machine-op-inspct, white, male, united-states, 186363
34 - 35, private, hs-grad, married, machine-op-inspct, white, male, united-states, 143982
34 - 35, private, hs-grad, married, machine-op-inspct, white, male, united-states, 93278
34 - 35, private, hs-grad, married, machine-op-inspct, white, male, united-states, 181915
34 - 35, private, hs-grad, married, machine-op-inspct, white, male, united-states, 50075
34 - 35, private, hs-grad, married, machine-op-inspct, white, male, united-states, 157933
34 - 35, private, hs-grad, married, machine-op-inspct, white, male, united-states, 172863
34 - 35, private, hs-grad, married, machine-op-inspct, white, male, united-states, 163093
34 - 35, private, hs-grad, married, machine-op-inspct, white, male, united-states, 176509
34 - 35, private, hs-grad, married, machine-op-inspct, white, male, united-states, 108687
34 - 35, private, hs-grad, married, machine-op-inspct, white, male, united-states, 106969
36 - 37, private, hs-grad, married-civ-spouse, machine-op-inspct, white, male, *, 92230
36 - 37, private, hs-grad, married-civ-spouse, machine-op-inspct, white, male, *, 181465
36 - 37, private, hs-grad, married-civ-spouse, machine-op-inspct, white, male, *, 116198
36 - 37, private, hs-grad, married-civ-spouse, machine-op-inspct, white, male, *, 117853
36 - 37, private, hs-grad, married-civ-spouse, machine-op-inspct, white, male, *, 109636
36 - 37, private, hs-grad, married-civ-spouse, machine-op-inspct, white, male, *, 74390
36 - 37, private, hs-grad, married-civ-spouse, machine-op-inspct, white, male, *, 162736
36 - 37, private, hs-grad, married-civ-spouse, machine-op-inspct, white, male, *, 156003
36 - 37, private, hs-grad, married-civ-spouse, machine-op-inspct, white, male, *, 140211
36 - 37, private, hs-grad, married-civ-spouse, machine-op-inspct, white, male, *, 77594
36 - 37, private, hs-grad, married-civ-spouse, machine-op-inspct, white, male, *, 87859
36 - 37, private, hs-grad, married-civ-spouse, machine-op-inspct, white, male, *, 176181
36 - 37, private, hs-grad, married-civ-spouse, machine-op-inspct, white, male, *, 107906
36 - 37, private, hs-grad, married-civ-spouse, machine-op-inspct, white, male, *, 157989
36 - 37, private, hs-grad, married-civ-spouse, machine-op-inspct, white, male, *, 168851
36 - 37, private, hs-grad, married-civ-spouse, machine-op-inspct, white, male, *, 140510
36 - 37, private, hs-grad, married-civ-spouse, machine-op-inspct, white, male, *, 156201
36 - 37, private, hs-grad, married-civ-spouse, machine-op-inspct, white, male, *, 41696
36 - 37, private, hs-grad, married-civ-spouse, machine-op-inspct, white, male, *, 158960
36 - 37, private, hs-grad, married-civ-spouse, machine-op-inspct, white, male, *, 162073
36 - 37, private, hs-grad, married-civ-spouse, machine-op-inspct, white, male, *, 55917
36 - 37, private, hs-grad, married-civ-spouse, machine-op-inspct, white, male, *, 26627
36 - 37, private, hs-grad, married-civ-spouse, machine-op-inspct, white, male, *, 71106
36 - 37, private, hs-grad, married-civ-spouse, machine-op-inspct, white, male, *, 178141
36 - 37, private, hs-grad, married-civ-spouse, machine-op-inspct, white, male, *, 84633
36 - 37, private, hs-grad, married-civ-spouse, machine-op-inspct, white, male, *, 123384
36 - 37, private, hs-grad, married-civ-spouse, machine-op-inspct, white, male, *, 47367
36 - 37, private, hs-grad, married-civ-spouse, machine-op-inspct, white, male, *, 37200
36 - 37, private, hs-grad, married-civ-spouse, machine-op-inspct, white, male, *, 191462
32 - 37, private, some-college, married, machine-op-inspct, white, male, united-states, 166398
32 - 37, private, some-college, married, machine-op-inspct, white, male, united-states, 69175
32 - 37, private, some-college, married, machine-op-inspct, white, male, united-states, 166914
32 - 37, private, some-college, married, machine-op-inspct, white, male, united-states, 52106
32 - 37, private, some-college, married, machine-op-inspct, white, male, united-states, 188595
32 - 37, private, some-college, married, machine-op-inspct, white, male, united-states, 185928
32 - 37, private, some-college, married, machine-op-inspct, white, male, united-states, 93918
32 - 37, private, some-college, married, machine-op-inspct, white, male, united-states, 24726
32 - 37, private, some-college, married, machine-op-inspct, white, male, united-states, 125539
32 - 37, private, some-college, married, machine-op-inspct, white, male, united-states, 23277
32 - 37, private, some-college, married, machine-op-inspct, white, male, united-states, 173330
32 - 37, private, some-college, married, machine-op-inspct, white, male, united-states, 87464
32 - 37, private, some-college, married, machine-op-inspct, white, male, united-states, 197690
32 - 37, private, some-college, married, machine-op-inspct, white, male, united-states, 20708
32 - 37, private, some-college, married, machine-op-inspct, white, male, united-states, 38859
32 - 37, private, some-college, married, machine-op-inspct, white, male, united-states, 85837
32 - 37, private, some-college, married, machine-op-inspct, white, male, united-states, 142070
32 - 37, private, some-college, married, machine-op-inspct, white, male, united-states, 31286
32 - 37, private, some-college, married, machine-op-inspct, white, male, united-states, 31835
32 - 37, private, some-college, married, machine-op-inspct, white, male, united-states, 73446
32 - 37, private, some-college, married, machine-op-inspct, white, male, united-states, 155080
32 - 37, private, some-college, married, machine-op-inspct, white, male, united-states, 178213
32 - 37, private, some-college, married, machine-op-inspct, white, male, united-states, 102724
32 - 37, private, some-college, married, machine-op-inspct, white, male, united-states, 41547
32 - 37, private, some-college, married, machine-op-inspct, white, male, united-states, 43053
32 - 37, private, some-college, married, machine-op-inspct, white, male, united-states, 180984
22 - 37, self-emp-inc, pre-university, married-civ-spouse, craft-repair, white, male, *, 157987
22 - 37, self-emp-inc, pre-university, married-civ-spouse, craft-repair, white, male, *, 12210
22 - 37, self-emp-inc, pre-university, married-civ-spouse, craft-repair, white, male, *, 158724
22 - 37, self-emp-inc, pre-university, married-civ-spouse, craft-repair, white, male, *, 14945
22 - 37, self-emp-inc, pre-university, married-civ-spouse, craft-repair, white, male, *, 62202
22 - 37, self-emp-inc, pre-university, married-civ-spouse, craft-repair, white, male, *, 55899
22 - 37, self-emp-inc, pre-university, married-civ-spouse, craft-repair, white, male, *, 159565
22 - 37, self-emp-inc, pre-university, married-civ-spouse, craft-repair, white, male, *, 92008
22 - 37, self-emp-inc, pre-university, married-civ-spouse, craft-repair, white, male, *, 97843
22 - 37, self-emp-inc, pre-university, married-civ-spouse, craft-repair, white, male, *, 125121
22 - 37, self-emp-inc, pre-university, married-civ-spouse, craft-repair, white, male, *, 59962
22 - 37, self-emp-inc, pre-university, married-civ-spouse, craft-repair, white, male, *, 177046
22 - 37, self-emp-inc, pre-university, married-civ-spouse, craft-repair, white, male, *, 189927
22 - 37, self-emp-inc, pre-university, married-civ-spouse, craft-repair, white, male, *, 91387
22 - 37, self-emp-inc, pre-university, married-civ-spouse, craft-repair, white, male, *, 42188
22 - 37, self-emp-inc, pre-university, married-civ-spouse, craft-repair, white, male, *, 154013
22 - 37, self-emp-inc, pre-university, married-civ-spouse, craft-repair, white, male, *, 168135
22 - 37, self-emp-inc, pre-university, married-civ-spouse, craft-repair, white, male, *, 28039
21 - 29, self-emp-not-inc, pre-university, married, skilled, white, male, *, 44649
21 - 29, self-emp-not-inc, pre-university, married, skilled, white, male, *, 55018
21 - 29, self-emp-not-inc, pre-university, married, skilled, white, male, *, 77994
21 - 29, self-emp-not-inc, pre-university, married, skilled, white, male, *, 148385
21 - 29, self-emp-not-inc, pre-university, married, skilled, white, male, *, 48343
21 - 29, self-emp-not-inc, pre-university, married, skilled, white, male, *, 76546
21 - 29, self-emp-not-inc, pre-university, married, skilled, white, male, *, 118315
21 - 29, self-emp-not-inc, pre-university, married, skilled, white, male, *, 29519
21 - 29, self-emp-not-inc, pre-university, married, skilled, white, male, *, 13913
21 - 29, self-emp-not-inc, pre-university, married, skilled, white, male, *, 97523
21 - 29, self-emp-not-inc, pre-university, married, skilled, white, male, *, 54602
21 - 29, self-emp-not-inc, pre-university, married, skilled, white, male, *, 20934
21 - 29, self-emp-not-inc, pre-university, married, skilled, white, male, *, 151559
21 - 29, self-emp-not-inc, pre-university, married, skilled, white, male, *, 94227
21 - 29, self-emp-not-inc, pre-university, married, skilled, white, male, *, 125275
21 - 29, self-emp-not-inc, pre-university, married, skilled, white, male, *, 44664
21 - 29, self-emp-not-inc, pre-university, married, skilled, white, male, *, 166157
21 - 29, self-emp-not-inc, pre-university, married, skilled, white, male, *, 54298
21 - 29, self-emp-not-inc, pre-university, married, skilled, white, male, *, 113522
21 - 29, self-emp-not-inc, pre-university, married, skilled, white, male, *, 25877
21 - 29, self-emp-not-inc, pre-university, married, skilled, white, male, *, 121469
21 - 29, self-emp-not-inc, pre-university, married, skilled, white, male, *, 130504
21 - 29, self-emp-not-inc, pre-university, married, skilled, white, male, *, 187663
21 - 29, self-emp-not-inc, pre-university, married, skilled, white, male, *, 158367
30 - 32, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 189398
30 - 32, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 104618
30 - 32, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 97170
30 - 32, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 198922
30 - 32, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 123858
30 - 32, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 67916
30 - 32, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 185725
30 - 32, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 162318
30 - 32, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 103700
30 - 32, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 21329
30 - 32, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 47825
30 - 32, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 134027
30 - 32, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 163733
30 - 32, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 36395
30 - 32, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 21156
30 - 32, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 125379
30 - 32, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 62233
30 - 32, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 34415
30 - 32, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 183472
30 - 32, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 177326
30 - 32, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 109068
33 - 34, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 147886
33 - 34, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 22038
33 - 34, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 144089
33 - 34, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 146780
33 - 34, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 137423
33 - 34, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 187804
33 - 34, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 159770
33 - 34, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 95797
33 - 34, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 74515
33 - 34, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 120357
33 - 34, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 195338
33 - 34, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 126044
33 - 34, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 35010
33 - 34, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 157829
33 - 34, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 142759
33 - 34, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 96358
33 - 34, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 71363
33 - 34, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 48409
33 - 34, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 80522
33 - 34, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 142677
33 - 34, self-emp-not-inc, pre-university, married, skilled, white, male, united-states, 144014
35, self-emp-not-inc, pre-university, married, skilled, white, male, *, 116463
35, self-emp-not-inc, pre-university, married, skilled, white, male, *, 22822
35, self-emp-not-inc, pre-university, married, skilled, white, male, *, 71835
35, self-emp-not-inc, pre-university, married, skilled, white, male, *, 29860
35, self-emp-not-inc, pre-university, married, skilled, white, male, *, 189780
35, self-emp-not-inc, pre-university, married, skilled, white, male, *, 152040
35, self-emp-not-inc, pre-university, married, skilled, white, male, *, 30884
35, self-emp-not-inc, pre-university, married, skilled, white, male, *, 48293
35, self-emp-not-inc, pre-university, married, skilled, white, male, *, 16937
35, self-emp-not-inc, pre-university, married, skilled, white, male, *, 101999
36 - 37, self-emp-not-inc, pre-university, married-civ-spouse, skilled, white, male, *, 174884
36 - 37, self-emp-not-inc, pre-university, married-civ-spouse, skilled, white, male, *, 178080
36 - 37, self-emp-not-inc, pre-university, married-civ-spouse, skilled, white, male, *, 133259
36 - 37, self-emp-not-inc, pre-university, married-civ-spouse, skilled, white, male, *, 90955
36 - 37, self-emp-not-inc, pre-university, married-civ-spouse, skilled, white, male, *, 50926
36 - 37, self-emp-not-inc, pre-university, married-civ-spouse, skilled, white, male, *, 141403
36 - 37, self-emp-not-inc, pre-university, married-civ-spouse, skilled, white, male, *, 35155
36 - 37, self-emp-not-inc, pre-university, married-civ-spouse, skilled, white, male, *, 96730
36 - 37, self-emp-not-inc, pre-university, married-civ-spouse, skilled, white, male, *, 47785
36 - 37, self-emp-not-inc, pre-university, married-civ-spouse, skilled, white, male, *, 178169
36 - 37, self-emp-not-inc, pre-university, married-civ-spouse, skilled, white, male, *, 84832
36 - 37, self-emp-not-inc, pre-university, married-civ-spouse, skilled, white, male, *, 131061
36 - 37, self-emp-not-inc, pre-university, married-civ-spouse, skilled, white, male, *, 149791
36 - 37, self-emp-not-inc, pre-university, married-civ-spouse, skilled, white, male, *, 53825
36 - 37, self-emp-not-inc, pre-university, married-civ-spouse, skilled, white, male, *, 90338
21 - 28, *, pre-university, married, farming-fishing, white, male, united-states, 120855
21 - 28, *, pre-university, married, farming-fishing, white, male, united-states, 88443
21 - 28, *, pre-university, married, farming-fishing, white, male, united-states, 94007
21 - 28, *, pre-university, married, farming-fishing, white, male, united-states, 54759
21 - 28, *, pre-university, married, farming-fishing, white, male, united-states, 43956
21 - 28, *, pre-university, married, farming-fishing, white, male, united-states, 106317
21 - 28, *, pre-university, married, farming-fishing, white, male, united-states, 98816
21 - 28, *, pre-university, married, farming-fishing, white, male, united-states, 134752
21 - 28, *, pre-university, married, farming-fishing, white, male, united-states, 33879
21 - 28, *, pre-university, married, farming-fishing, white, male, united-states, 162000
21 - 28, *, pre-university, married, farming-fishing, white, male, united-states, 49100
21 - 28, *, pre-university, married, farming-fishing, white, male, united-states, 85330
21 - 28, *, pre-university, married, farming-fishing, white, male, united-states, 178214
21 - 28, *, pre-university, married, farming-fishing, white, male, united-states, 140855
21 - 28, *, pre-university, married, farming-fishing, white, male, united-states, 95577
21 - 28, *, pre-university, married, farming-fishing, white, male, united-states, 58813
21 - 28, *, pre-university, married, farming-fishing, white, male, united-states, 66564
21 - 28, *, pre-university, married, farming-fishing, white, male, united-states, 196612
21 - 28, *, pre-university, married, farming-fishing, white, male, united-states, 171721
21 - 28, *, pre-university, married, farming-fishing, white, male, united-states, 145965
21 - 28, *, pre-university, married, farming-fishing, white, male, united-states, 42624
21 - 28, *, pre-university, married, farming-fishing, white, male, united-states, 83134
21 - 28, *, pre-university, married, farming-fishing, white, male, united-states, 114392
21 - 28, *, pre-university, married, farming-fishing, white, male, united-states, 179258
21 - 28, *, pre-university, married, farming-fishing, white, male, united-states, 13926
29 - 31, *, pre-university, married-civ-spouse, farming-fishing, white, male, united-states, 176361
29 - 31, *, pre-university, married-civ-spouse, farming-fishing, white, male, united-states, 195314
29 - 31, *, pre-university, married-civ-spouse, farming-fishing, white, male, united-states, 33224
29 - 31, *, pre-university, married-civ-spouse, farming-fishing, white, male, united-states, 83884
29 - 31, *, pre-university, married-civ-spouse, farming-fishing, white, male, united-states, 45590
29 - 31, *, pre-university, married-civ-spouse, farming-fishing, white, male, united-states, 92680
29 - 31, *, pre-university, married-civ-spouse, farming-fishing, white, male, united-states, 20370
29 - 31, *, pre-university, married-civ-spouse, farming-fishing, white, male, united-states, 138905
29 - 31, *, pre-university, married-civ-spouse, farming-fishing, white, male, united-states, 63895
29 - 31, *, pre-university, married-civ-spouse, farming-fishing, white, male, united-states, 157269
29 - 31, *, pre-university, married-civ-spouse, farming-fishing, white, male, united-states, 145666
29 - 31, *, pre-university, married-civ-spouse, farming-fishing, white, male, united-states, 36087
29 - 31, *, pre-university, married-civ-spouse, farming-fishing, white, male, united-states, 96381
29 - 31, *, pre-university, married-civ-spouse, farming-fishing, white, male, united-states, 19932
29 - 31, *, pre-university, married-civ-spouse, farming-fishing, white, male, united-states, 107116
29 - 31, *, pre-university, married-civ-spouse, farming-fishing, white, male, united-states, 25092
19 - 24, non-government, pre-university, married, handlers-cleaners, white, male, united-states, 173623
19 - 24, non-government, pre-university, married, handlers-cleaners, white, male, united-states, 53431
19 - 24, non-government, pre-university, married, handlers-cleaners, white, male, united-states, 93128
19 - 24, non-government, pre-university, married, handlers-cleaners, white, male, united-states, 179058
19 - 24, non-government, pre-university, married, handlers-cleaners, white, male, united-states, 94254
19 - 24, non-government, pre-university, married, handlers-cleaners, white, male, united-states, 97588
19 - 24, non-government, pre-university, married, handlers-cleaners, white, male, united-states, 59215
19 - 24, non-government, pre-university, married, handlers-cleaners, white, male, united-states, 198498
19 - 24, non-government, pre-university, married, handlers-cleaners, white, male, united-states, 59454
19 - 24, non-government, pre-university, married, handlers-cleaners, white, male, united-states, 138359
19 - 24, non-government, pre-university, married, handlers-cleaners, white, male, united-states, 41976
19 - 24, non-government, pre-university, married, handlers-cleaners, white, male, united-states, 96351
19 - 24, non-government, pre-university, married, handlers-cleaners, white, male, united-states, 122116
19 - 24, non-government, pre-university, married, handlers-cleaners, white, male, united-states, 159170
19 - 24, non-government, pre-university, married, handlers-cleaners, white, male, united-states, 194397
19 - 24, non-government, pre-university, married, handlers-cleaners, white, male, united-states, 157629
19 - 24, non-government, pre-university, married, handlers-cleaners, white, male, united-states, 96376
19 - 24, non-government, pre-university, married, handlers-cleaners, white, male, united-states, 61116
19 - 24, non-government, pre-university, married, handlers-cleaners, white, male, united-states, 40142
19 - 24, non-government, pre-university, married, handlers-cleaners, white, male, united-states, 199137
19 - 24, non-government, pre-university, married, handlers-cleaners, white, male, united-states, 141585
19 - 24, non-government, pre-university, married, handlers-cleaners, white, male, united-states, 18066
19 - 24, non-government, pre-university, married, handlers-cleaners, white, male, united-states, 196396
19 - 24, non-government, pre-university, married, handlers-cleaners, white, male, united-states, 58191
19 - 24, non-government, pre-university, married, handlers-cleaners, white, male, united-states, 129614
25 - 27, *, pre-university, married, handlers-cleaners, white, male, north-america, 173704
25 - 27, *, pre-university, married, handlers-cleaners, white, male, north-america, 87789
25 - 27, *, pre-university, married, handlers-cleaners, white, male, north-america, 68602
25 - 27, *, pre-university, married, handlers-cleaners, white, male, north-america, 50014
25 - 27, *, pre-university, married, handlers-cleaners, white, male, north-america, 13012
25 - 27, *, pre-university, married, handlers-cleaners, white, male, north-america, 133142
25 - 27, *, pre-university, married, handlers-cleaners, white, male, north-america, 170675
25 - 27, *, pre-university, married, handlers-cleaners, white, male, north-america, 54089
25 - 27, *, pre-university, married, handlers-cleaners, white, male, north-america, 50638
25 - 27, *, pre-university, married, handlers-cleaners, white, male, north-america, 76913
25 - 27, *, pre-university, married, handlers-cleaners, white, male, north-america, 156069
25 - 27, *, pre-university, married, handlers-cleaners, white, male, north-america, 169745
25 - 27, *, pre-university, married, handlers-cleaners, white, male, north-america, 48315
25 - 27, *, pre-university, married, handlers-cleaners, white, male, north-america, 153975
25 - 27, *, pre-university, married, handlers-cleaners, white, male, north-america, 72167
25 - 27, *, pre-university, married, handlers-cleaners, white, male, north-america, 163138
25 - 27, *, pre-university, married, handlers-cleaners, white, male, north-america, 96240
25 - 27, *, pre-university, married, handlers-cleaners, white, male, north-america, 195843
25 - 27, *, pre-university, married, handlers-cleaners, white, male, north-america, 15284
25 - 27, *, pre-university, married, handlers-cleaners, white, male, north-america, 57516
25 - 27, *, pre-university, married, handlers-cleaners, white, male, north-america, 36421
25 - 27, *, pre-university, married, handlers-cleaners, white, male, north-america, 156768
25 - 27, *, pre-university, married, handlers-cleaners, white, male, north-america, 75445
28 - 31, *, hs-grad, married-civ-spouse, handlers-cleaners, white, male, united-states, 85093
28 - 31, *, hs-grad, married-civ-spouse, handlers-cleaners, white, male, united-states, 184093
28 - 31, *, hs-grad, married-civ-spouse, handlers-cleaners, white, male, united-states, 73558
28 - 31, *, hs-grad, married-civ-spouse, handlers-cleaners, white, male, united-states, 189400
28 - 31, *, hs-grad, married-civ-spouse, handlers-cleaners, white, male, united-states, 134383
28 - 31, *, hs-grad, married-civ-spouse, handlers-cleaners, white, male, united-states, 96545
28 - 31, *, hs-grad, married-civ-spouse, handlers-cleaners, white, male, united-states, 10551
28 - 31, *, hs-grad, married-civ-spouse, handlers-cleaners, white, male, united-states, 96357
28 - 31, *, hs-grad, married-civ-spouse, handlers-cleaners, white, male, united-states, 46831
28 - 31, *, hs-grad, married-civ-spouse, handlers-cleaners, white, male, united-states, 160262
28 - 31, *, hs-grad, married-civ-spouse, handlers-cleaners, white, male, united-states, 114017
28 - 31, *, hs-grad, married-civ-spouse, handlers-cleaners, white, male, united-states, 39405
28 - 31, *, hs-grad, married-civ-spouse, handlers-cleaners, white, male, united-states, 197952
28 - 31, *, hs-grad, married-civ-spouse, handlers-cleaners, white, male, united-states, 184540
28 - 31, *, hs-grad, married-civ-spouse, handlers-cleaners, white, male, united-states, 17973
28 - 31, *, hs-grad, married-civ-spouse, handlers-cleaners, white, male, united-states, 86095
28 - 31, *, hs-grad, married-civ-spouse, handlers-cleaners, white, male, united-states, 104165
28 - 31, *, hs-grad, married-civ-spouse, handlers-cleaners, white, male, united-states, 89585
28 - 31, *, hs-grad, married-civ-spouse, handlers-cleaners, white, male, united-states, 94686
28 - 31, *, hs-grad, married-civ-spouse, handlers-cleaners, white, male, united-states, 121292
28 - 31, *, hs-grad, married-civ-spouse, handlers-cleaners, white, male, united-states, 15664
28 - 31, *, hs-grad, married-civ-spouse, handlers-cleaners, white, male, united-states, 104849
28 - 31, private, some-college, married, handlers-cleaners, white, male, *, 105590
28 - 31, private, some-college, married, handlers-cleaners, white, male, *, 184216
28 - 31, private, some-college, married, handlers-cleaners, white, male, *, 101003
28 - 31, private, some-college, married, handlers-cleaners, white, male, *, 11466
28 - 31, private, some-college, married, handlers-cleaners, white, male, *, 178031
28 - 31, private, some-college, married, handlers-cleaners, white, male, *, 71100
28 - 31, private, some-college, married, handlers-cleaners, white, male, *, 125837
28 - 31, private, some-college, married, handlers-cleaners, white, male, *, 196732
28 - 31, private, some-college, married, handlers-cleaners, white, male, *, 163682
28 - 31, private, some-college, married, handlers-cleaners, white, male, *, 199071
28 - 31, private, some-college, married, handlers-cleaners, white, male, *, 117187
28 - 31, private, some-college, married, handlers-cleaners, white, male, *, 22448
28 - 31, private, some-college, married, handlers-cleaners, white, male, *, 85166
28 - 31, private, some-college, married, handlers-cleaners, white, male, *, 37532
28 - 31, private, some-college, married, handlers-cleaners, white, male, *, 179678
28 - 31, private, some-college, married, handlers-cleaners, white, male, *, 56001
28 - 31, private, some-college, married, handlers-cleaners, white, male, *, 161752
22 - 26, *, hs-grad, married, transport-moving, white, male, *, 91741
22 - 26, *, hs-grad, married, transport-moving, white, male, *, 44651
22 - 26, *, hs-grad, married, transport-moving, white, male, *, 77398
22 - 26, *, hs-grad, married, transport-moving, white, male, *, 155301
22 - 26, *, hs-grad, married, transport-moving, white, male, *, 79295
22 - 26, *, hs-grad, married, transport-moving, white, male, *, 42102
22 - 26, *, hs-grad, married, transport-moving, white, male, *, 25367
22 - 26, *, hs-grad, married, transport-moving, white, male, *, 13571
