22 - 35, government, 5th-6th, never-married, manual-labour, white, male, north-america, 18585
26 - 27, federal-gov, bachelors, never-married, exec-managerial, white, female, united-states, 116116
26 - 27, federal-gov, bachelors, never-married, exec-managerial, white, female, united-states, 169107
23 - 24, federal-gov, bachelors, never-married, prof-specialty, white, female, united-states, 82221
23 - 24, federal-gov, bachelors, never-married, prof-specialty, white, female, united-states, 48796
28 - 29, federal-gov, bachelors, never-married, prof-specialty, white, female, united-states, 35893
28 - 29, federal-gov, bachelors, never-married, prof-specialty, white, female, united-states, 11963
28 - 29, federal-gov, bachelors, never-married, prof-specialty, white, female, united-states, 196309
31 - 37, federal-gov, pre-doctorate, never-married, exec-managerial, white, female, north-america, 46534
31 - 37, federal-gov, pre-doctorate, never-married, exec-managerial, white, female, north-america, 169263
31 - 37, federal-gov, pre-doctorate, never-married, exec-managerial, white, female, north-america, 139376
33 - 37, federal-gov, bachelors, never-married, prof-specialty, white, female, united-states, 187174
33 - 37, federal-gov, bachelors, never-married, prof-specialty, white, female, united-states, 189346
33 - 37, federal-gov, bachelors, never-married, prof-specialty, white, female, united-states, 154967
23 - 25, local-gov, bachelors, never-married, exec-managerial, white, female, united-states, 134712
23 - 25, local-gov, bachelors, never-married, exec-managerial, white, female, united-states, 136869
22 - 23, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 171844
22 - 23, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 40218
22 - 23, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 132340
22 - 23, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 105715
22 - 23, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 40486
22 - 23, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 136714
22 - 23, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 49360
22 - 23, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 39368
22 - 23, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 137307
22 - 23, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 47127
22 - 23, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 48135
22 - 23, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 54302
24 - 25, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 154273
24 - 25, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 37916
24 - 25, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 193484
24 - 25, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 40862
24 - 25, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 137730
24 - 25, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 13738
24 - 25, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 72072
24 - 25, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 72052
24 - 25, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 88396
24 - 25, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 176869
24 - 25, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 53131
24 - 25, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 77725
26, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 14407
26, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 15816
26, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 164752
26, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 123816
26, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 48872
26, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 30253
27, local-gov, bachelors, not-married, prof-specialty, white, female, united-states, 18811
27, local-gov, bachelors, not-married, prof-specialty, white, female, united-states, 10018
27, local-gov, bachelors, not-married, prof-specialty, white, female, united-states, 118767
27, local-gov, bachelors, not-married, prof-specialty, white, female, united-states, 192534
27, local-gov, bachelors, not-married, prof-specialty, white, female, united-states, 171365
27, local-gov, bachelors, not-married, prof-specialty, white, female, united-states, 169533
27, local-gov, bachelors, not-married, prof-specialty, white, female, united-states, 74184
18 - 25, local-gov, masters, never-married, prof-specialty, white, female, united-states, 179464
18 - 25, local-gov, masters, never-married, prof-specialty, white, female, united-states, 13709
26 - 27, local-gov, masters, never-married, prof-specialty, white, female, north-america, 102986
26 - 27, local-gov, masters, never-married, prof-specialty, white, female, north-america, 198235
26 - 27, local-gov, masters, never-married, prof-specialty, white, female, north-america, 79925
31 - 37, local-gov, pre-doctorate, not-married, exec-managerial, white, female, united-states, 26590
31 - 37, local-gov, pre-doctorate, not-married, exec-managerial, white, female, united-states, 164358
31 - 37, local-gov, pre-doctorate, not-married, exec-managerial, white, female, united-states, 110661
28 - 30, local-gov, bachelors, divorced, prof-specialty, white, female, united-states, 84328
28 - 30, local-gov, bachelors, divorced, prof-specialty, white, female, united-states, 67858
31 - 32, local-gov, bachelors, divorced, prof-specialty, white, female, united-states, 168526
31 - 32, local-gov, bachelors, divorced, prof-specialty, white, female, united-states, 112280
31 - 32, local-gov, bachelors, divorced, prof-specialty, white, female, united-states, 154512
34 - 36, local-gov, bachelors, divorced, prof-specialty, white, female, united-states, 41772
34 - 36, local-gov, bachelors, divorced, prof-specialty, white, female, united-states, 71148
34 - 36, local-gov, bachelors, divorced, prof-specialty, white, female, united-states, 180636
37, local-gov, bachelors, divorced, prof-specialty, white, female, united-states, 155143
37, local-gov, bachelors, divorced, prof-specialty, white, female, united-states, 133625
37, local-gov, bachelors, divorced, prof-specialty, white, female, united-states, 109720
28, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 119161
28, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 70994
28, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 109902
30 - 31, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 78278
30 - 31, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 158950
30 - 31, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 12197
32 - 33, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 109205
32 - 33, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 55891
32 - 33, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 44852
32 - 33, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 59798
34 - 37, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 177337
34 - 37, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 190570
34 - 37, local-gov, bachelors, never-married, prof-specialty, white, female, united-states, 120192
28 - 30, local-gov, masters, never-married, prof-specialty, white, female, united-states, 12407
28 - 30, local-gov, masters, never-married, prof-specialty, white, female, united-states, 82475
31 - 32, local-gov, masters, never-married, prof-specialty, white, female, united-states, 32893
31 - 32, local-gov, masters, never-married, prof-specialty, white, female, united-states, 148423
31 - 32, local-gov, masters, never-married, prof-specialty, white, female, united-states, 62186
33 - 34, local-gov, masters, not-married, prof-specialty, white, female, united-states, 146789
33 - 34, local-gov, masters, not-married, prof-specialty, white, female, united-states, 55435
33 - 34, local-gov, masters, not-married, prof-specialty, white, female, united-states, 142106
33 - 34, local-gov, masters, not-married, prof-specialty, white, female, united-states, 179763
33 - 34, local-gov, masters, not-married, prof-specialty, white, female, united-states, 198755
31 - 36, state-gov, pre-doctorate, divorced, professional, white, female, united-states, 130121
31 - 36, state-gov, pre-doctorate, divorced, professional, white, female, united-states, 33853
31 - 36, state-gov, pre-doctorate, divorced, professional, white, female, united-states, 28606
26, state-gov, pre-doctorate, never-married, exec-managerial, white, female, united-states, 139327
26, state-gov, pre-doctorate, never-married, exec-managerial, white, female, united-states, 175507
22, state-gov, bachelors, never-married, prof-specialty, white, female, united-states, 184270
22, state-gov, bachelors, never-married, prof-specialty, white, female, united-states, 67963
22, state-gov, bachelors, never-married, prof-specialty, white, female, united-states, 23260
22, state-gov, bachelors, never-married, prof-specialty, white, female, united-states, 88261
23, state-gov, bachelors, never-married, prof-specialty, white, female, united-states, 171065
23, state-gov, bachelors, never-married, prof-specialty, white, female, united-states, 57308
23, state-gov, bachelors, never-married, prof-specialty, white, female, united-states, 114471
23, state-gov, bachelors, never-married, prof-specialty, white, female, united-states, 46126
23, state-gov, bachelors, never-married, prof-specialty, white, female, united-states, 184043
24 - 25, state-gov, bachelors, never-married, prof-specialty, white, female, united-states, 57819
24 - 25, state-gov, bachelors, never-married, prof-specialty, white, female, united-states, 31134
24 - 25, state-gov, bachelors, never-married, prof-specialty, white, female, united-states, 111022
26, state-gov, bachelors, never-married, prof-specialty, white, female, united-states, 172979
25 - 26, state-gov, masters, never-married, prof-specialty, white, female, united-states, 87310
25 - 26, state-gov, masters, never-married, prof-specialty, white, female, united-states, 33150
27 - 29, state-gov, pre-doctorate, never-married, prof-specialty, white, female, united-states, 112807
27 - 29, state-gov, pre-doctorate, never-married, prof-specialty, white, female, united-states, 132345
31, state-gov, bachelors, never-married, prof-specialty, white, female, united-states, 26251
31, state-gov, bachelors, never-married, prof-specialty, white, female, united-states, 133153
32, state-gov, bachelors, never-married, prof-specialty, white, female, united-states, 56137
32, state-gov, bachelors, never-married, prof-specialty, white, female, united-states, 181784
35 - 37, state-gov, bachelors, never-married, prof-specialty, white, female, united-states, 69075
35 - 37, state-gov, bachelors, never-married, prof-specialty, white, female, united-states, 154876
34 - 35, state-gov, masters, never-married, prof-specialty, white, female, united-states, 31225
34 - 35, state-gov, masters, never-married, prof-specialty, white, female, united-states, 125301
36, state-gov, masters, never-married, prof-specialty, white, female, united-states, 107722
36, state-gov, masters, never-married, prof-specialty, white, female, united-states, 55974
36, state-gov, masters, never-married, prof-specialty, white, female, united-states, 137139
27 - 33, government, pre-doctorate, never-married, prof-specialty, white, female, germany, 117101
27 - 33, government, pre-doctorate, never-married, prof-specialty, white, female, germany, 147311
27 - 33, government, pre-doctorate, never-married, prof-specialty, white, female, germany, 190068
24 - 32, government, pre-doctorate, never-married, prof-specialty, other, female, *, 192985
24 - 32, government, pre-doctorate, never-married, prof-specialty, other, female, *, 167722
24 - 32, government, pre-doctorate, never-married, prof-specialty, other, female, *, 141562
22 - 25, federal-gov, bachelors, never-married, tech-support, white, male, united-states, 98993
22 - 25, federal-gov, bachelors, never-married, tech-support, white, male, united-states, 22455
26, federal-gov, bachelors, never-married, tech-support, *, male, united-states, 55386
26, federal-gov, bachelors, never-married, tech-support, *, male, united-states, 160024
33 - 35, federal-gov, bachelors, not-married, customer-service, *, male, *, 166612
33 - 35, federal-gov, bachelors, not-married, customer-service, *, male, *, 48875
33 - 35, federal-gov, bachelors, not-married, customer-service, *, male, *, 169781
23 - 25, local-gov, bachelors, never-married, adm-clerical, *, male, *, 31902
23 - 25, local-gov, bachelors, never-married, adm-clerical, *, male, *, 157620
26, local-gov, bachelors, never-married, customer-service, white, male, united-states, 148123
26, local-gov, bachelors, never-married, customer-service, white, male, united-states, 127624
27 - 33, local-gov, bachelors, never-married, tech-support, *, male, united-states, 183740
27 - 33, local-gov, bachelors, never-married, tech-support, *, male, united-states, 12018
23 - 30, state-gov, bachelors, never-married, adm-clerical, white, male, united-states, 14302
23 - 30, state-gov, bachelors, never-married, adm-clerical, white, male, united-states, 183217
23 - 28, state-gov, bachelors, never-married, tech-support, *, male, united-states, 31297
23 - 28, state-gov, bachelors, never-married, tech-support, *, male, united-states, 163892
23 - 28, state-gov, bachelors, never-married, tech-support, *, male, united-states, 77307
31 - 37, state-gov, bachelors, never-married, adm-clerical, white, male, united-states, 38234
31 - 37, state-gov, bachelors, never-married, adm-clerical, white, male, united-states, 147245
31 - 37, state-gov, bachelors, never-married, adm-clerical, white, male, united-states, 60075
31, state-gov, masters, never-married, customer-service, white, male, united-states, 178326
31, state-gov, masters, never-married, customer-service, white, male, united-states, 157703
25 - 32, local-gov, bachelors, not-married, customer-service, asian-pac-islander, female, *, 188100
25 - 32, local-gov, bachelors, not-married, customer-service, asian-pac-islander, female, *, 82550
25 - 32, local-gov, bachelors, not-married, customer-service, asian-pac-islander, female, *, 178871
24 - 25, local-gov, bachelors, never-married, adm-clerical, black, female, united-states, 39900
24 - 25, local-gov, bachelors, never-married, adm-clerical, black, female, united-states, 84053
24 - 25, local-gov, bachelors, never-married, adm-clerical, black, female, united-states, 71727
24, state-gov, pre-doctorate, never-married, adm-clerical, black, female, united-states, 144910
24, state-gov, pre-doctorate, never-married, adm-clerical, black, female, united-states, 164413
28, government, bachelors, never-married, customer-service, black, female, united-states, 191037
28, government, bachelors, never-married, customer-service, black, female, united-states, 73807
30 - 36, government, pre-doctorate, never-married, adm-clerical, black, female, united-states, 66479
30 - 36, government, pre-doctorate, never-married, adm-clerical, black, female, united-states, 67514
30 - 36, government, pre-doctorate, never-married, adm-clerical, black, female, united-states, 178963
31 - 36, government, pre-doctorate, divorced, adm-clerical, white, female, north-america, 158247
31 - 36, government, pre-doctorate, divorced, adm-clerical, white, female, north-america, 192230
31 - 36, government, pre-doctorate, divorced, adm-clerical, white, female, north-america, 134731
24 - 30, federal-gov, bachelors, never-married, customer-service, white, female, *, 47946
24 - 30, federal-gov, bachelors, never-married, customer-service, white, female, *, 111153
24 - 30, federal-gov, bachelors, never-married, customer-service, white, female, *, 143787
25 - 30, local-gov, pre-doctorate, never-married, customer-service, white, female, united-states, 119989
25 - 30, local-gov, pre-doctorate, never-married, customer-service, white, female, united-states, 139787
25 - 30, local-gov, pre-doctorate, never-married, customer-service, white, female, united-states, 187235
31 - 37, local-gov, bachelors, never-married, customer-service, white, female, united-states, 197667
31 - 37, local-gov, bachelors, never-married, customer-service, white, female, united-states, 99629
31 - 37, local-gov, bachelors, never-married, customer-service, white, female, united-states, 70995
22 - 24, state-gov, bachelors, never-married, adm-clerical, white, female, united-states, 141904
22 - 24, state-gov, bachelors, never-married, adm-clerical, white, female, united-states, 157070
22 - 24, state-gov, bachelors, never-married, adm-clerical, white, female, united-states, 182279
22 - 24, state-gov, bachelors, never-married, tech-support, white, female, united-states, 192428
22 - 24, state-gov, bachelors, never-married, tech-support, white, female, united-states, 167643
22 - 24, state-gov, bachelors, never-married, tech-support, white, female, united-states, 198626
26 - 27, state-gov, bachelors, never-married, adm-clerical, white, female, united-states, 153526
26 - 27, state-gov, bachelors, never-married, adm-clerical, white, female, united-states, 117738
32 - 37, state-gov, pre-doctorate, never-married, adm-clerical, white, female, united-states, 84798
32 - 37, state-gov, pre-doctorate, never-married, adm-clerical, white, female, united-states, 124923
32 - 37, state-gov, pre-doctorate, never-married, adm-clerical, white, female, united-states, 89555
25 - 36, government, bachelors, never-married, protective-serv, black, male, united-states, 85399
25 - 36, government, bachelors, never-married, protective-serv, black, male, united-states, 153181
25 - 36, government, bachelors, never-married, protective-serv, black, male, united-states, 54671
25 - 36, state-gov, bachelors, never-married, protective-serv, black, female, united-states, 131384
25 - 36, state-gov, bachelors, never-married, protective-serv, black, female, united-states, 99292
24 - 25, government, pre-doctorate, never-married, government, white, male, united-states, 45783
24 - 25, government, pre-doctorate, never-married, government, white, male, united-states, 67349
24 - 25, government, pre-doctorate, never-married, government, white, male, united-states, 189972
26, local-gov, bachelors, never-married, protective-serv, white, male, united-states, 157491
26, local-gov, bachelors, never-married, protective-serv, white, male, united-states, 125160
28 - 31, federal-gov, bachelors, not-married, protective-serv, white, male, united-states, 199442
28 - 31, federal-gov, bachelors, not-married, protective-serv, white, male, united-states, 110456
29 - 36, local-gov, bachelors, never-married, protective-serv, white, male, united-states, 194489
29 - 36, local-gov, bachelors, never-married, protective-serv, white, male, united-states, 64006
27 - 33, government, bachelors, not-married, protective-serv, white, female, *, 134069
27 - 33, government, bachelors, not-married, protective-serv, white, female, *, 139468
27 - 33, government, bachelors, not-married, protective-serv, white, female, *, 56936
25 - 34, government, bachelors, never-married, other-service, white, *, united-states, 88505
25 - 34, government, bachelors, never-married, other-service, white, *, united-states, 119292
29 - 31, federal-gov, post-doctorate, married-civ-spouse, craft-repair, white, male, united-states, 71289
29 - 31, federal-gov, post-doctorate, married-civ-spouse, craft-repair, white, male, united-states, 64583
32 - 33, local-gov, post-doctorate, married, craft-repair, white, male, united-states, 66861
32 - 33, local-gov, post-doctorate, married, craft-repair, white, male, united-states, 54182
31 - 32, state-gov, post-doctorate, married-civ-spouse, craft-repair, white, male, united-states, 48049
31 - 32, state-gov, post-doctorate, married-civ-spouse, craft-repair, white, male, united-states, 46559
23 - 36, government, post-doctorate, married-civ-spouse, unskilled, *, male, united-states, 191621
23 - 36, government, post-doctorate, married-civ-spouse, unskilled, *, male, united-states, 63736
23 - 36, government, post-doctorate, married-civ-spouse, unskilled, *, male, united-states, 169396
26 - 29, federal-gov, prof-school, married-civ-spouse, prof-specialty, white, male, central-north-america, 122688
26 - 29, federal-gov, prof-school, married-civ-spouse, prof-specialty, white, male, central-north-america, 102698
32, federal-gov, prof-school, married-civ-spouse, prof-specialty, white, male, united-states, 53725
32, federal-gov, prof-school, married-civ-spouse, prof-specialty, white, male, united-states, 125893
34 - 35, federal-gov, prof-school, married-civ-spouse, prof-specialty, white, male, united-states, 32956
34 - 35, federal-gov, prof-school, married-civ-spouse, prof-specialty, white, male, united-states, 107739
33 - 37, federal-gov, doctorate, married-civ-spouse, prof-specialty, white, male, *, 198173
33 - 37, federal-gov, doctorate, married-civ-spouse, prof-specialty, white, male, *, 56255
28 - 33, local-gov, post-doctorate, married-civ-spouse, prof-specialty, white, male, united-states, 166060
28 - 33, local-gov, post-doctorate, married-civ-spouse, prof-specialty, white, male, united-states, 142704
28 - 33, local-gov, post-doctorate, married-civ-spouse, prof-specialty, white, male, united-states, 66404
34, local-gov, post-doctorate, married-civ-spouse, prof-specialty, white, male, united-states, 72111
34, local-gov, post-doctorate, married-civ-spouse, prof-specialty, white, male, united-states, 96457
34, local-gov, post-doctorate, married-civ-spouse, prof-specialty, white, male, united-states, 170311
37, local-gov, post-doctorate, married-civ-spouse, exec-managerial, white, male, *, 170130
37, local-gov, post-doctorate, married-civ-spouse, exec-managerial, white, male, *, 89570
36 - 37, local-gov, post-doctorate, married-civ-spouse, prof-specialty, white, male, north-america, 36316
36 - 37, local-gov, post-doctorate, married-civ-spouse, prof-specialty, white, male, north-america, 64797
36 - 37, local-gov, post-doctorate, married-civ-spouse, prof-specialty, white, male, north-america, 131922
31 - 32, state-gov, post-doctorate, married-civ-spouse, professional, white, male, united-states, 153507
31 - 32, state-gov, post-doctorate, married-civ-spouse, professional, white, male, united-states, 87730
31 - 32, state-gov, post-doctorate, married-civ-spouse, professional, white, male, united-states, 190957
33, state-gov, post-doctorate, married-civ-spouse, prof-specialty, *, male, *, 118128
33, state-gov, post-doctorate, married-civ-spouse, prof-specialty, *, male, *, 164435
33, state-gov, post-doctorate, married-civ-spouse, prof-specialty, *, male, *, 25510
34 - 37, state-gov, doctorate, married-civ-spouse, prof-specialty, white, male, *, 161792
34 - 37, state-gov, doctorate, married-civ-spouse, prof-specialty, white, male, *, 50511
24 - 37, federal-gov, post-doctorate, married-civ-spouse, professional, white, female, united-states, 139602
24 - 37, federal-gov, post-doctorate, married-civ-spouse, professional, white, female, united-states, 193309
24 - 37, federal-gov, post-doctorate, married-civ-spouse, professional, white, female, united-states, 165112
28 - 37, local-gov, post-doctorate, married-civ-spouse, prof-specialty, *, female, *, 197217
28 - 37, local-gov, post-doctorate, married-civ-spouse, prof-specialty, *, female, *, 32709
33 - 34, state-gov, doctorate, married-civ-spouse, prof-specialty, white, female, united-states, 98528
33 - 34, state-gov, doctorate, married-civ-spouse, prof-specialty, white, female, united-states, 32584
36 - 37, state-gov, post-doctorate, married-civ-spouse, prof-specialty, white, female, united-states, 11575
36 - 37, state-gov, post-doctorate, married-civ-spouse, prof-specialty, white, female, united-states, 136329
36 - 37, state-gov, post-doctorate, married-civ-spouse, prof-specialty, white, female, united-states, 191997
31 - 36, government, post-doctorate, married-civ-spouse, customer-service, asian-pac-islander, male, *, 163904
31 - 36, government, post-doctorate, married-civ-spouse, customer-service, asian-pac-islander, male, *, 100143
31 - 36, government, post-doctorate, married-civ-spouse, customer-service, asian-pac-islander, male, *, 100705
36 - 37, government, assoc-voc, separated, adm-clerical, black, *, united-states, 183223
36 - 37, government, assoc-voc, separated, adm-clerical, black, *, united-states, 135502
27 - 29, federal-gov, post-doctorate, married-civ-spouse, customer-service, white, male, north-america, 81194
27 - 29, federal-gov, post-doctorate, married-civ-spouse, customer-service, white, male, north-america, 157734
27 - 29, federal-gov, post-doctorate, married-civ-spouse, customer-service, white, male, north-america, 22904
33 - 36, federal-gov, assoc-voc, married-civ-spouse, tech-support, white, male, united-states, 112192
33 - 36, federal-gov, assoc-voc, married-civ-spouse, tech-support, white, male, united-states, 156647
31, federal-gov, assoc-acdm, married-civ-spouse, tech-support, white, male, united-states, 71621
31, federal-gov, assoc-acdm, married-civ-spouse, tech-support, white, male, united-states, 127496
33, local-gov, post-doctorate, married-civ-spouse, customer-service, white, male, united-states, 35331
33, local-gov, post-doctorate, married-civ-spouse, customer-service, white, male, united-states, 66339
33, local-gov, post-doctorate, married-civ-spouse, customer-service, white, male, united-states, 47853
24 - 31, state-gov, assoc-acdm, married-civ-spouse, customer-service, white, male, united-states, 161234
24 - 31, state-gov, assoc-acdm, married-civ-spouse, customer-service, white, male, united-states, 158593
28 - 29, local-gov, post-doctorate, married-civ-spouse, customer-service, white, female, north-america, 137593
28 - 29, local-gov, post-doctorate, married-civ-spouse, customer-service, white, female, north-america, 104864
31 - 36, government, assoc-acdm, married, adm-clerical, white, female, united-states, 130751
31 - 36, government, assoc-acdm, married, adm-clerical, white, female, united-states, 150475
31 - 36, government, assoc-acdm, married, adm-clerical, white, female, united-states, 188588
28 - 30, local-gov, assoc-voc, married-civ-spouse, protective-serv, *, male, united-states, 15515
28 - 30, local-gov, assoc-voc, married-civ-spouse, protective-serv, *, male, united-states, 66416
28 - 30, local-gov, assoc-voc, married-civ-spouse, protective-serv, *, male, united-states, 86094
26 - 28, local-gov, assoc-acdm, married-civ-spouse, protective-serv, *, male, *, 22863
26 - 28, local-gov, assoc-acdm, married-civ-spouse, protective-serv, *, male, *, 93273
26 - 28, local-gov, assoc-acdm, married-civ-spouse, protective-serv, *, male, *, 127685
30, local-gov, assoc-acdm, married-civ-spouse, protective-serv, *, male, *, 192939
24 - 30, state-gov, post-doctorate, married-civ-spouse, protective-serv, white, male, united-states, 141393
24 - 30, state-gov, post-doctorate, married-civ-spouse, protective-serv, white, male, united-states, 173690
24 - 30, state-gov, post-doctorate, married-civ-spouse, protective-serv, white, male, united-states, 51828
31 - 35, government, assoc-voc, married-civ-spouse, protective-serv, white, male, united-states, 88218
31 - 35, government, assoc-voc, married-civ-spouse, protective-serv, white, male, united-states, 104412
31 - 35, government, assoc-voc, married-civ-spouse, protective-serv, white, male, united-states, 33503
36 - 37, local-gov, assoc-voc, married-civ-spouse, protective-serv, *, male, united-states, 70277
36 - 37, local-gov, assoc-voc, married-civ-spouse, protective-serv, *, male, united-states, 126062
36 - 37, local-gov, assoc-voc, married-civ-spouse, protective-serv, *, male, united-states, 158233
32 - 35, government, assoc-acdm, married-civ-spouse, protective-serv, white, male, united-states, 133464
32 - 35, government, assoc-acdm, married-civ-spouse, protective-serv, white, male, united-states, 153865
32 - 35, government, assoc-acdm, married-civ-spouse, protective-serv, white, male, united-states, 170820
32 - 36, government, post-doctorate, married, protective-serv, white, *, europe, 145210
32 - 36, government, post-doctorate, married, protective-serv, white, *, europe, 164877
32 - 36, government, post-doctorate, married-civ-spouse, other-service, *, male, united-states, 99389
32 - 36, government, post-doctorate, married-civ-spouse, other-service, *, male, united-states, 139455
32 - 36, government, post-doctorate, married-civ-spouse, other-service, *, male, united-states, 87212
24 - 31, government, assoc-acdm, married, other-service, *, female, united-states, 39902
24 - 31, government, assoc-acdm, married, other-service, *, female, united-states, 119439
27 - 33, federal-gov, post-doctorate, not-married, manual-labour, black, *, united-states, 101467
27 - 33, federal-gov, post-doctorate, not-married, manual-labour, black, *, united-states, 96281
26 - 34, government, post-doctorate, never-married, craft-repair, white, *, *, 79143
26 - 34, government, post-doctorate, never-married, craft-repair, white, *, *, 129669
26 - 34, government, post-doctorate, never-married, craft-repair, white, *, *, 62520
30 - 31, federal-gov, post-doctorate, never-married, professional, white, male, *, 73296
30 - 31, federal-gov, post-doctorate, never-married, professional, white, male, *, 145164
32 - 33, federal-gov, post-doctorate, not-married, professional, *, male, united-states, 171528
32 - 33, federal-gov, post-doctorate, not-married, professional, *, male, united-states, 135687
28 - 31, local-gov, post-doctorate, not-married, prof-specialty, white, male, north-america, 40867
28 - 31, local-gov, post-doctorate, not-married, prof-specialty, white, male, north-america, 33141
20 - 26, state-gov, post-doctorate, never-married, prof-specialty, *, male, *, 18294
20 - 26, state-gov, post-doctorate, never-married, prof-specialty, *, male, *, 123701
27, state-gov, post-doctorate, never-married, prof-specialty, white, male, united-states, 176205
27, state-gov, post-doctorate, never-married, prof-specialty, white, male, united-states, 164167
28, state-gov, prof-school, never-married, prof-specialty, white, male, united-states, 32483
28, state-gov, prof-school, never-married, prof-specialty, white, male, united-states, 157460
29 - 36, state-gov, post-doctorate, never-married, prof-specialty, *, male, united-states, 153695
29 - 36, state-gov, post-doctorate, never-married, prof-specialty, *, male, united-states, 54719
29 - 36, state-gov, post-doctorate, never-married, prof-specialty, *, male, united-states, 15999
37, state-gov, post-doctorate, never-married, prof-specialty, *, male, central-north-america, 55049
29 - 30, federal-gov, prof-school, never-married, prof-specialty, *, female, united-states, 35535
29 - 30, federal-gov, prof-school, never-married, prof-specialty, *, female, united-states, 165736
23 - 30, federal-gov, assoc-acdm, never-married, professional, white, female, *, 136867
23 - 30, federal-gov, assoc-acdm, never-married, professional, white, female, *, 143758
23 - 30, federal-gov, assoc-acdm, never-married, professional, white, female, *, 30321
31 - 33, federal-gov, post-doctorate, never-married, professional, white, female, united-states, 153933
31 - 33, federal-gov, post-doctorate, never-married, professional, white, female, united-states, 112952
34 - 35, federal-gov, doctorate, never-married, prof-specialty, *, female, united-states, 188542
34 - 35, federal-gov, doctorate, never-married, prof-specialty, *, female, united-states, 100712
28 - 32, local-gov, post-doctorate, divorced, professional, *, female, united-states, 98147
28 - 32, local-gov, post-doctorate, divorced, professional, *, female, united-states, 165122
24 - 27, local-gov, assoc-acdm, never-married, prof-specialty, white, female, united-states, 92196
24 - 27, local-gov, assoc-acdm, never-married, prof-specialty, white, female, united-states, 195234
29 - 36, local-gov, post-doctorate, never-married, prof-specialty, white, female, united-states, 149124
29 - 36, local-gov, post-doctorate, never-married, prof-specialty, white, female, united-states, 182108
22 - 24, state-gov, post-doctorate, never-married, prof-specialty, white, female, *, 12512
22 - 24, state-gov, post-doctorate, never-married, prof-specialty, white, female, *, 77436
26 - 32, state-gov, post-doctorate, not-married, professional, white, female, united-states, 167694
26 - 32, state-gov, post-doctorate, not-married, professional, white, female, united-states, 197160
26 - 32, state-gov, post-doctorate, not-married, professional, white, female, united-states, 137131
34 - 35, state-gov, post-doctorate, not-married, professional, white, female, united-states, 171871
34 - 35, state-gov, post-doctorate, not-married, professional, white, female, united-states, 44803
34 - 35, state-gov, post-doctorate, not-married, professional, white, female, united-states, 121824
36 - 37, state-gov, post-doctorate, not-married, prof-specialty, *, female, *, 186542
36 - 37, state-gov, post-doctorate, not-married, prof-specialty, *, female, *, 175448
36 - 37, state-gov, post-doctorate, not-married, prof-specialty, *, female, *, 176067
23 - 29, government, assoc-voc, divorced, customer-service, white, male, united-states, 108031
23 - 29, government, assoc-voc, divorced, customer-service, white, male, united-states, 54127
31 - 34, federal-gov, post-doctorate, never-married, customer-service, *, male, united-states, 194803
31 - 34, federal-gov, post-doctorate, never-married, customer-service, *, male, united-states, 197043
31 - 34, federal-gov, post-doctorate, never-married, customer-service, *, male, united-states, 175307
27 - 29, local-gov, post-doctorate, never-married, adm-clerical, white, male, united-states, 80945
