17-37.0, *, pre-primary, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, <=50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, <=50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
38.0-90, *, 9th, *, *, *, male, *, >50K
17-37.0, *, 9th, *, *, *, female, *, <=50K
17-37.0, *, 9th, *, *, *, female, *, <=50K
17-37.0, *, 9th, *, *, *, female, *, <=50K
17-37.0, *, 9th, *, *, *, female, *, <=50K
17-37.0, *, 9th, *, *, *, female, *, <=50K
17-37.0, *, 9th, *, *, *, female, *, <=50K
17-37.0, *, 9th, *, *, *, female, *, <=50K
17-37.0, *, 9th, *, *, *, female, *, <=50K
17-37.0, *, 9th, *, *, *, female, *, <=50K
17-37.0, *, 9th, *, *, *, female, *, <=50K
17-37.0, *, 9th, *, *, *, female, *, <=50K
17-37.0, *, 9th, *, *, *, female, *, <=50K
17-37.0, *, 9th, *, *, *, female, *, <=50K
17-37.0, *, 9th, *, *, *, female, *, <=50K
17-37.0, *, 9th, *, *, *, female, *, <=50K
17-37.0, *, 9th, *, *, *, female, *, <=50K
17-37.0, *, 9th, *, *, *, female, *, <=50K
17-37.0, *, 9th, *, *, *, female, *, <=50K
17-37.0, *, 9th, *, *, *, female, *, <=50K
17-37.0, *, 9th, *, *, *, female, *, <=50K
17-37.0, *, 9th, *, *, *, female, *, <=50K
17-37.0, *, 9th, *, *, *, female, *, <=50K
17-37.0, *, 9th, *, *, *, female, *, <=50K
17-37.0, *, 9th, *, *, *, female, *, <=50K
17-37.0, *, 9th, *, *, *, female, *, <=50K
17-37.0, *, 9th, *, *, *, female, *, <=50K
17-37.0, *, 9th, *, *, *, female, *, <=50K
17-37.0, *, 9th, *, *, *, female, *, <=50K
17-37.0, *, 9th, *, *, *, female, *, <=50K
17-37.0, *, 9th, *, *, *, female, *, <=50K
17-37.0, *, 9th, *, *, *, female, *, <=50K
17-37.0, *, 9th, *, *, *, female, *, <=50K
17-37.0, *, 9th, *, *, *, female, *, <=50K
17-37.0, *, 9th, *, *, *, female, *, <=50K
17-37.0, *, 9th, *, *, *, female, *, >50K
17-37.0, *, 9th, *, *, *, female, *, >50K
17-37.0, *, 9th, *, *, *, female, *, >50K
17-37.0, *, 9th, *, *, *, female, *, >50K
17-37.0, *, 9th, *, *, *, female, *, >50K
17-37.0, *, 9th, *, *, *, female, *, >50K
17-37.0, *, 9th, *, *, *, female, *, >50K
17-37.0, *, 9th, *, *, *, female, *, >50K
17-37.0, *, 9th, *, *, *, female, *, >50K
17-37.0, *, 9th, *, *, *, female, *, >50K
17-37.0, *, 9th, *, *, *, female, *, >50K
17-37.0, *, 9th, *, *, *, female, *, >50K
17-37.0, *, 9th, *, *, *, female, *, >50K
17-37.0, *, 9th, *, *, *, female, *, >50K
17-37.0, *, 9th, *, *, *, female, *, >50K
17-37.0, *, 9th, *, *, *, female, *, >50K
17-37.0, *, 9th, *, *, *, female, *, >50K
17-37.0, *, 9th, *, *, *, female, *, >50K
17-37.0, *, 9th, *, *, *, female, *, >50K
17-37.0, *, 9th, *, *, *, female, *, >50K
17-37.0, *, 9th, *, *, *, female, *, >50K
17-37.0, *, 9th, *, *, *, female, *, >50K
17-37.0, *, 9th, *, *, *, female, *, >50K
17-37.0, *, 9th, *, *, *, female, *, >50K
17-37.0, *, 9th, *, *, *, female, *, >50K
17-37.0, *, 9th, *, *, *, female, *, >50K
17-37.0, *, 9th, *, *, *, female, *, >50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, <=50K
38.0-90, *, 9th, *, *, *, female, *, >50K
38.0-90, *, 9th, *, *, *, female, *, >50K
38.0-90, *, 9th, *, *, *, female, *, >50K
38.0-90, *, 9th, *, *, *, female, *, >50K
38.0-90, *, 9th, *, *, *, female, *, >50K
38.0-90, *, 9th, *, *, *, female, *, >50K
38.0-90, *, 9th, *, *, *, female, *, >50K
38.0-90, *, 9th, *, *, *, female, *, >50K
38.0-90, *, 9th, *, *, *, female, *, >50K
38.0-90, *, 9th, *, *, *, female, *, >50K
38.0-90, *, 9th, *, *, *, female, *, >50K
38.0-90, *, 9th, *, *, *, female, *, >50K
38.0-90, *, 9th, *, *, *, female, *, >50K
38.0-90, *, 9th, *, *, *, female, *, >50K
38.0-90, *, 9th, *, *, *, female, *, >50K
38.0-90, *, 9th, *, *, *, female, *, >50K
38.0-90, *, 9th, *, *, *, female, *, >50K
38.0-90, *, 9th, *, *, *, female, *, >50K
38.0-90, *, 9th, *, *, *, female, *, >50K
38.0-90, *, 9th, *, *, *, female, *, >50K
38.0-90, *, 9th, *, *, *, female, *, >50K
38.0-90, *, 9th, *, *, *, female, *, >50K
38.0-90, *, 9th, *, *, *, female, *, >50K
38.0-90, *, 9th, *, *, *, female, *, >50K
38.0-90, *, 9th, *, *, *, female, *, >50K
38.0-90, *, 9th, *, *, *, female, *, >50K
38.0-90, *, 9th, *, *, *, female, *, >50K
38.0-90, *, 9th, *, *, *, female, *, >50K
38.0-90, *, 9th, *, *, *, female, *, >50K
38.0-90, *, 9th, *, *, *, female, *, >50K
38.0-90, *, 9th, *, *, *, female, *, >50K
38.0-90, *, 9th, *, *, *, female, *, >50K
38.0-90, *, 9th, *, *, *, female, *, >50K
38.0-90, *, 9th, *, *, *, female, *, >50K
38.0-90, *, 9th, *, *, *, female, *, >50K
38.0-90, *, 9th, *, *, *, female, *, >50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
17-37.0, *, 10th, *, *, *, male, *, <=50K
